field0	field1	field2	field3
4	871	0	1
489	105914	0	1
699	70691	0	1
700	70691	1	1
710	8647	2	1
713	95466	2	1
714	95467	2	1
715	54404	2	1
728	90315	2	1
729	8042	2	1
730	45477	2	1
738	35290	2	1
739	57386	2	1
740	50271	2	1
741	16511	2	1
745	50256	2	1
746	24423	2	1
748	81130	2	1
749	26017	2	1
1039	113746	2	1
1077	34967	1	0
1181	115668	0	1
1182	115942	0	1
1183	115945	0	1
1549	115151	0	2
1550	119611	0	1
1551	119611	1	1
1570	102352	0	1
1571	102352	1	1
1572	102351	0	1
1573	102351	1	1
1583	114908	0	0
1584	114908	1	0
1585	116849	0	1
1586	116849	1	1
