field0	field1	field2	field3	field4	field5	field6	field7	field8	field9
1	1	0	0	1	0	0	1	0	0
2	3	0	0	1	0	0	1	0	0
3	4	0	0	1	0	0	1	0	0
4	10	0	0	1	0	0	1	133	0
5	11	0	0	1	0	0	0	0	0
6	12	0	0	1	0	0	1	0	0
7	13	0	0	1	0	0	1	0	0
8	14	0	0	1	0	0	1	0	0
9	15	0	0	1	0	0	1	0	0
10	17	0	56	1	1	19	1	133	0
11	18	0	0	1	0	0	1	0	0
12	22	0	0	1	0	0	1	0	0
13	24	0	0	1	0	0	1	0	0
15	26	0	0	1	0	0	1	0	0
16	27	0	0	1	0	0	1	0	0
17	31	0	0	1	0	0	1	0	0
18	33	0	0	1	0	0	1	0	0
19	34	0	0	1	0	0	1	0	0
20	35	0	0	1	0	0	1	0	0
22	47	0	44	0	0	0	0	0	0
23	49	0	0	1	0	0	1	0	0
24	53	0	0	2	0	0	2	133	0
25	56	0	32	1	0	12	0	0	0
26	58	0	0	1	0	0	1	0	0
27	59	0	0	1	0	0	1	0	0
28	60	0	0	1	0	0	1	0	0
29	61	0	0	1	0	0	1	0	0
30	65	0	0	1	1	0	1	0	0
31	66	0	1162	1	6	0	1	133	0
32	67	0	0	1	1	0	1	0	0
33	68	0	1	1	0	0	1	0	0
34	71	0	47	0	0	0	4	133	0
35	72	0	88	2	0	0	2	0	0
36	75	0	0	3	0	0	2	0	0
37	77	0	0	1	0	0	1	0	0
38	78	0	1265	2	0	0	2	0	0
39	81	0	0	1	0	0	1	0	0
40	89	0	0	1	1	11	1	133	0
41	91	0	65	2	1	0	2	0	0
42	96	0	0	0	0	0	0	133	0
43	99	0	0	1	0	2	1	133	0
44	100	0	1219	0	0	0	2	1178	0
45	101	0	32	2	0	0	2	133	0
46	107	0	0	1	0	0	1	0	0
47	108	0	0	1	0	0	1	0	0
48	110	0	0	1	0	0	1	0	0
49	111	0	0	1	0	0	1	0	0
50	112	0	0	1	0	0	1	0	0
52	116	0	0	1	1	0	1	133	0
53	118	0	0	1	1	17	1	133	0
54	120	0	50	1	1	0	1	133	0
55	122	0	35	1	1	0	1	133	0
56	126	0	0	1	0	0	1	133	0
57	130	0	0	1	1	0	1	133	0
58	131	0	0	1	0	0	1	133	0
59	132	0	0	1	1	0	1	133	0
60	133	0	0	1	0	0	1	133	0
61	134	0	21	1	1	0	1	0	0
62	136	0	0	1	1	0	1	133	0
63	139	0	0	1	1	0	1	133	0
64	142	0	0	1	0	0	1	0	0
65	172	0	0	1	1	0	1	133	0
67	196	0	0	1	0	0	1	0	0
68	197	0	0	1	0	0	1	0	0
69	198	0	0	1	0	0	1	0	0
70	199	0	0	1	0	0	1	0	0
71	200	0	0	1	0	0	1	0	0
72	201	0	0	1	0	0	1	0	0
73	202	0	0	1	0	0	1	0	0
74	203	0	0	1	0	0	1	0	0
75	204	0	0	1	0	0	1	0	0
76	227	0	0	1	0	0	1	0	0
77	228	0	0	1	1	17	1	133	0
79	260	0	1	0	0	0	0	0	0
80	261	0	0	1	0	0	1	0	0
83	264	0	0	1	0	0	1	0	0
84	266	0	0	1	0	0	1	0	0
85	269	0	0	1	0	0	1	0	0
86	271	0	0	1	0	0	1	0	0
87	324	0	0	1	0	0	1	133	0
88	331	0	0	1	0	0	1	133	0
89	339	0	0	1	1	7	1	133	0
90	348	0	0	1	1	0	1	133	0
91	355	0	82	2	0	0	1	0	0
92	370	0	0	1	0	0	1	133	0
93	403	0	0	1	0	0	1	133	0
94	408	0	270	2	0	12	2	133	0
95	421	0	85	1	0	0	1	133	0
96	427	0	0	1	0	0	1	0	0
97	428	0	0	1	0	0	1	0	0
104	436	0	4	1	0	0	0	0	0
105	437	0	0	1	0	0	0	0	0
106	438	0	4	1	0	0	0	0	0
