newField1	newField2	newField3	newField4	newField5	newField6	newField7	newField8	newField9	newField10	newField11	newField12	newField13	newField14	newField15	newField16	newField17	newField18	newField19	newField20	newField21	newField22	newField23	newField24	newField25	newField26	newField27	newField28	newField29	newField30	newField31	newField32	newField33	newField34	newField35	newField36	newField37	newField38	newField39	newField40	newField41	newField42	newField43	newField44	newField45
1	2.78	0.5	0.04	1	1000	300	1	68	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.607	8	NaN	4,20E-39	0	0	2	0
2	2.78	0.25	0.001	1.66	2000	200	42	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
3	2.78	0.25	0.01	-2	1000	200	82	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
4	2.78	0.25	0.01	-2	1000	200	132	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
5	2.78	0.25	0.01	2	1000	200	172	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
6	2.78	0.25	0.045	2	1000	200	212	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
7	2.78	0.5	0.03	1	1000	200	256	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
8	2.78	0.25	0.01	-2	1000	200	172	68	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-24	4	1	NaN	4,20E-39	0	0	2	0
9	2.78	0.25	0.01	2	1000	200	132	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
10	2.78	0.25	0.01	2	1000	200	302	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
11	2.78	0.25	0.01	2	1000	200	345	4	0	0	1	1	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2,80E-39	0	0	2	0
12	2.78	0.25	0	2	1000	200	385	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
13	2.78	0.25	0.01	5	1000	200	425	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
16	1	0.005	0	1	164	0	1	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
17	2.78	2	0.01	-2	1000	200	132	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
18	100	2	0.001	20	1000	0	172	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
19	2.78	0.25	0.01	2	1000	200	470	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
20	5	2	0.025	1	1000	0	1	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
21	20	1	0.01	2	1000	0	172	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
22	2.78	0.25	0.01	5	1000	200	1	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
23	2.78	0.25	0.01	1.66	2000	200	511	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
24	2	0.5	1,00E-05	2	1000	0	302	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
25	2.78	3	1,00E-05	2	1000	0	302	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
26	2.78	0.25	0	2	1200	200	132	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
27	2.78	0.25	0	2	1200	200	385	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
28	2.78	0.25	0	2	1200	200	302	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
29	2.78	0.25	0.01	2	1000	200	82	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
30	10	2	0.01	2	1000	200	172	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
31	5	0.75	0.025	2	1200	200	385	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
32	2.78	3	0.01	2	1000	200	132	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
40	0.3925	0.229775	0	0.75	999	300	302	22	28	0.0375	3	3	2	6.1	0.855	0	0.06	0.29	0.3	0.9739	0	0	3.142	0	0	0.45	0	0	6.786	-5.781	0	0.15	0.46	0.12	0.65	0	0	0	NaN	4,20E-39	552	0	2	0
