m_ID	m_modalNextSpell	m_spellClassMask_1	m_spellClassMask_2	m_spellClassMask_3	m_spellClassSet	m_description
1	0	524416	0	0	0	3
3	0	1	0	0	0	6
4	0	8388612	0	0	0	8
5	59	0	0	0	0	0
8	0	-2147483648	262144	0	0	3
9	0	0	0	0	0	10
10	0	8388608	0	0	0	4
11	0	2048	0	0	0	4
12	0	1	0	0	0	9
13	0	64	0	0	0	4
14	0	0	0	0	0	7
15	0	1	0	0	0	4
16	0	32	0	0	0	3
17	0	16777216	0	0	0	3
18	0	512	0	0	0	3
19	0	64	0	0	0	3
20	0	256	0	64	0	5
21	0	-2147483648	8388608	8	0	3
22	0	0	268437504	0	0	11
23	0	0	0	64	0	5
24	0	1	0	8	0	3
25	0	8388608	0	0	0	9
26	0	64	0	0	0	6
27	0	2	0	0	0	5
29	0	1024	0	0	0	11
30	0	64	0	0	0	11
31	0	512	0	0	0	7
32	0	4	0	0	0	5
33	0	32768	0	0	0	4
34	0	0	0	16777216	0	11
35	0	0	0	64	0	11
36	0	1	0	0	0	11
37	0	2097152	0	0	0	8
38	0	2	0	0	0	11
39	0	0	0	0	0	13
40	0	0	0	0	0	13
41	0	0	0	0	0	13
42	0	0	0	0	0	13
43	0	0	0	0	0	13
44	0	0	0	0	0	13
45	0	0	64	0	0	6
46	0	64	0	32	0	10
47	0	256	0	0	0	7
48	0	0	128	0	0	4
49	0	-2147483648	16777216	0	0	3
50	0	0	0	0	0	3
51	0	0	0	256	0	10
52	0	0	1	0	0	6
53	0	0	1	0	0	6
54	0	0	536872960	0	0	11
55	0	0	1073741824	0	0	11
56	0	128	0	0	0	6
57	0	16384	4096	0	0	6
58	0	1073741824	0	0	0	3
59	0	2	0	0	0	6
60	0	32768	0	0	0	6
61	0	512	0	0	0	6
62	0	1073741824	0	0	0	3
63	0	2	0	0	0	5
64	0	131072	0	0	0	6
65	0	32768	0	0	0	10
66	0	-2147483648	0	0	0	10
67	0	4194304	0	0	0	10
68	0	0	0	0	0	13
69	0	512	0	0	0	4
70	0	1	0	0	0	5
71	0	0	32	0	0	5
72	0	67117056	0	512	0	5
73	0	8	0	0	0	5
74	0	536879104	0	512	0	5
75	0	256	0	0	0	5
76	0	134225920	0	512	0	5
77	0	256	0	64	0	5
78	0	0	0	0	0	3
79	0	33024	0	0	0	5
80	0	256	0	0	0	8
81	0	256	134217728	0	0	5
82	0	268443648	0	512	0	5
83	0	1073741824	0	134217728	0	6
84	0	0	2097152	0	0	7
85	0	16777216	0	0	0	5
86	0	1073741824	0	268435456	0	3
87	0	-2147483648	0	0	1	7
88	0	1024	0	0	0	7
89	0	32	0	0	0	4
90	0	16	0	0	0	7
91	0	0	1048576	0	0	7
92	0	0	16384	0	0	9
93	0	0	16384	0	0	7
94	0	0	0	0	0	13
95	0	4194304	0	0	0	4
96	0	2048	0	0	0	10
97	0	0	0	0	0	3
98	0	8192	0	0	0	4
99	0	0	2	0	0	10
100	0	-2147483648	0	0	0	8
101	0	0	1024	0	0	11
102	0	1024	0	0	0	5
103	0	16777216	0	0	0	9
104	0	1073741824	0	0	0	3
105	0	128	0	0	0	10
106	0	256	0	0	0	10
107	0	16	0	0	0	10
108	0	256	0	0	0	11
109	0	536870912	0	0	0	7
110	0	8388608	0	2097152	0	7
111	0	0	0	262144	0	7
112	0	0	0	0	0	3
113	0	2048	0	0	0	5
114	0	16384	0	0	0	5
115	0	262144	0	0	0	7
116	0	1024	0	0	0	9
117	0	131072	0	0	0	4
118	0	524288	0	0	0	4
119	0	0	0	0	0	7
120	0	0	2097152	0	0	8
121	0	4096	0	0	0	3
122	0	262144	0	0	0	5
123	0	1024	0	8	0	3
124	0	32768	0	8	0	3
125	0	2097152	0	0	0	4
126	0	256	512	0	0	5
127	0	0	0	2	0	9
128	0	128	0	67108864	0	9
129	0	8192	0	0	0	9
130	0	0	65536	0	0	9
131	0	134217728	0	0	0	11
132	0	0	32768	0	0	9
133	0	0	4	0	0	4
134	0	0	0	1	0	6
135	0	-2147483392	0	2048	0	5
136	0	2	0	0	0	4
137	0	16	0	0	0	4
138	0	4096	0	0	0	8
139	0	0	268435456	0	0	9
140	0	8388610	0	0	0	8
141	0	16	0	0	0	8
142	0	8	0	0	0	8
143	0	4194304	0	0	0	8
144	0	0	16384	0	0	8
145	0	4096	0	0	0	7
146	0	1024	0	0	0	8
147	0	0	8192	0	0	8
148	0	0	0	8	0	7
149	0	2048	0	0	0	8
150	0	0	32768	0	0	8
151	0	1048576	0	0	0	8
152	0	64	0	0	0	5
153	0	65536	0	0	0	3
154	0	134217728	0	0	0	8
155	0	16384	0	0	0	9
156	0	1073741824	0	0	0	6
157	0	0	0	268435456	0	11
158	0	0	0	0	0	13
159	0	0	0	0	0	13
160	0	1024	0	0	0	6
161	0	4096	0	0	0	6
162	0	2048	0	0	0	6
163	0	536870912	4194304	0	0	11
164	0	16777216	0	0	0	8
165	0	0	-2147483648	0	0	6
166	0	8519680	0	0	0	8
167	0	4	0	0	0	3
168	0	2	0	0	0	3
169	0	16384	0	0	0	3
170	0	1048576	0	0	0	5
171	0	0	0	0	0	13
172	0	0	0	0	0	13
175	0	0	0	0	0	13
176	0	0	0	0	0	13
177	0	0	0	0	0	13
178	0	8388608	8388608	0	0	4
179	0	8388608	0	0	0	4
180	0	536903680	0	32	0	11
181	0	4096	0	0	0	4
182	0	0	1073741824	0	0	5
183	0	0	0	0	0	13
184	0	0	0	0	0	13
185	0	0	131072	32768	0	7
186	0	4096	0	0	0	9
187	0	2048	0	0	0	11
188	0	0	268435456	0	0	9
189	0	256	67108864	0	0	4
190	0	1	0	0	0	8
191	0	0	4194304	0	0	7
192	0	0	0	0	1	10
193	0	65536	524288	0	0	8
194	0	65536	0	1	0	8
195	0	0	64	0	0	11
196	0	-2147483648	0	0	0	3
197	0	536870912	8388608	0	0	11
198	0	0	256	0	0	11
199	0	0	131072	0	0	7
200	0	4	0	0	0	7
201	0	0	0	0	16	6
202	0	16	0	0	0	3
203	0	0	0	65536	0	9
204	0	64	0	0	0	9
205	0	64	0	0	0	8
206	0	0	0	0	0	7
207	0	0	67108864	0	0	5
208	75	0	128	0	0	9
209	75	32768	0	0	0	9
210	0	2048	0	0	0	9
211	0	32	0	0	0	9
212	0	8192	0	0	0	57
213	0	0	0	0	0	13
214	0	0	0	0	0	13
215	0	0	0	0	0	13
217	0	0	0	0	0	13
218	0	0	0	0	0	13
219	0	0	0	0	0	13
220	0	0	0	0	0	13
225	0	0	0	0	0	13
226	0	0	0	0	0	13
227	0	0	0	0	0	13
228	0	0	0	0	0	13
229	0	0	0	0	0	13
230	0	0	0	0	0	13
231	0	8	0	0	0	9
232	0	16384	0	1	0	8
233	0	16384	524288	0	0	8
234	0	0	65536	0	0	4
235	0	1073741824	0	0	0	3
236	0	-2147483648	0	0	0	3
237	0	-2147483648	0	0	0	3
238	0	-2147483648	0	0	0	3
239	0	-2147483648	0	0	0	3
240	0	-2147483648	0	0	0	3
241	0	-2147483648	0	0	0	3
242	0	0	0	0	0	13
243	0	16	0	0	0	11
244	0	0	1	0	0	11
245	0	1073741824	0	0	0	11
246	0	128	134217728	0	0	9
247	0	0	0	0	0	13
248	0	262144	0	134217728	0	57
249	0	536870912	0	0	0	11
250	0	0	0	0	0	13
251	0	0	268435456	0	0	9
253	0	4096	0	0	0	10
254	0	512	0	0	0	9
255	0	2097152	0	0	0	9
256	0	16	0	0	0	5
257	0	2048	0	0	0	3
258	0	262144	0	0	0	8
259	0	1	0	0	0	7
260	0	32	0	0	0	7
261	0	0	0	1	0	7
262	0	8192	0	0	0	7
263	0	16384	0	0	0	7
264	0	0	0	2048	0	7
265	0	32768	0	0	0	7
266	0	0	0	0	0	7
267	0	262144	0	0	0	4
268	0	32	0	0	0	8
270	0	536870912	0	0	0	4
271	0	0	2	0	0	8
272	0	256	0	0	0	9
273	0	557056	0	0	0	11
274	0	0	256	0	0	3
275	0	0	0	0	0	7
276	0	0	-2147483648	0	0	7
277	0	0	8	0	0	5
278	0	1073741824	0	0	2	7
279	0	0	134217728	0	0	10
280	0	1073741824	0	0	0	3
281	0	1073741824	0	0	0	3
282	0	1073741824	0	0	0	3
283	0	2097152	0	0	0	7
284	0	8192	0	0	0	11
285	0	524288	0	0	0	11
286	0	256	0	0	0	0
287	0	16384	0	0	0	11
288	0	256	0	516	0	5
289	0	8	0	0	0	11
290	0	4128	0	0	0	5
291	0	32768	524288	0	0	8
292	0	32768	0	1	0	8
293	0	0	1024	0	0	5
294	0	4160	0	0	0	5
295	0	536870912	0	0	0	8
296	0	536870912	0	0	0	8
297	0	0	0	0	0	8
298	0	268435456	0	0	0	3
299	0	1073741824	0	0	0	3
300	0	1073741824	0	0	0	3
301	0	1048576	0	0	0	3
302	0	65536	0	0	0	3
303	0	0	512	0	0	9
304	0	256	0	0	0	5
305	0	0	0	-2147483648	0	5
306	0	65536	0	0	0	5
307	0	16384	0	0	0	57
308	0	128	0	0	0	4
309	0	0	33554432	0	0	6
310	0	0	128	0	0	5
311	0	33554432	0	0	0	57
312	0	134217728	0	0	0	57
313	0	1048576	0	0	0	5
314	0	0	0	0	0	13
315	0	8	0	0	0	4
316	0	1024	0	0	0	4
320	0	1	0	0	0	9
321	0	65536	0	0	0	4
322	0	128	0	0	0	8
323	0	65536	0	0	0	7
324	0	536870912	0	0	0	6
325	0	524288	0	0	0	5
326	0	0	8	0	0	7
327	0	2048	0	0	0	7
328	0	8192	0	0	0	10
329	0	0	0	16384	0	6
330	0	0	0	0	0	13
331	0	0	0	0	0	13
332	0	0	0	0	0	13
333	0	0	0	0	0	13
334	0	0	0	0	0	13
335	0	0	0	0	0	13
336	0	0	0	0	0	13
337	0	0	0	0	0	13
338	0	0	0	0	0	13
339	0	0	0	0	0	13
340	0	0	0	0	0	13
341	0	0	0	0	0	13
342	0	0	0	0	0	13
343	0	0	0	0	0	13
344	0	0	0	0	0	13
345	0	0	0	0	0	13
346	0	0	0	0	0	13
347	0	0	0	0	0	13
348	0	0	0	0	0	13
349	0	0	0	0	0	13
350	0	0	0	0	0	13
351	0	0	0	0	0	13
352	0	0	0	0	0	13
353	0	0	0	0	0	13
354	0	0	0	0	0	13
355	0	0	0	0	0	13
356	0	2097152	0	0	0	3
357	0	8	0	32	0	10
358	0	34078720	0	0	0	3
359	0	1048576	0	0	0	3
360	0	0	2048	0	0	4
361	0	4	0	0	0	4
362	0	16384	0	0	0	4
363	0	0	0	0	0	13
364	0	1048576	0	0	0	57
365	0	16777216	0	0	0	57
366	0	0	0	0	0	13
368	0	67108864	0	0	0	57
369	0	16777216	0	0	0	4
370	0	128	0	0	0	11
371	0	4194304	0	0	0	11
372	0	0	2048	0	0	11
374	0	0	2048	0	0	11
375	0	16777216	0	0	0	11
376	0	1048576	0	0	0	11
377	0	268435456	0	0	0	11
378	0	-2147483648	0	0	0	11
379	0	536870912	0	0	0	11
380	0	32768	0	0	0	11
381	0	536870912	0	0	0	11
382	0	65536	0	0	0	11
383	0	8192	0	0	0	6
384	0	65536	0	0	0	6
385	0	16	0	0	0	6
386	0	536903680	0	0	0	11
387	0	0	0	0	0	11
388	0	67108864	0	0	0	11
389	0	537165824	0	0	0	11
390	0	67108864	0	0	0	11
391	0	0	0	0	0	11
392	0	536870912	0	0	0	11
393	0	67108864	0	0	0	11
394	0	1073741828	0	0	0	11
395	0	4096	0	0	0	11
396	0	0	0	0	0	13
397	0	536870912	0	0	0	11
398	0	0	2048	0	0	11
399	0	0	262144	0	0	11
400	0	536870912	0	0	0	11
401	0	0	2097152	0	0	11
402	0	524288	0	0	0	8
403	0	8389120	0	0	0	8
404	0	268435456	0	1	0	8
405	0	8192	524288	0	0	8
406	0	33554432	0	0	0	9
407	0	2	0	0	0	7
408	0	64	0	0	0	7
409	0	0	536870912	0	0	7
410	0	131072	0	0	0	7
412	0	1073741824	67112960	0	0	6
413	0	0	0	0	0	13
418	0	0	256	0	0	3
419	0	1073741824	0	0	0	3
420	0	1073741824	0	0	0	3
421	0	0	256	0	0	3
422	0	0	256	0	0	3
423	0	-2147483648	0	0	0	3
424	0	0	536870912	0	0	6
425	0	1073741824	0	0	0	3
426	0	1073741824	0	0	0	3
427	0	1073741824	0	0	0	3
428	0	1073741824	0	0	0	3
429	0	1073741824	0	0	0	3
430	0	0	0	0	0	3
431	0	0	0	0	0	3
432	0	0	0	0	0	9
433	0	0	8388608	0	0	10
434	0	2097152	0	0	0	11
435	0	2097152	0	0	0	11
439	0	0	0	0	0	3
440	0	0	0	0	0	3
441	0	0	512	0	0	3
442	0	0	0	0	0	3
443	0	0	0	0	0	3
444	0	0	0	0	0	3
445	0	0	0	0	0	3
446	0	0	0	0	0	3
447	0	0	0	0	0	3
448	0	0	0	0	0	3
449	0	0	0	0	0	3
450	0	4	0	0	0	3
451	0	0	0	0	0	3
452	0	0	0	0	0	3
453	0	0	0	0	0	3
454	0	0	0	0	0	3
455	0	0	67108864	8	0	3
456	0	0	0	0	0	3
457	0	0	0	0	0	3
458	0	0	0	0	0	3
459	0	0	0	0	0	3
460	0	0	0	0	0	3
461	0	0	0	0	0	3
462	0	0	0	0	0	3
463	0	0	0	0	0	3
464	0	0	0	0	0	3
465	0	0	0	0	0	3
466	0	0	0	0	0	3
467	0	0	0	0	0	3
468	0	0	0	0	0	3
469	0	0	0	0	0	3
470	0	0	0	0	0	3
471	0	0	0	0	0	3
472	0	0	0	0	0	3
473	0	0	0	0	0	13
474	0	2048	0	0	0	8
475	0	0	0	0	0	13
476	0	0	0	0	0	13
477	0	0	0	0	0	13
478	0	0	0	0	0	13
479	0	0	0	0	0	13
480	0	0	0	0	0	13
481	0	0	0	0	0	13
482	0	0	0	0	0	13
483	0	0	0	0	0	13
485	0	0	0	0	0	13
486	0	0	0	0	0	13
487	0	4194304	0	8	0	3
488	0	0	0	0	0	3
489	0	0	0	0	0	3
490	0	0	0	0	0	13
491	0	0	0	0	0	13
493	0	0	0	0	0	13
494	0	0	0	0	0	13
495	0	0	0	0	0	13
496	0	0	0	0	0	13
498	0	0	0	0	0	13
499	0	0	0	0	0	13
501	0	0	0	0	0	13
502	0	-2147483648	0	0	0	3
503	0	-2147483648	0	0	0	3
504	0	-2147483648	0	0	0	3
505	0	-2147483648	0	0	0	3
506	0	-2147483648	0	0	0	3
507	0	0	1	8	0	3
509	0	0	0	0	0	13
510	0	0	4	0	0	3
511	0	0	524288	8	0	3
512	0	0	32	8	0	3
513	0	67108864	0	8	0	3
515	0	0	0	0	0	4
516	0	0	0	0	0	4
517	0	0	0	0	0	4
518	0	0	0	0	0	4
519	0	0	0	0	0	4
520	0	0	0	0	0	4
521	0	0	0	1024	0	4
522	0	33554432	0	0	0	4
523	0	0	0	0	0	4
524	0	0	0	0	0	4
525	0	0	0	0	0	4
526	0	0	0	0	0	4
527	0	0	0	0	0	4
528	0	0	0	0	0	4
529	0	0	0	0	0	4
530	0	0	0	0	0	4
531	0	0	0	0	0	4
532	0	0	0	0	0	4
533	0	0	32	0	0	4
534	0	0	0	0	0	4
535	0	0	0	0	0	4
536	0	0	0	0	0	4
537	0	0	1048576	0	0	4
538	0	0	0	0	0	4
539	0	0	0	0	0	4
540	0	0	0	0	0	3
541	0	0	0	0	0	3
542	0	0	0	0	0	3
543	0	0	0	0	0	3
544	0	0	0	0	0	3
545	0	0	0	0	0	3
546	0	0	0	0	0	3
547	0	0	0	0	0	3
548	0	4	0	0	0	3
549	0	0	0	0	0	3
550	0	0	0	0	0	3
551	0	0	0	0	0	3
553	0	0	0	0	0	3
554	0	0	0	0	0	3
555	0	0	0	0	0	3
556	0	0	0	0	0	3
557	0	0	0	0	0	3
558	0	0	0	0	0	3
559	0	0	0	0	0	3
560	0	0	16384	8	0	3
561	0	0	0	0	0	3
562	0	1048576	0	0	0	3
563	0	1048576	0	0	0	3
564	0	1048576	0	0	0	3
565	0	0	0	0	0	3
566	0	0	0	0	0	3
567	0	0	0	0	0	3
568	0	0	0	0	0	3
569	0	0	-2147483648	0	0	3
570	0	0	512	0	0	3
571	0	0	512	0	0	3
572	0	0	0	0	0	3
573	0	0	0	0	0	3
574	0	524288	0	0	0	3
576	0	0	2	8	0	3
577	0	524288	0	0	0	3
579	0	524288	0	0	0	3
580	0	1573376	0	0	0	3
581	0	0	0	0	0	3
582	0	0	0	0	0	3
583	0	0	0	0	0	3
584	0	0	0	0	0	3
585	0	0	0	0	0	3
586	0	0	0	0	0	3
587	0	0	0	1	0	3
588	0	0	0	0	0	3
589	0	0	0	0	0	3
590	0	0	0	0	0	3
591	0	0	0	0	0	3
592	0	0	0	0	0	13
593	0	1573376	0	0	0	3
594	0	134217728	0	8	0	3
595	0	0	0	0	0	4
596	0	0	0	0	0	4
597	0	0	0	0	0	4
598	0	0	0	0	0	4
599	0	0	0	0	0	4
600	0	0	0	0	0	4
601	0	0	0	0	0	3
602	0	0	0	0	0	4
603	0	0	0	0	0	4
604	0	0	0	0	0	4
605	0	0	0	0	0	4
606	0	0	0	0	0	4
607	0	0	16	0	0	4
608	0	0	0	0	0	4
609	0	0	0	0	0	4
610	0	0	0	0	0	4
611	0	0	0	0	0	4
612	0	0	0	0	0	4
613	0	0	0	0	0	4
614	0	67108864	0	0	0	4
615	0	0	0	0	0	4
616	0	0	0	0	0	4
617	0	0	0	0	0	4
618	0	0	0	0	0	4
619	0	0	0	0	0	4
620	0	0	0	0	0	3
621	0	0	0	0	0	3
622	0	0	0	0	0	3
623	0	0	0	0	0	3
624	0	0	0	0	0	3
625	0	0	0	0	0	4
626	0	0	0	0	0	4
627	0	0	0	0	0	4
628	0	0	0	0	0	4
629	0	0	0	0	0	4
630	0	0	0	0	0	4
631	0	0	0	0	0	4
632	0	0	0	0	0	4
633	0	0	0	0	0	4
634	0	0	0	0	0	4
635	0	0	0	0	0	4
636	0	0	0	0	0	4
637	0	0	0	0	0	3
638	0	0	0	0	0	3
639	0	0	0	0	0	4
640	0	0	0	0	0	4
641	0	0	0	0	0	4
642	0	0	0	0	0	4
643	0	0	67108864	0	0	4
644	0	0	0	0	0	4
645	0	0	0	0	0	4
646	0	0	0	0	0	3
647	0	0	0	0	0	3
648	0	0	0	0	0	4
649	0	0	0	0	0	4
