m_id	m_categoryRecoveryTime	m_recoveryTime	m_startRecoveryTime
1	10	0	0
2	17	0	6000
3	43	0	0
4	47	0	300000
5	53	0	0
6	66	0	300000
7	68	0	0
8	71	0	0
9	72	0	12000
10	78	0	1500
11	89	0	0
12	91	0	30000
13	99	0	0
14	100	0	20000
15	101	0	5000
16	110	0	0
17	111	0	0
18	112	0	0
20	116	0	0
21	118	0	0
22	120	0	10000
23	122	0	25000
24	124	0	5000
25	126	0	0
26	130	0	0
27	131	0	0
28	132	0	0
29	133	0	0
30	134	0	15000
31	136	0	0
32	139	0	0
33	172	0	0
35	228	0	0
37	271	0	120000
38	324	0	0
39	331	0	0
40	339	0	0
41	348	0	0
42	355	0	8000
43	370	0	0
44	403	0	0
45	408	0	20000
46	421	0	3000
53	436	0	60000
54	438	0	60000
55	439	0	10000
56	440	0	10000
57	441	0	10000
58	453	0	0
59	454	0	0
61	465	0	0
62	467	0	0
63	469	0	60000
64	475	0	0
65	491	0	0
66	498	0	0
67	512	0	0
68	527	0	0
69	528	0	0
70	546	0	0
71	550	0	0
72	555	0	600000
73	556	0	900000
74	585	0	0
75	586	0	30000
76	587	0	0
77	588	0	0
78	589	0	0
79	596	0	0
80	597	0	0
81	603	0	0
82	605	0	0
83	606	0	0
84	633	0	600000
85	635	0	0
86	642	0	0
87	676	0	60000
88	686	0	0
89	687	0	0
90	688	0	0
91	689	0	0
92	691	0	0
93	692	0	60000
94	693	0	0
95	697	0	0
96	698	0	0
97	700	0	0
98	702	0	0
99	703	0	0
100	710	0	0
101	712	0	0
102	724	0	180000
103	740	0	480000
104	742	0	0
105	746	0	0
106	755	0	0
107	759	0	0
108	768	0	0
109	770	0	0
110	772	0	0
111	774	0	0
112	779	0	0
113	781	0	0
114	783	0	0
115	800	0	2000
116	818	0	300000
117	823	0	0
118	829	0	0
119	830	0	0
120	845	0	1500
121	851	0	0
122	853	0	60000
123	857	0	0
124	871	0	0
125	879	0	0
126	883	0	0
127	932	0	360000
128	974	0	0
129	980	0	0
130	982	0	0
131	990	0	0
132	1022	0	300000
133	1038	0	0
134	1044	0	0
135	1050	0	6000
136	1064	0	0
137	1066	0	0
138	1079	0	0
139	1082	0	0
140	1090	0	0
141	1098	0	0
142	1120	0	0
143	1122	0	600000
144	1126	0	0
147	1130	0	0
152	1159	0	0
153	1160	0	0
154	1161	0	0
155	1329	0	0
156	1449	0	0
157	1454	0	0
158	1459	0	0
159	1462	0	0
160	1463	0	0
161	1464	0	0
162	1490	0	0
164	1499	0	30000
165	1510	0	0
166	1513	0	0
167	1515	0	0
168	1516	0	0
169	1528	0	0
170	1535	0	0
171	1543	0	0
172	1664	0	30000
173	1665	0	30000
174	1680	0	0
175	1706	0	0
176	1714	0	0
177	1715	0	0
178	1719	0	12000
179	1725	0	30000
180	1742	0	45000
181	1752	0	0
182	1766	0	0
183	1776	0	10000
184	1784	0	0
185	1795	0	300000
186	1796	0	300000
187	1797	0	300000
188	1798	0	300000
189	1822	0	0
190	1825	0	0
191	1833	0	0
192	1834	0	0
193	1850	0	180000
194	1856	0	180000
195	1943	0	0
196	1949	0	0
197	1953	0	15000
198	1966	0	0
199	1978	0	0
200	2006	0	0
201	2008	0	0
202	2023	0	60000
203	2024	0	10000
204	2050	0	0
205	2060	0	0
206	2061	0	0
207	2062	0	61000
208	2094	0	20000
209	2096	0	0
210	2098	0	0
211	2120	0	0
212	2136	0	8000
213	2139	0	24000
214	2362	0	0
215	2370	0	60000
216	2383	0	1500
217	2457	0	0
218	2458	0	0
219	2481	0	1500
220	2484	0	0
222	2580	0	1500
223	2583	0	0
224	2597	0	60000
225	2598	0	60000
226	2599	0	60000
227	2600	0	60000
230	2606	0	6000
231	2607	0	6000
232	2608	0	6000
233	2609	0	6000
234	2610	0	6000
235	2629	0	10000
236	2630	0	10000
