id	ms_base
1	10000
3	60000
4	120000
5	300000
6	600000
8	15000
9	30000
16	230000
18	20000
21	-1
22	45000
23	90000
24	160000
25	180000
26	240000
27	3000
28	5000
29	12000
30	1800000
31	8000
32	6000
35	4000
36	1000
37	1
38	11000
39	2000
40	1200000
41	360000
42	3600000
62	75000
63	25000
64	40000
65	1500
66	2500
85	18000
86	21000
105	9000
106	24000
125	35000
145	2700000
165	7000
185	6000
186	2000
187	0
205	27000
225	604800000
245	50000
265	55000
285	1000
305	14000
325	36000
326	44000
327	500
328	250
347	900000
367	7200000
387	16000
407	100
427	-600000
447	2000
467	22000
468	26000
487	1700
507	1100
508	1100
527	14400000
547	5400000
548	10800000
549	3800
550	2147483647
551	3500
552	210000
553	6000
554	155000
555	4500
556	28000
557	165000
558	114000
559	53000
560	299000
561	3300000
562	150000
563	20500
564	13000
565	70000
566	8500
567	135000
568	1250
569	280000
570	32000
571	5500
572	100000
574	200
575	17000
576	43200000
577	160000
578	14250
579	170000
580	64800000
581	9000
582	3200
583	600
584	800
586	0
587	31000
588	0
589	6500
590	330000
591	80000
592	400
593	300
594	660000
595	302000
596	900
597	4700
598	3600
599	6000
600	42000
601	0
602	480000
607	48000
608	64000
609	58000
610	73000
611	2250
612	13400
613	19000
614	51000
615	67000
616	76000
617	79000
618	23000
619	63000
620	15500
621	34000
622	7500
628	2800
629	86400000
630	1900
631	4800
635	1750
636	12000
637	59000
638	1400
645	0
651	10000
655	10000
656	20000
659	10500
660	1
669	4000
677	16500
680	700
683	115000
684	114500
685	50
