field0	field1	field2	field3	field4
2584	1.004	0.242	0	67007
2585	0.035	0	0	108512
2586	2.6	0	0	133651
2587	1	0.077	0	67064
2588	0.456	0.5	0	132006
2589	1.245	0.2	0	36330
2590	0.866	0.15	0	20028
2591	0.345	0.08	0	457
2592	0.415	0	0	2716
2593	0.231	0	0	33874
2594	0.381	0	0	81
2595	1.967	0.15	0	21276
2596	1.012	0.17	0	635
2597	1.719	0.24	0	91
2598	0.228	0.202	0	126904
2599	0.119	0	0	630
2600	0.53	0.15	0	83
2601	1.385	0.241	0	76
2602	1.718	0.24	0	36563
2603	0.385	0.242	0	20036
2604	0.333	0	0	36371
2605	1.34	0	0	36375
2606	3.687	0.238	0	4785
2607	0.43	0	0	4786
2608	0.976	0.17	0	882
2609	2.324	0	0	83296
2610	4.401	0	0	4830
2611	0.203	0	0	25008
2612	0.72	0	0	391
2613	0.26	0	0	3726
2614	0.585	0.2	0	3727
2615	18.388	0.166	0	1839
2616	0.221	0	0	33889
2619	0.567	0	0	23639
2620	7.445	0	0	23640
2621	0.057	0	0	23787
2623	0.697	0	0	3751
2624	0.1	0	0	559
2625	0.1	0	0	560
2626	0.057	0	0	2445
2627	9.485	0.11	0	3728
2628	0.719	0	0	3729
2629	3.868	0	0	311
2630	0.057	0	0	1859
2631	0.543	0.15	0	42452
2632	3.494	0.219	0	879
2633	3.297	0	0	312
2634	0.181	0	0	196
2635	8.255	0	0	36082
2636	1.409	0	0	91926
2637	0.904	0	0	40640
2638	2.34	0.119	0	1837
2639	3.7	0	0	909
2640	8	0.108	0	10651
2644	0.285	0	0	10583
2645	0.415	0.187	0	45937
2646	0.198	0.25	0	6178
2647	0.026	0	0	6179
2649	0.512	0	0	6167
2650	0.251	1	1052468314	67482
2651	0.483	0	0	45989
2652	0.332	0	0	887
2654	4.6	0	0	49735
2655	0.177	0	0	33900
2656	0.811	0	0	14339
2657	0.142	0.35	0	8994
2658	0.142	0.35	0	8519
2659	1.221	0	0	806
2660	0.056	0.352	0	53534
2661	0.022	0.292	0	53535
2662	0.023	0.3	0	14812
2663	0.142	0.35	0	42080
2664	0.056	0.3	0	55020
2665	0.056	0.3	0	55021
2666	0.117	0	1051327463	390
2667	0.519	0.74	1061846778	12790
2668	0.075	0	1043811271	12792
2670	1.09	0	0	11313
2671	1.029	0	0	5275
2672	0.075	0	0	310
2673	4.794	0.2	0	2316
2674	3.412	0.05	0	14132
2675	0.75	0	0	462
2676	0.302	0	0	2203
2677	0.317	0	0	40878
2678	0.756	0	0	37954
2679	0.378	0	0	60391
2680	0.041	0	0	34958
2681	0.876	0	0	39752
2682	0.294	0	0	42113
2683	0.147	0	0	60359
2684	0.247	0	0	41258
2685	0.124	0	0	60368
2686	0.728	0	0	47963
2689	1.175	0	0	41296
2690	0.468	0.083	0	37445
2691	0.578	0	0	41120
2692	0.289	0	0	60372
2693	0.374	0	0	37422
2694	0.187	0	0	60394
2695	0.555	0	0	48018
2696	3.93	0.2	0	21607
2697	9.2	0	0	195
2698	7.17	0.11	0	365
2699	1.04	0	0	11090
2700	12.267	0.115	0	10981
2701	1.61	0.1	0	14488
2702	8.629	0.108	0	253
2703	11.42	0.08	0	15852
2704	11.42	0.08	0	15851
2706	0.118	0	0	2735
2707	3.558	0	0	46256
2708	11.867	0.25	0	22313
2709	11.867	0.25	0	22314
2710	4.613	0.1	0	24949
2712	16.245	0.15	0	613
2713	10.145	0.15	0	611
2714	1.083	0.238	0	6990
2715	0.054	0	0	6991
2716	0.316	0.15	0	7171
2717	2.444	0.15	0	13737
2720	5.465	0	0	2553
2721	2.463	0.055	0	3283
2722	1	0	0	7301
2723	0.23	0.08	0	41944
2724	6.295	0.122	0	39897
2725	6.295	0.122	0	39995
2726	18.515	0	0	13
2727	6.63	0.055	0	243
2728	5.641	0	0	22870
2729	2.564	0	0	95
2730	0.565	0	0	22171
2731	0.646	0	0	242
2732	2.25	0.115	0	236
2733	0.064	0	0	25010
2734	0.327	0	0	3612
2735	0.307	0	0	30
2736	0.143	0.25	1046696952	16646
2737	0.214	0	0	22420
2738	0.326	1	1056159302	622
2739	0.118	0	0	280
2740	0.104	0	0	538
2741	0.179	0	0	1920
2742	0.179	0	0	17065
2743	0.126	0	1016296636	586
2744	0.178	0	0	535
2745	0.246	0.25	0	16658
2746	0.6	0	0	853
2747	0.313	0.28	0	3617
2748	4.935	0.133	0	387
2749	1.197	0.133	0	155
2750	0.898	0.133	0	37247
2751	1.833	0	0	372
2752	1.6	0.052	0	3249
2753	0.818	0	0	44370
2754	0.785	0.112	0	105012
2755	0.581	0	0	3250
2756	0.156	0	0	3251
2757	0.869	0.056	0	3253
2758	0.609	0	0	3242
2759	0.028	0	0	2016
2760	7.487	0.133	0	141
2761	1.894	0.241	0	43841
2762	11.233	0.133	0	3235
2763	1.4	0.133	0	151
2764	1.05	0.133	0	37246
2765	0.428	0	0	16327
2766	0.267	0	0	3341
2767	0.736	0	0	2019
2768	3.351	0	0	55127
2769	1.583	0	0	55128
2770	0.096	0.3	0	1252
2771	9.353	0	0	48262
2772	0.683	0	0	2035
2773	9.2	0	0	3265
2774	1.24	0	0	3268
2775	1.24	0	0	3269
2776	1.63	0.133	0	43815
2777	0.8	0	0	44555
2778	1.712	0	0	44556
2779	10	0	0	3380
2780	1.368	0	0	23583
2783	1.547	0.238	0	43048
2784	0.3	0	0	97
2785	0.057	0	0	48082
2786	0.02	0	0	374
2787	1	0	0	246
2788	1.227	0	0	9831
2789	0.784	0	0	2449
2790	2.437	0	0	268
2791	0.334	0	0	271
2792	1.5	0	0	397
2793	1.44	0	0	17645
2794	2	0	0	40331
2795	0.332	0	0	589
2796	0.3	0	0	2059
2797	0.3	0	0	145
2798	0.3	0	0	146
2799	1.75	0.1	0	19297
2800	1	0	0	33883
2801	9.706	0	0	3104
2802	0.322	0.17	0	2018
2803	0.3	0	0	16910
2805	0.6	0.15	0	16922
2806	15.996	0.15	0	35826
2807	1.75	0.1	0	267
2808	3	0	0	2132
2809	2	0.2	0	9475
2810	1	0.1	0	40081
2811	0.2	0	0	40146
2812	0.783	0.175	0	19880
2813	0.46	0.15	0	2216
2814	1.5	0.2	0	2210
2815	1.943	0	0	9346
2817	1.435	0.242	0	75689
2818	0.07	0	0	48098
2819	6.074	0.15	0	42665
2820	7.612	0	0	59165
2821	2.067	0	0	51991
2822	0.03	0	0	12909
2823	0.03	0	0	33884
2824	0.66	0	0	67005
2825	2.83	0.08	0	66866
2826	1.113	0.17	0	66862
2827	1.391	0.173	0	67015
2828	1.421	0.242	0	68090
2829	1.004	0.242	0	68091
2830	0.035	0	0	68092
2831	13.621	0.133	0	68093
2832	0.324	0	0	68094
2833	21.658	0.15	0	612
2834	0.0192	0	0	68152
2837	0.246	0	0	68175
2838	0.85	0.1	0	68189
2839	12.757	0	0	10065
2840	1.124	0	0	68199
2841	0.582	0.12	0	68201
2842	0.869	0.15	0	66860
2843	1.68	0	0	44444
2844	3.211	0.319	0	68268
2845	0.295	0.19	0	68293
2846	4.8	0	0	47202
2847	0.736	0	0	47203
2851	0.154	0	0	68374
2852	0.154	0	0	68375
2853	0.6	0	0	68389
2854	27.32	0.05	0	34662
2855	27.32	0.05	0	34661
2856	27.32	0.05	0	16856
2857	27.32	0.05	0	4247
2858	27.32	0.05	0	4246
2859	27.32	0.05	0	4239
2860	0.15	0.1	0	1936
2861	1.74	0.225	0	65468
2862	4.8	0	0	68470
2863	0.148	0	0	68483
2864	0.499	0	0	68484
2865	0.151	0	0	68516
2866	1.277	0.054	0	66820
2869	0.057	0	0	68657
2870	2.743	0	0	68524
2871	0.168	0.055	0	68700
2872	0.08	0	0	81788
2873	1.435	0.242	0	81058
2874	16.364	0.108	0	81809
2875	0.248	0.25	0	83048
2876	8	0.109	0	83342
2877	13.965	0	0	2036
2878	0.82	0.16	0	83776
2879	2.098	0.164	0	84091
2880	1.054	0.164	0	84090
2881	0.791	0.164	0	84089
2882	0.527	0.164	0	84088
2883	0.264	0.164	0	36364
2884	0.075	0	0	84789
2885	0.075	0	0	84812
2886	0.149	0	0	84848
2887	0.383	0	0	43034
2888	0.383	0	0	68626
2889	0.383	0	0	43035
2890	0.19	0	0	85546
2891	0.285	0	0	85548
2892	0.074	0.25	0	87603
2893	0.175	0	0	85936
2894	0.174	0	0	86626
2895	1.593	0.166	0	65178
2896	-0.191	0	0	86809
2897	1.876	0.108	0	86331
2898	0.005	0	0	86933
2899	4.146	0.108	0	86977
2900	1.8	0.1	0	87009
2901	0.498	0	0	87374
2902	0.667	0	0	87492
2903	0.249	0	0	87513
2904	-0.191	0	0	87568
2905	0.5	0	0	87595
2906	0.174	0	0	87704
2907	0.201	0	0	87727
2908	0.604	0	0	88029
2910	0.728	0.25	0	21340
2911	0.41	0.15	0	23237
2912	0.405	0.25	0	66548
2913	2.79	0.12	0	88734
2915	1.296	0.14	0	89033
2916	2.591	0.14	0	89034
2917	1.333	0.15	0	89279
2918	0.3	0	0	89284
2919	0.646	0.165	0	89347
2920	0.977	0	0	89473
2921	0.028	0	0	89788
2922	0.235	0.1	0	53215
2923	0.376	0.242	0	90295
2924	0.297	0.15	0	90297
2925	0.662	0.202	0	90385
2926	0.103	0	0	90386
2927	0.92	0.4	0	90535
2928	1.24	0	0	21846
2929	1.24	0	0	21847
2930	9.2	0	0	95901
2931	0.736	0	0	90632
2932	0.409	0	0	90818
2933	0.409	0	0	90841
2934	0.633	0.115	0	91044
2935	2.353	0	0	91118
2936	0.742	0	0	91119
2937	7.531	0.16	0	91122
2938	0.436	0.173	0	91126
2939	4	0	0	91141
2940	0.334	0	0	92156
2941	1.44	0	0	45832
2942	0.147	0	0	92254
2943	11.328	0	0	92511
2944	1.1	0	0	93520
2945	0.423	0	0	93521
2946	1.32	0	0	93524
2947	0.178	0	0	94117
2948	1.798	0	0	94118
2949	0.9275	0	0	94130
2950	3.69	0	0	95398
2951	22.456	0	0	56703
2952	0.174	0	0	95819
2953	0.0735	0	0	95821
2954	0.682	0.17	0	95864
2955	1.352	0.238	0	96286
2956	0.202	0	0	96287
2957	1.931	0.238	0	96291
2958	0.225	0	0	96292
2959	3.144	0	0	97425
2960	0.2	0	0	97908
2961	0.449	0.2	0	97909
2962	1.24	0	0	97958
2963	1.24	0	0	97959
2964	0.177	0	0	98389
2965	0.184	0.35	0	96379
2966	0.175	0	0	98699
2967	2.64	0	0	23581
2968	1.32	0	0	23582
2969	1.32	0	0	116811
2970	7.61	0	0	98705
2971	1.334	0	0	10879
2972	0.907	0.14	0	99105
2973	1.814	0.14	0	99107
2974	2.721	0.14	0	99108
2975	0.038	0	0	99211
2976	0.567	0	0	99392
2977	7.445	0	0	99393
2978	2.514	0.17	0	47642
2979	0.2366	0.3	0	88405
2980	1	0.12	0	12912
2981	0.221	0.35	0	101379
2982	0.221	0.35	0	101401
2983	1.32	0	0	118955
2984	1.32	0	0	23584
2985	2.64	0	0	11564
2986	2.64	0	0	11565
2987	1.004	0.242	0	101713
2988	0.667	0	0	101739
2989	0.278	0.25	0	101798
2990	0.508	0	0	101969
2991	0.678	0	0	101970
2992	0.508	0	0	102070
2993	0.678	0	0	102071
2994	1.08	0	0	102075
2995	1.08	0	0	102078
2996	0.3	0	0	42811
2997	0.041	0	0	103414
2998	0.662	0.202	0	103417
2999	0.103	0	0	103418
3000	0.989	0.164	0	103419
3001	0.41	0.15	0	103434
3002	1.113	0.17	0	103483
3003	0.095	0	0	103617
3004	0.221	0.2	0	103618
3005	0.29	0	0	103685
3006	0.64	0	0	103694
3007	0.095	0	0	104140
3008	0.29	0	0	104484
3009	1.325	0	0	104581
3010	0.29	0	0	104657
3011	0.29	0	0	104659
3012	0.29	0	0	104662
3013	0.29	0	0	104665
3014	0.383	0	0	104806
3015	0.041	0	0	44653
3016	7.174	0.15	0	105394
3017	3.587	0.15	0	105395
3018	9.564	0.15	0	105396
3019	0.29	0	0	105397
3020	0.29	0	0	105400
3021	0.29	0	0	105405
3022	0.179	0	0	105411
3023	0.179	0	0	105413
3024	86.088	0	0	106021
3025	22.456	0	0	106055
3026	1.413	0.2	0	106473
3027	1.333	0.15	0	106923
3029	0.377	0	0	107865
3030	1.2	0.17	0	107876
3031	1.2	0.17	0	108083
3032	0.404	0.15	0	108897
3033	5.175	0	0	109233
3034	16.245	0.15	0	109265
3035	20	0.4	0	82214
3036	11.3	0.5	0	92484
3037	0.057	0	0	111074
3038	5.64	0	0	111087
3039	2.99	0	0	53770
3040	0.057	0	0	111360
3041	6.13	0.19	0	111703
3042	1.24	0	0	111857
3043	1.24	0	0	111858
3044	0.5	0	0	112098
3045	0.8	0.1	0	113200
3046	0.5	0.1	0	113205
3047	0.1	0.1	0	113234
3048	0.334	0	0	113237
3049	0.3	0	0	113269
3050	0.08	0	0	113283
3051	0.133	0	0	113295
3052	2	0	0	113300
3053	1.5	0.2	0	113307
3054	3.69	0	0	113339
3055	1	0	0	113593
3056	2	0.2	0	113603
3057	0.3	0.05	0	113740
3058	0.84	0.09	0	114385
3059	1	0.1	0	9553
3060	1	1	0	115228
3061	1	0.5	0	115307
3062	1.75	0	0	79172
3063	5.148	0	0	86373
3064	35.088	0.1	0	115645
3065	17.544	0.1	0	115646
3066	1.056	0.21	0	117262
