field0	field1	field2	field3	field4	field5
2	53	0	2	0	32768
3	59	0	2	0	4
6	72	0	4	0	64
7	75	0	2	0	262156
8	78	0	2	0	173555
9	91	0	2	0	3
10	107	0	4	0	96
11	196	0	2	0	1
12	197	0	2	0	2
13	198	0	2	0	16
14	199	0	2	0	32
15	200	0	2	0	64
16	201	0	2	0	128
17	202	0	2	0	256
18	203	0	2	0	8192
19	227	0	2	0	1024
22	264	0	2	0	4
23	266	0	2	0	8
24	408	0	2	0	173555
25	750	0	4	0	16
26	772	0	2	0	173555
27	845	0	2	0	173555
28	871	0	4	0	64
29	1180	0	2	0	32768
30	1329	0	2	0	32768
31	1464	0	2	0	173555
32	1510	0	2	0	262156
33	1516	0	2	0	262156
34	1536	0	2	0	4
35	1664	0	2	0	3
36	1665	0	2	0	3
37	1680	0	2	0	173555
38	1715	0	2	0	173555
39	1752	0	2	0	173555
40	1776	0	2	0	173555
42	1833	0	2	0	173555
43	1943	0	2	0	173555
44	1978	0	2	0	262156
45	2098	0	2	0	173555
46	2110	0	2	0	1024
47	2382	0	2	0	16384
48	2565	0	4	0	64
49	2567	0	2	0	65536
51	2629	0	2	0	32768
52	2630	0	2	0	32768
53	2643	0	2	0	262156
54	2764	0	2	0	65536
55	2823	0	2	0	41105
56	2828	0	2	0	33219
57	2829	0	2	0	33219
58	2830	0	2	0	33219
59	2831	0	4	1050016	30
60	2832	0	4	1050016	30
61	2833	0	4	1050016	30
62	2973	0	2	0	173555
63	2974	0	2	0	173555
64	3007	0	2	0	4
65	3011	0	2	0	262156
66	3018	0	2	0	262156
67	3034	0	2	0	262156
68	3043	0	2	0	262156
69	3044	0	2	0	262156
70	3112	0	2	0	9264
71	3113	0	2	0	9264
72	3114	0	2	0	9264
74	3127	0	2	0	173555
77	3408	0	2	0	41105
78	3440	0	2	0	1072
79	3594	0	2	0	173555
80	3595	0	2	0	173555
81	3674	0	2	0	262156
82	3974	0	2	0	262156
83	3975	0	2	0	262156
84	3976	0	2	0	262156
85	4354	0	2	0	128
86	4421	0	2	0	256
87	4443	0	2	0	2
88	4464	0	2	0	256
89	4493	0	2	0	1024
90	5009	0	2	0	524288
91	5011	0	2	0	262144
92	5019	0	2	0	524288
93	5116	0	2	0	262156
94	5308	0	2	0	173555
95	5361	0	2	0	256
96	5374	0	2	0	32768
97	5427	0	2	0	2
98	5586	0	2	0	32768
99	5761	0	2	0	41105
100	5938	0	2	0	41105
101	6296	0	2	0	189939
104	6572	0	2	0	173555
105	6660	0	2	0	262156
106	6770	0	2	0	173555
107	6979	0	2	0	262156
108	6980	0	2	0	262156
109	6984	0	2	0	262156
110	7105	0	2	0	262156
111	7216	0	4	0	96
112	7218	0	2	0	354
113	7220	0	2	0	173555
114	7384	0	2	0	173555
115	7386	0	2	0	173555
117	7418	0	4	512	31
118	7420	0	4	1048608	31
119	7426	0	4	1048608	31
120	7428	0	4	512	31
121	7443	0	4	1048608	31
122	7454	0	4	65536	31
123	7457	0	4	512	31
124	7520	0	2	0	128
125	7523	0	2	0	128
126	7525	0	2	0	128
127	7527	0	2	0	128
128	7529	0	2	0	256
129	7532	0	2	0	16
130	7533	0	2	0	32
131	7534	0	2	0	32768
132	7535	0	2	0	4
133	7536	0	2	0	8
134	7538	0	2	0	1
135	7540	0	2	0	1
136	7544	0	2	0	16
137	7546	0	2	0	16
138	7548	0	2	0	16
139	7549	0	2	0	2
140	7550	0	2	0	2
141	7552	0	2	0	2
142	7554	0	2	0	2
143	7556	0	2	0	32
144	7558	0	2	0	32
145	7560	0	2	0	32
146	7562	0	2	0	256
147	7564	0	2	0	256
148	7566	0	2	0	256
149	7568	0	2	0	4
150	7569	0	2	0	4
151	7570	0	2	0	4
152	7571	0	2	0	4
153	7572	0	2	0	4
154	7573	0	2	0	32768
155	7574	0	2	0	32768
156	7576	0	2	0	32768
157	7578	0	2	0	32768
158	7579	0	2	0	8
159	7580	0	2	0	8
160	7581	0	2	0	8
161	7582	0	2	0	8
162	7583	0	2	0	8
163	7584	0	2	0	8
164	7620	0	2	0	1048576
165	7731	0	2	0	1048576
166	7732	0	2	0	1048576
167	7738	0	2	0	1048576
168	7745	0	2	0	1378
169	7748	0	4	1048608	31
170	7766	0	4	512	31
171	7771	0	4	65536	31
172	7776	0	4	1048608	31
173	7779	0	4	512	31
174	7782	0	4	512	31
175	7786	0	2	0	714227
176	7788	0	2	0	714227
177	7793	0	2	0	1378
178	7857	0	4	1048608	31
179	7859	0	4	512	31
180	7861	0	4	65536	31
181	7863	0	4	256	31
182	7867	0	4	256	31
183	8024	0	2	0	173555
184	8033	0	2	0	173555
185	8087	0	2	0	1048576
186	8088	0	2	0	1048576
187	8089	0	2	0	1048576
188	8090	0	2	0	1048576
189	8232	0	2	0	173555
190	8242	0	4	0	96
192	8532	0	2	0	1048576
194	8647	0	2	0	173555
195	8676	0	2	0	173555
196	8679	0	2	0	41105
197	8682	0	2	0	262156
198	8737	0	4	0	8
199	8995	0	2	0	262156
200	8996	0	2	0	262156
201	8997	0	2	0	262156
202	9008	0	2	0	262156
203	9077	0	4	0	4
204	9078	0	4	0	2
206	9092	0	2	0	1048576
207	9116	0	4	0	64
209	9125	0	4	0	1
210	9132	0	2	0	327692
211	9781	0	4	0	96
212	9783	0	4	256	0
213	9900	0	2	0	33219
214	9903	0	2	0	9264
215	10277	0	2	0	65536
216	10344	0	4	1050016	30
220	11976	0	2	0	173555
221	11977	0	2	0	173555
222	11998	0	2	0	173555
