field0	field1	field2	field3	field4	field5	field6	field7
1	1	0	0	0	0	0	7
2	10	0	0	0	31788	0	15
3	17	0	0	0	0	0	8
4	31	0	0	0	0	0	13
5	33	0	0	0	0	0	13
6	34	0	0	0	0	0	13
7	35	0	0	0	0	0	13
8	59	0	0	0	0	0	7
11	66	0	660484	0	0	0	8
12	75	0	0	0	0	0	33
13	77	0	0	0	0	0	1
14	89	0	0	0	0	0	8
16	116	0	0	0	0	0	15
17	118	0	134742016	0	0	0	15
18	120	0	0	0	0	0	8
19	122	0	4718592	0	0	0	8
20	126	0	0	0	15420	0	15
21	130	0	0	0	0	0	8
22	132	0	0	0	0	0	8
23	133	0	0	0	0	0	15
24	134	0	0	0	0	0	15
25	136	0	541065216	0	31756	0	0
26	139	0	0	0	0	0	8
27	172	0	0	0	0	0	15
29	228	0	0	0	0	0	15
31	271	0	0	0	0	0	15
32	331	0	0	0	0	0	15
33	339	0	138936320	0	0	0	15
34	348	0	0	0	0	0	15
35	403	0	0	0	0	0	15
36	421	0	0	0	0	0	15
37	427	0	0	0	0	0	13
38	428	0	0	0	0	0	13
39	430	0	262144	2	0	0	1
40	431	0	262144	2	0	0	1
41	432	0	262144	2	0	0	1
42	433	0	262144	2	0	0	1
43	434	0	262144	2	0	0	1
44	435	0	262144	2	0	0	1
45	439	0	0	0	0	0	8
46	440	0	0	0	0	0	8
47	441	0	0	0	0	0	8
48	442	0	0	0	0	0	13
49	443	0	0	0	0	0	13
50	444	0	0	0	0	0	13
51	445	0	0	0	0	0	13
52	446	0	0	0	0	0	13
53	447	0	0	0	0	0	13
54	453	0	0	0	0	0	8
56	458	0	0	0	0	0	31
57	459	0	0	0	0	0	31
58	467	0	0	0	0	0	8
59	468	0	0	0	0	0	31
60	470	0	0	0	0	0	31
61	471	0	0	0	0	0	31
62	472	0	0	0	0	0	31
63	475	0	0	0	0	0	8
64	483	0	0	0	0	0	15
65	491	0	0	0	0	0	15
66	498	0	4718592	0	0	0	0
67	512	0	0	0	0	0	15
68	527	0	0	0	0	0	8
69	528	0	0	0	0	0	8
70	546	0	2	0	0	0	0
71	555	0	0	0	0	0	13
72	556	0	0	0	0	0	15
73	563	0	0	0	0	0	15
74	578	0	0	0	0	0	31
75	579	0	0	0	0	0	31
76	580	0	0	0	0	0	31
77	581	0	0	0	0	0	31
78	585	0	0	0	0	0	15
79	586	0	0	0	0	0	8
80	587	0	0	0	0	0	15
81	588	0	0	64	0	0	8
82	589	0	0	0	0	0	8
83	596	0	0	0	0	0	15
84	597	0	0	0	0	0	15
85	603	0	0	0	0	0	8
86	605	0	0	0	27692	0	15
87	606	0	0	0	0	0	15
88	635	0	0	0	0	0	15
89	642	0	4718592	0	0	0	0
90	686	0	0	0	0	0	15
91	687	0	0	0	0	0	8
92	688	0	0	0	0	0	15
93	689	0	0	0	31756	0	15
94	691	0	0	0	0	0	15
96	693	0	0	0	0	0	15
97	697	0	0	0	0	0	15
98	698	0	0	0	15374	0	15
99	700	0	2	0	0	0	15
100	701	0	0	0	0	0	15
101	702	0	0	0	0	0	8
102	710	0	0	0	0	0	15
103	712	0	0	0	0	0	15
104	724	0	0	0	0	0	15
105	740	0	0	0	15372	0	15
106	746	0	0	0	15374	0	27
107	755	0	0	0	31756	0	15
108	759	0	0	0	0	0	15
109	770	0	0	0	0	0	8
110	774	0	524288	0	0	0	8
111	785	0	0	0	0	0	11
112	818	0	128	0	0	0	15
113	833	0	262144	2	0	0	1
114	851	0	0	0	0	0	15
115	853	0	4718592	0	0	0	0
116	857	0	0	0	0	0	15
117	879	0	0	0	0	0	15
118	932	0	0	0	0	0	15
119	974	0	524288	0	0	0	0
120	980	0	0	0	0	0	8
121	982	0	0	0	0	0	15
122	990	0	0	0	0	0	15
123	1022	0	4718592	0	0	0	0
124	1050	0	0	0	0	0	13
125	1064	0	0	0	0	0	15
126	1066	0	256	0	0	0	0
127	1090	0	2	0	0	0	15
128	1098	0	0	0	0	0	15
129	1120	0	0	0	31756	0	15
130	1122	0	0	0	0	0	15
131	1126	0	0	0	0	0	8
132	1127	0	262144	2	0	0	1
133	1129	0	262144	2	0	0	1
134	1131	0	262144	2	0	0	1
135	1133	0	262144	2	0	0	1
136	1135	0	262144	2	0	0	1
137	1137	0	262144	2	0	0	1
138	1159	0	0	0	15374	0	27
139	1449	0	0	0	0	0	8
140	1454	0	0	0	0	0	8
141	1459	0	0	0	0	0	8
142	1463	0	0	64	0	0	8
144	1485	0	0	0	0	0	9
145	1490	0	0	0	0	0	8
146	1499	0	0	0	0	0	1
147	1510	0	0	0	31756	0	9
148	1513	0	0	0	0	0	15
149	1515	0	0	0	48140	0	41
150	1516	0	0	0	0	0	9
151	1536	0	0	0	0	0	15
152	1538	0	0	0	0	0	15
153	1539	0	15363	0	0	0	0
154	1706	0	131074	0	0	0	8
155	1714	0	0	0	0	0	8
156	1725	0	3	0	0	0	0
157	1776	0	134217728	0	0	0	0
158	1784	0	134364164	0	0	0	0
159	1804	0	0	0	0	0	31
160	1842	0	0	0	0	0	15
161	1843	0	0	0	0	0	31
162	1856	0	15367	0	0	0	0
163	1936	0	0	0	0	0	13
164	1949	0	0	0	31748	0	15
165	1953	0	0	0	0	0	8
166	2006	0	0	0	0	0	15
167	2008	0	0	0	0	0	15
168	2024	0	0	0	0	0	8
169	2050	0	0	0	0	0	15
170	2060	0	0	0	0	0	15
171	2061	0	0	0	0	0	15
172	2094	0	138936320	0	0	0	0
173	2096	0	0	0	31772	32	9
174	2120	0	0	0	0	0	15
175	2136	0	0	0	0	0	8
176	2139	0	0	0	0	0	8
177	2149	0	0	0	0	0	15
