field0	field1	field2	field3
189	112921	1122	108499
190	112866	688	108499
191	112869	691	108499
192	112868	712	108499
193	112927	18540	108499
194	112867	697	108499
195	112870	30146	108499
196	111898	0	111911
197	111897	0	111911
198	111859	0	111911
199	111896	0	111911
200	111895	0	111911
201	111898	0	108501
202	111897	0	108501
203	111859	0	108501
204	111896	0	108501
205	111895	0	108501
235	108507	0	119049
236	116403	0	108505
246	114168	0	63303
319	121617	0	16188
346	111753	47897	108508
347	121968	104232	108508
355	118858	0	1463
356	603	172	70947
357	104316	0	56242
370	123194	105174	56248
373	603	172	70947
379	115099	0	56228
380	115103	0	56228
381	115107	0	56228
382	112092	686	56240
388	123745	17962	56235
405	124285	0	96268
409	34090	0	33943
