field0	field1	field2	field3	field4	field5
1	10	0	52	0	52
3	14	0	0	1	1
4	17	0	5	0	5
5	27	0	0	1	1
6	31	0	0	1	1
7	33	0	0	1	1
8	34	0	0	1	1
9	35	0	0	1	1
10	43	0	0	0	1
14	53	0	40	0	40
15	56	0	50	0	50
16	65	0	0	0	12
17	66	0	56	0	56
18	67	0	20	80	20
19	71	0	9	0	9
20	72	0	20	0	20
21	75	0	1	0	1
22	77	0	0	0	1
23	78	0	1	0	1
24	81	0	1	0	1
25	89	0	60	0	60
26	91	0	4	0	4
27	96	0	0	0	1
28	99	0	1	0	1
29	100	0	3	0	3
30	101	0	12	0	12
31	107	0	1	0	1
32	108	0	0	0	1
33	110	0	0	0	1
34	111	0	0	0	1
36	116	0	12	0	12
37	118	0	14	0	14
38	120	0	28	0	28
39	122	0	3	0	3
41	126	0	22	0	22
42	130	0	32	0	32
43	131	0	46	0	46
44	132	0	26	0	26
45	133	0	12	0	12
46	134	0	9	22	9
47	136	0	16	0	16
48	139	0	26	0	26
49	172	0	3	0	3
51	228	0	30	0	30
53	271	0	1	70	1
54	324	0	8	0	8
55	331	0	20	0	20
56	339	0	10	0	10
57	348	0	12	0	12
58	355	0	12	0	12
59	370	0	12	0	12
60	379	0	0	0	1
61	403	0	1	0	1
62	408	0	40	0	40
63	421	0	28	0	28
64	427	0	0	1	1
65	428	0	0	1	1
66	430	0	5	0	5
67	431	0	15	0	15
68	432	0	25	0	25
69	433	0	5	0	5
70	434	0	15	0	15
71	435	0	25	0	25
72	436	0	0	0	5
73	437	0	0	0	15
74	438	0	0	0	25
75	439	0	5	0	5
76	440	0	15	0	15
77	441	0	25	0	25
78	442	0	0	1	1
79	443	0	0	1	1
80	444	0	0	1	1
81	445	0	0	1	1
82	446	0	0	1	1
83	447	0	0	1	1
84	453	0	56	0	56
86	458	0	0	0	1
87	459	0	0	0	1
88	465	0	5	0	5
89	467	0	5	0	5
90	468	0	0	0	1
91	469	0	68	0	68
92	470	0	0	0	1
93	471	0	0	0	1
94	472	0	0	0	1
95	475	0	29	0	29
96	491	0	18	28	18
97	498	0	26	0	26
98	512	0	30	0	30
99	527	0	22	0	22
100	528	0	26	0	26
101	546	0	24	0	24
102	550	0	26	0	26
103	555	0	0	0	20
104	556	0	34	0	34
105	578	0	0	0	1
106	579	0	0	0	1
107	580	0	0	0	1
108	581	0	0	0	1
109	585	0	1	0	1
110	586	0	24	0	24
111	587	0	6	0	6
112	588	0	9	0	9
113	589	0	3	0	3
114	596	0	46	0	46
115	597	0	12	21	12
116	603	0	36	0	36
117	605	0	1	0	1
118	606	0	38	43	99
119	633	0	16	0	16
120	635	0	22	0	22
121	642	0	18	0	18
122	668	0	0	0	1
123	669	0	0	0	1
124	670	0	0	0	1
125	671	0	0	0	1
126	672	0	0	0	1
128	676	0	28	0	28
129	686	0	1	0	1
130	687	0	7	0	7
131	688	0	1	0	1
132	689	0	7	0	7
133	691	0	29	0	29
135	693	0	19	0	19
136	697	0	8	0	8
137	698	0	42	0	42
138	700	0	8	30	8
139	701	0	1	7	1
140	702	0	16	0	16
141	703	0	48	0	48
142	710	0	32	0	32
143	712	0	20	0	20
144	724	0	36	0	36
145	740	0	74	0	74
146	742	0	1	0	1
148	745	0	0	0	10
149	746	0	10	10	10
150	755	0	11	0	11
151	759	0	47	0	47
152	768	0	6	0	6
153	770	0	28	0	28
154	772	0	7	0	7
155	774	0	4	0	4
156	779	0	22	0	22
157	781	0	14	0	14
158	783	0	16	0	16
159	806	0	0	0	25
160	813	0	0	0	1
161	814	0	0	0	1
162	815	0	0	0	1
163	816	0	0	0	1
164	817	0	0	0	1
165	818	0	0	0	1
166	822	0	1	0	1
167	823	0	0	0	1
168	824	0	0	0	1
169	825	0	0	0	1
170	826	0	0	0	1
171	827	0	0	0	1
172	828	0	0	0	1
173	829	0	0	0	1
174	830	0	0	0	1
175	831	0	0	0	1
176	833	0	0	0	14
177	834	0	10	16	10
178	835	0	0	0	40
179	845	0	44	0	44
180	851	0	40	0	40
181	853	0	7	0	7
182	857	0	30	40	30
183	871	0	48	0	48
184	879	0	46	0	46
185	883	0	1	0	1
186	898	0	0	0	1
187	921	0	15	0	15
188	932	0	30	43	30
189	974	0	26	0	26
190	980	0	36	0	36
191	982	0	1	0	1
192	990	0	22	31	22
193	1022	0	48	0	48
194	1038	0	66	0	66
195	1044	0	52	0	52
196	1050	0	0	0	39
197	1064	0	44	0	44
198	1066	0	18	0	18
199	1079	0	22	0	22
200	1082	0	6	0	6
201	1090	0	20	0	20
202	1098	0	31	0	31
203	1120	0	19	0	19
204	1122	0	49	0	49
205	1126	0	62	0	62
206	1127	0	35	0	35
207	1129	0	45	0	45
208	1130	0	14	0	14
209	1131	0	55	0	55
210	1132	0	0	0	1
211	1133	0	35	0	35
212	1134	0	56	0	56
213	1135	0	45	0	45
214	1137	0	55	0	55
215	1138	0	0	0	35
216	1139	0	0	0	10
217	1159	0	15	15	0
218	1160	0	52	0	52
219	1161	0	46	0	46
220	1178	0	1	0	1
222	1329	0	10	0	10
223	1330	0	60	0	60
224	1449	0	18	0	18
225	1454	0	16	0	16
226	1459	0	58	0	58
227	1462	0	10	0	10
228	1463	0	1	0	1
229	1464	0	18	0	18
230	1485	0	1	0	1
231	1490	0	51	0	51
232	1494	0	4	0	4
233	1499	0	28	0	28
234	1510	0	42	0	42
235	1513	0	36	0	36
236	1515	0	10	0	10
237	1516	0	6	0	6
238	1522	0	1	0	1
239	1528	0	20	0	20
240	1535	0	44	0	44
241	1536	0	0	0	32
242	1543	0	38	0	38
243	1664	0	28	0	28
244	1665	0	36	0	36
245	1680	0	26	80	26
246	1706	0	34	0	34
247	1714	0	26	0	26
248	1715	0	36	0	36
249	1719	0	62	0	62
250	1725	0	28	0	28
251	1742	0	20	0	20
252	1747	0	5	0	5
253	1748	0	15	0	15
254	1749	0	25	0	25
255	1750	0	35	0	35
256	1751	0	45	0	45
257	1752	0	1	0	1
258	1766	0	18	0	18
259	1776	0	22	0	22
260	1784	0	5	0	5
261	1795	0	12	18	12
262	1796	0	20	26	20
263	1797	0	28	34	28
264	1798	0	36	42	36
265	1804	0	24	0	24
266	1822	0	6	0	6
267	1825	0	22	0	22
268	1833	0	32	0	32
269	1834	0	1	0	1
270	1842	0	56	0	56
271	1848	0	0	0	1
272	1850	0	24	0	24
273	1853	0	0	0	1
274	1856	0	34	0	34
275	1860	0	48	0	48
276	1936	0	0	1	1
277	1940	0	0	0	8
278	1943	0	46	0	46
279	1949	0	22	0	22
280	1953	0	7	0	7
281	1966	0	44	0	44
282	1978	0	10	0	10
283	2006	0	18	0	18
284	2008	0	14	0	14
285	2023	0	0	0	35
286	2024	0	35	0	35
287	2050	0	28	0	28
288	2060	0	34	0	34
289	2061	0	7	0	7
290	2062	0	58	0	58
291	2094	0	38	0	38
292	2096	0	42	0	42
293	2098	0	3	0	3
294	2120	0	44	0	44
