field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14
121	1	0.698132	0.872665	10	120	0	0	0	0	0	0	19.29	0	0
161	1	0.698132	0.872665	10	120	0	0	0	0	-5	5	19.29	0	0
222	1	0.698132	0.872665	30	40	0	0	0	0	0	0	19.29	0	0
261	1	0.698132	0.872665	30	40	0	0	0	0	0	0	19.29	0	0
281	1	0.698132	0.872665	50	50	0	0	0	0	0	0	19.29	0	0
301	1	0.698132	0.872665	30	40	0	0	0	0	0	0	19.29	0	0
361	1	0.698132	0.872665	30	40	0	0	0	0	0	0	19.29	0	0
381	1	0.698132	0.872665	10	120	0	0	0	0	0	0	19.29	0	0
382	1	0.698132	0.872665	10	120	0	0	0	0	0	0	19.29	0	0
441	1	-0.436332	-2.094.395	10	120	0	0	0	0	0	0	19.29	5	0
463	1	-0.261799	0.698132	35	40	0	0	0	0	0	0	19.29	0	0
481	1	-0.2617994	1.570.796	45	45	0	0	0	0	0	0	30	0	0
502	1	0.5235988	1.308.997	10	120	0	0	0	0	0	0	19.29	0	0
526	1	0.523599	1.570.796	65	65	0	0	0	0	0	0	30	0	0
561	1	-0.261799	1.570.796	65	65	0	0	0	0	0	0	30	0	0
581	1	0	0	50	50	0	0	0	0	0	0	0	4	0
582	1	-0.523599	1.570.796	90	90	0	0	0	0	0	0	30	0	0
625	1	0	0	30	40	0	0	0	0	0	0	0	2	0
626	1	0	0.698132	20	30	0.523599	-0.523599	-0.174533	0.174533	0	0	-4.9	2	0
642	1	-0.2617994	1.570.796	60	60	0	0	0	0	0	0	30	0	0
661	1	0.698132	0.872665	60	70	0	0	0	0	0	0	19.29	0	0
701	1	-0.7853982	1.570.796	0	100	0	0	0	0	0	0	9.8	0	0
762	1	0.785398	0.785398	0	40	0	0	0	0	0	0	19.29	0	0
764	1	-0.349066	1.570.796	50	55.48	0	0.017453	0	0	0	0	6.29	0	0
766	1	0.349066	0.349066	30	30	0	0	0	0	0	0	19.29	0	0
781	1	-0.349066	1.570.796	50	55.48	0	0.017453	0	0	0	0	6.29	0	0
841	1	0.785398	0.785398	19	19	0	0	0	0	0	0	19.29	0	0
862	1	-0.785398	0.174533	80	80	0	0	0	0	0	0	19.29	0	0
903	1	0	0	50	55.48	0	0	0	0	0	0	9.29	0	0
923	1	-0.7853982	0.1745329	80	80	0	0	0	0	0	0	19.29	0	0
944	17	0	0	75	75	0	0	0	0	0	0	0	3	12
945	1	0.261799	0.261799	60	60	0	0	0	0	0	0	19.29	0	0
982	1	0	0.523599	30	40	0	0	0	0	0	0	9	0	0
1002	1	-0.698132	-1.047.198	30	40	0	0	0	0	0	0	19.29	0	0
1003	1	0	0.872665	15	20	0	0	0	0	0	0	19.29	0	0
1004	1	0	0.872665	15	20	0	0	0	0	0	0	19.29	0	0
1005	1	0.698132	0.872665	60	70	0	0	0	0	0	0	19.29	0	0
1006	1	0	0	100	100	0	0	0	0	0	0	0	1.5	0
1007	1	0	0	50	50	0	0	0	0	0	0	0	1.2	0
1022	1	-0.261799	1.570.796	45	45	0	0	0	0	0	0	30	0	0
1023	1	-0.261799	1.047.198	65	65	0	0	0	0	0	0	40	0	0
1024	1	0.523599	1.570.796	65	65	0	0	0	0	0	0	30	0	0
1062	1	0	0	30	30	0	0	0	0	0	0	25.29	90	0
1102	1	0	0	90	90	0	0	0	0	0	0	0	1.5	0
1182	1	0	0	90	90	0	0	0	0	0	0	0	1.5	0
1222	1	0.698132	0.872665	30	40	0	0	0	0	0	0	19.29	0	0
1267	1	0	0	30	30	0	0	0	0	0	0	0	1	0
1342	19	0.523599	1.570.796	25	90	0	0	0	0	0	0	19.29	0	0
1364	17	-0.261799	1.047.198	65	65	0	0	0	0	0	0	40	0	5
1365	17	-0.523599	1.047.198	120	120	0	0	-0.191986	-0.191986	0	0	0	2	5
1382	1	0.523599	1.047.198	65	65	0	0	0	0	0	0	40	0	0
1402	17	0.523599	1.570.796	65	65	0	0	0	0	0	0	30	0	0
1422	17	0	1.570.796	20	90	0	0	-0.087266	-0.087266	0	0	19	0	3
