field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12
1	1	0	0	10	0	0	0	0	0	0	0	0
2	3	0	0	10	0	0	0	0	0	0	0	0
3	4	0	0	10	0	0	0	0	0	0	0	0
4	10	0	0	0	0	0	0	0	1084227584	0	0	0
5	14	0	0	10	0	0	0	0	0	0	0	0
6	15	0	0	10	0	0	0	0	0	0	0	0
7	17	0	0	0	0	0	0	0	1086744166	0	0	0
8	18	0	0	10	0	0	0	0	0	0	0	0
9	22	0	0	10	0	0	0	0	0	0	0	0
10	24	0	0	10	0	0	0	0	0	0	0	0
11	26	0	0	10	0	0	0	0	0	0	0	0
12	27	0	0	10	0	0	0	0	0	0	0	0
13	53	0	3	35	0	0	0	0	0	0	0	0
14	58	0	0	10	0	0	0	0	0	0	0	0
15	65	0	0	14	0	0	0	0	0	0	0	0
16	66	0	0	0	0	0	0	0	1077936128	0	0	0
17	68	0	0	10	0	0	0	0	0	0	0	0
18	72	0	1	100	0	0	0	0	0	0	0	0
19	78	0	1	300	0	0	0	0	0	0	0	0
20	89	0	0	210	0	0	0	0	0	0	0	0
22	101	0	3	15	0	0	0	0	0	0	0	0
23	111	0	0	5	0	0	0	0	0	0	0	0
25	116	0	0	0	0	0	0	0	1082130432	0	0	0
26	118	0	0	0	0	0	0	0	1073741824	0	0	0
27	120	0	0	0	0	0	0	0	1082130432	0	0	0
28	122	0	0	0	0	0	0	0	1073741824	0	0	0
29	126	0	0	0	0	0	0	0	1082130432	0	0	0
30	130	0	0	0	0	0	0	0	1065353216	0	0	0
31	131	0	0	0	0	0	0	0	1075000115	0	0	0
32	132	0	0	0	0	0	0	0	1073741824	0	0	0
33	133	0	0	0	0	0	0	0	1082130432	0	0	0
35	139	0	0	0	0	0	0	0	1076258406	0	0	0
36	142	0	0	10	0	0	0	0	0	0	0	0
37	172	0	0	0	0	0	0	0	1075838976	0	0	0
38	228	0	0	120	0	0	0	0	0	0	0	0
40	271	0	0	7	1	0	0	0	0	0	0	0
41	331	0	0	0	0	0	0	0	1092511334	0	0	0
42	339	0	0	0	0	0	0	0	1087373312	0	0	0
43	348	0	0	0	0	0	0	0	1077936128	0	0	0
44	370	0	0	0	0	0	0	0	1099117363	0	0	0
45	403	0	0	0	0	0	0	0	1088631603	0	0	0
46	408	0	3	25	0	0	0	0	0	0	0	0
47	421	0	0	0	0	0	0	0	1106509824	0	0	0
48	453	0	0	0	0	0	0	0	1065353216	0	0	0
50	461	0	0	10	0	10	0	0	0	0	0	0
51	467	0	0	0	0	0	0	0	1108344832	0	0	0
52	475	0	0	0	0	0	0	0	1073741824	0	0	0
53	491	0	0	0	0	0	0	0	1091567616	0	0	0
54	498	0	0	0	0	0	0	0	1080033280	0	0	0
55	512	0	0	35	0	0	0	0	0	0	0	0
56	527	0	0	0	0	0	0	0	1076258406	0	0	0
57	528	0	0	0	0	0	0	0	1076258406	0	0	0
58	546	0	0	0	0	0	0	0	1080033280	0	0	0
59	550	0	0	100	0	0	0	0	0	0	0	0
60	555	0	0	22	0	0	0	0	0	0	0	0
61	556	0	0	0	0	0	0	0	1086115021	0	0	0
62	585	0	0	0	0	0	0	0	1082130432	0	0	0
63	586	0	0	0	0	0	0	0	1080033280	0	0	0
64	587	0	0	0	0	0	0	0	1109393408	0	0	0
66	589	0	0	0	0	0	0	0	1082969293	0	0	0
67	596	0	0	0	0	0	0	0	1084227584	0	0	0
68	603	0	0	0	0	0	0	0	1094713344	0	0	0
69	605	0	0	0	0	0	0	0	1073741824	0	0	0
70	606	0	0	240	0	0	0	0	0	0	0	0
71	635	0	0	0	0	0	0	0	1096810496	0	0	0
74	686	0	0	0	0	0	0	0	1085276160	0	0	0
76	688	0	0	0	0	0	0	0	1101004800	0	0	0
