m_ID	m_radius	m_radiusPerLevel	m_radiusMax
7	2	0	0
8	5	0	0
9	20	0	0
10	30	0	0
11	45	0	0
12	100	0	0
13	10	0	0
14	8	0	0
15	3	0	0
16	1	0	0
17	13	0	0
18	15	0	0
19	18	0	0
20	25	0	0
21	35	0	0
22	200	0	0
23	40	0	0
24	65	0	0
25	70	0	0
26	4	0	0
27	50	0	0
28	50000	0	0
29	6	0	0
30	500	0	0
31	80	0	0
32	12	0	0
33	99	0	0
35	55	0	0
36	0	0	0
37	7	0	0
38	21	0	0
39	34	0	0
40	9	0	0
41	150	0	0
42	11	0	0
43	16	0	0
44	0.5	0	0
45	10	0	4
46	5	0	5
47	15	0	10
48	60	0	0
49	90	0	0
50	15	0	10
51	60	0	15
52	5	0	0
53	60	0	30
54	50000	0	30
55	130	0	0
56	38	0	0
57	45	0	25
58	50000	0	15
59	32	0	0
60	44	0	0
61	14	0	0
62	47	0	0
63	23	0	0
64	3.5	0	0
65	80	0	10
66	100	0	50
67	30	0	5
72	20	0	10
73	1.5	0	0
74	0.1	0	0.1
77	6	0	4
78	30	0	10
79	50000	0	5
80	50000	0	10
81	50000	0	8
82	110	0	0
83	50	0	10
84	17	0	0
85	30	0	20
86	30	0	15
87	30	0	20
88	300	0	0
89	400	0	0
90	300	0	100
91	20	0	2
92	80	0	20
94	15	0	5
95	1	0	0.5
98	2	0	2
99	2.5	0	0
100	4.5	0	0
101	50000	0	100
102	500	0	100
103	50000	0	60
105	50	0	20
107	50000	0	40
108	28	0	0
109	0.01	0	0.01
110	50000	0	75
111	0.01	0	0.01
112	3.75	0	0
113	1000	0	0
118	100	0	12
119	100	0	15
123	100	0	16
124	20	0	15
125	125	0	0
126	50	0	30
127	70	0	50
128	90	0	70
130	40	0	30
131	50	0	40
132	60	0	50
133	500	0	40
134	6.5	0	0
135	100	0	18
136	35	0	10
137	40	0	10
138	1.25	0	0
