field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18
2	17057	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3	5517	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	5518	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
6	878	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
10	2318	2320	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
11	2318	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
12	2318	2320	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
13	2318	2320	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0
14	2318	2320	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0
15	2318	2320	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0
16	2318	2321	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0
17	2318	2320	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0
18	2318	2320	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0
19	2318	2320	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0
20	2318	2320	2324	0	0	0	0	0	8	2	1	0	0	0	0	0	0	0
21	4231	2318	2320	0	0	0	0	0	1	4	2	0	0	0	0	0	0	0
22	2319	2320	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
23	2319	4231	2321	0	0	0	0	0	10	6	2	0	0	0	0	0	0	0
24	2319	2321	4340	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0
25	2319	2321	4340	0	0	0	0	0	8	1	1	0	0	0	0	0	0	0
26	2319	2321	4340	0	0	0	0	0	6	1	1	0	0	0	0	0	0	0
27	2449	765	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
28	2447	765	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
29	785	765	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
30	785	2447	3371	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0
31	3355	2452	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
32	2449	2447	3371	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0
33	2452	2450	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
34	2449	785	3371	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0
35	118	2450	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
36	2996	2320	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
37	2996	2320	2318	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0
38	2996	2320	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
39	2996	2320	2604	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0
40	2996	2320	2604	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0
41	2996	2320	2324	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
42	2996	2320	6260	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0
43	2996	2318	2321	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0
44	2996	2321	2605	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0
45	2996	2320	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0
46	2997	2321	2605	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0
47	2997	2321	2318	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0
48	2997	2321	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
49	2997	2321	4340	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0
50	2997	2321	4340	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0
51	2672	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
52	2672	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
53	769	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
54	2673	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
55	723	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
56	769	159	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
57	2674	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
58	2675	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
59	2677	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
60	0	1080	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
61	2677	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
62	1015	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
63	2770	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
64	2775	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
65	2840	3576	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
66	2835	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
67	2840	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
68	2840	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
69	2840	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
70	2840	3470	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0
71	2836	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
72	2840	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
