field0	field1	field2	field3	field4	field5
81	1	1	1	0	300
101	0	1	0	0	100
221	0	1	0	0	100
241	0	0	1	0	100
261	0	0	1	0	100
301	1	0	0	0	100
401	1	0	0	0	100
461	1	0	0	0	0
523	1	0	0	0	0
542	0	0	1	0	100
561	0	0	1	0	0
581	1	0	0	0	0
582	0	0	0	0	0
584	0	0	0	0	100
587	0	1	1	0	200
647	0	0	1	0	100
652	0	1	1	0	100
661	0	0	0	0	0
662	0	0	0	0	0
682	0	0	0	0	0
683	0	0	0	0	0
690	0	1	0	0	0
691	0	1	0	0	0
721	0	0	0	0	100
797	0	1	1	0	200
821	0	0	0	0	100
825	0	1	0	0	0
826	0	0	1	0	0
827	1	1	0	0	100
828	1	1	0	0	100
829	1	1	0	0	100
830	0	0	0	0	0
831	0	0	0	0	0
832	1	1	0	0	100
841	1	0	0	0	0
842	1	0	0	0	0
843	1	0	0	0	0
844	1	0	0	0	100
852	0	1	0	0	0
853	0	0	0	0	0
921	0	0	1	0	0
927	0	0	1	0	100
928	1	1	0	0	100
929	1	0	0	0	100
930	0	0	0	0	0
962	0	0	0	0	100
981	0	0	0	0	0
982	0	0	0	0	0
1003	0	1	0	0	100
1021	0	0	0	0	0
1022	0	0	0	0	0
1023	0	0	0	0	0
1041	0	0	0	0	0
1042	0	0	1	0	100
1043	0	0	0	0	0
1044	0	0	1	0	100
1045	0	0	0	0	0
1046	0	0	0	0	0
1047	0	0	0	0	0
1048	0	0	0	0	0
1049	0	0	0	0	0
1050	0	0	0	0	0
1052	0	0	0	0	0
1054	0	0	0	0	0
1055	0	0	0	0	0
1081	0	0	0	0	100
1101	0	1	0	0	100
1102	1	1	0	0	100
1103	0	0	0	0	0
1142	1	0	0	0	100
1144	0	0	0	0	250
1145	0	1	0	0	100
1162	0	0	0	0	0
1163	0	0	0	0	0
1165	0	0	0	0	0
1166	0	0	0	0	100
1168	0	0	0	0	0
1187	0	0	0	0	100
1188	0	0	0	0	0
1189	0	0	0	0	100
1202	0	0	1	0	100
1204	0	0	1	0	0
1208	0	0	0	0	0
1209	0	0	0	0	0
1213	0	0	0	0	0
1214	0	0	0	0	100
1244	0	0	0	0	0
1266	0	0	0	0	0
1304	0	0	1	0	0
1324	0	0	0	0	0
1325	0	0	0	0	0
1326	0	0	0	0	0
1327	0	0	0	0	0
1328	0	0	0	0	0
1329	0	0	0	0	0
1344	0	0	1	0	0
1384	0	0	1	0	0
1385	0	0	0	0	0
1386	0	0	0	0	0
1387	0	0	0	0	0
1388	0	0	0	0	0
1404	0	0	0	0	100
1424	0	0	0	0	0
1425	0	0	1	0	100
1426	1	1	0	0	100
1427	0	0	0	0	0
1484	0	0	0	0	0
1504	0	0	0	0	0
1505	0	0	0	0	0
1546	0	0	0	0	0
1547	0	0	0	0	0
1549	0	0	0	0	0
1550	0	0	0	0	0
1564	0	1	1	0	100
1584	0	0	0	0	0
1585	0	0	0	0	0
1586	0	0	0	0	100
1587	0	0	0	0	100
1588	0	0	0	0	0
1604	0	0	1	0	100
1605	0	0	1	0	100
1606	0	0	0	0	100
1607	0	0	0	0	0
1608	0	0	0	0	100
1610	0	0	0	0	0
1612	0	0	0	0	100
1613	0	0	0	0	0
1614	0	0	0	0	0
1615	0	0	0	0	0
1646	0	0	0	0	0
1647	0	0	0	0	0
1664	1	1	0	0	100
1704	0	0	0	0	100
1724	0	0	0	0	0
1764	0	1	0	0	100
1804	0	0	1	0	0
1824	0	0	0	0	100
1984	0	1	1	0	150
2004	1	1	1	0	150
2204	0	1	0	0	100
2224	0	0	1	0	0
2264	0	1	0	0	100
2284	1	0	0	0	0
2285	1	0	0	0	0
2303	0	0	0	0	100
2309	0	0	1	0	100
2312	0	1	0	0	0
2318	0	0	0	0	0
2320	0	0	0	0	0
2321	0	0	0	0	0
2322	0	0	0	0	0
2327	0	0	0	0	0
2338	0	0	0	0	0
2345	1	0	0	0	10
2349	0	0	0	0	0
2384	0	0	0	0	100
2404	0	0	0	0	100
2424	0	0	0	0	100
2425	0	0	0	0	100
2444	0	0	0	0	100
2464	0	1	0	0	100
