field0	field1	field2	field3	field4	field5	field6	field7	field8
1	500	500	20	8	0.45	20	0	0
2	1500	3000	20	8	1	0	0	0
8	0	0	20	8	1	0	0	0
9	2000	2000	20	8	1	0	0	0
10	0	0	20	8	1	0	0	0
12	0	0	20	8	1	0	0	0
14	0	0	20	8	1	0	0	0
15	0	0	20	8	1	0	0	0
16	0	0	20	8	1	0	0	0
17	0	0	20	8	1	0	0	0
18	1500	2250	20	8	1	0	0	0
19	2000	2000	20	8	1	0	0	0
20	0	0	20	8	1	0	0	0
21	1500	2000	20	8	1	0	0	0
22	1500	2750	20	8	1	0	0	0
23	0	0	20	8	1	0	0	0
24	0	0	20	8	1	0	0	0
25	0	0	20	8	1	0	0	0
26	2100	3500	20	8	1	0	0	0
27	1500	1500	20	8	1	0	0	0
34	0	0	20	8	1	0	0	0
36	0	0	20	8	1	0	0	0
38	0	0	20	8	1	0	0	0
42	0	0	20	11	1	0	0	0
50	0	0	20	11	1	0	0	0
51	1500	2500	20	11	1	0	0	0
52	0	0	20	11	1	0	0	0
53	0	0	20	11	1	0	0	0
55	0	0	20	11	1	0	0	0
56	0	0	20	11	1	0	0	0
58	0	0	20	11	1	0	0	0
59	0	0	20	11	1	0	0	0
60	0	0	20	11	1	0	0	0
61	1500	1500	20	11	1	0	0	0
62	0	0	20	11	1	0	0	0
63	0	0	20	11	1	0	0	0
64	0	0	20	11	1	0	0	0
66	2700	2700	20	11	1	0	0	0
67	0	0	20	11	1	0	0	0
68	0	0	20	11	1	0	0	0
69	0	0	20	11	1	0	0	0
70	0	0	20	11	1	0	0	0
72	0	0	20	11	1	0	0	0
73	1500	2000	20	11	1	0	0	0
75	-1000000	-1000000	20	3	1	0	0	0
76	2900	2900	0	3	1	0	0	0
78	0	0	20	-1	1	0	0	0
80	0	0	20	3	1	0	0	0
81	0	0	20	3	1	0	0	0
82	-1000000	-1000000	20	3	1	0	0	0
83	0	0	20	3	1	0	0	0
84	0	0	20	-1	1	0	0	0
85	0	0	20	3	1	0	0	0
86	0	0	1	4	1	0	0	0
87	-1000000	-1000000	20	3	1	0	0	0
88	0	0	20	3	1	0	0	0
91	0	0	20	3	1	0	0	0
92	-1000000	-1000000	20	3	1	0	0	0
93	2000	2000	20	3	1	0	0	0
94	0	0	20	3	1	0	0	0
95	0	0	20	3	1	0	0	0
96	0	0	20	3	1	0	0	0
97	0	0	20	3	1	0	0	0
98	0	0	20	3	1	0	0	0
99	0	0	20	3	1	0	0	0
100	0	0	20	3	1	0	0	0
101	0	0	20	3	1	0	0	0
102	0	0	20	3	1	0	0	0
103	0	0	20	3	1	0	0	0
104	0	0	20	3	1	0	0	0
105	0	0	20	3	1	0	0	0
106	0	0	20	3	1	0	0	0
107	0	0	20	3	1	0	0	0
108	0	0	20	3	1	0	0	0
109	0	0	20	3	1	0	0	0
110	0	0	20	3	1	0	0	0
111	0	0	20	3	1	0	0	0
112	0	0	20	3	1	0	0	0
113	0	0	20	3	1	0	0	0
114	0	0	20	3	1	0	0	0
115	0	0	20	3	1	0	0	0
116	0	0	20	3	1	0	0	0
117	0	0	20	3	1	0	0	0
118	0	0	20	3	1	0	0	0
119	0	0	20	3	1	0	0	0
120	0	0	20	3	1	0	0	0
121	0	0	20	3	1	0	0	0
122	0	0	20	3	1	0	0	0
123	0	0	20	3	1	0	0	0
124	0	0	20	3	1	0	0	0
125	0	0	20	3	1	0	0	0
