field0	field1	field2	field3	field4	field5
1	0	0	134217728	0	0
2	0	0	0	0	1
3	0	0	196608	0	0
6	134217728	0	-2147483648	0	0
8	0	0	134217728	0	0
9	0	0	1073741824	0	0
10	0	0	0	0	-1
11	134217728	0	0	0	0
12	0	0	134217728	0	0
13	134217728	0	0	0	0
14	0	0	134217728	0	0
15	0	0	134217728	0	0
16	0	0	134217728	0	0
17	134217728	0	-2147483648	0	0
18	0	0	134217728	0	0
20	0	0	536870912	0	0
21	134217728	0	-2147483648	0	0
22	1073741824	0	2	0	0
23	1073741826	0	0	0	2
26	1073741824	0	2	0	0
27	0	0	16	0	0
28	1073741826	0	0	0	3
30	0	0	536870912	0	0
31	0	0	0	0	-1
32	1073741826	0	0	0	1
33	0	0	1	0	0
34	0	0	1	0	0
36	0	0	16	0	0
38	335544320	0	134217728	0	0
41	0	0	1	0	0
42	0	0	1	0	0
43	0	0	536870912	0	0
44	0	0	536870912	0	0
45	134217728	0	0	0	0
46	134217728	0	-2147483648	0	0
47	134217728	0	-2147483648	0	0
48	134217728	0	-2147483648	0	0
49	0	0	134217728	0	0
50	335544320	0	0	0	0
51	335544320	0	0	0	0
52	0	0	0	0	2
54	2	0	0	0	0
55	2	0	0	0	0
56	0	0	1073741826	0	0
57	0	0	1073741826	0	0
58	0	0	1073741826	0	0
59	0	0	134217728	0	0
60	0	0	1	0	0
61	0	0	0	0	2
63	2	0	0	0	0
64	0	0	1073741824	0	0
65	1073741824	0	0	0	0
66	0	0	16	0	0
69	0	0	1	0	0
70	0	0	1	0	0
71	0	0	1	0	0
72	0	0	16	0	0
74	0	0	8	0	0
75	1073741826	0	0	0	0
76	0	0	2097152	0	0
77	0	0	1073741826	0	0
78	-2147483648	0	0	0	0
82	0	0	536870912	0	0
83	0	0	1	0	0
85	0	0	16	0	0
86	0	0	8192	0	0
87	0	0	0	0	-1
88	0	0	0	0	1
90	2	0	0	0	0
91	2	0	0	0	0
92	2	0	0	0	0
94	0	0	134217728	0	0
95	0	0	134217728	0	0
96	0	0	134217728	0	0
97	0	0	536870912	0	0
98	0	0	1073741826	0	0
99	1073741824	0	2	0	0
100	0	0	1	0	0
101	0	0	1	0	0
102	0	0	134217728	0	0
105	2	0	0	0	0
106	0	0	0	0	2
107	0	0	0	0	-1
108	0	0	536870912	0	0
109	0	0	131072	0	0
110	0	0	131072	0	0
112	0	0	131072	0	0
113	0	0	131072	0	0
114	0	0	131072	0	0
115	0	0	131072	0	0
116	0	0	0	0	-1
117	0	0	0	0	-1
118	0	0	0	0	-1
119	0	0	0	0	-1
120	0	0	65536	0	0
121	0	0	65536	0	0
122	0	0	536870912	0	0
123	0	0	0	0	-1
125	134217728	0	0	0	0
126	134217728	0	0	0	0
129	134217728	0	0	0	0
130	134217728	0	0	0	0
