field0	field1	field2	field3	field4	field5	field6	field7	field8
1	4	0	1114636288	0	0	0	0	32
2	10	0	1114636288	0	0	0	0	64
4	14	0	1114636288	0	0	0	0	128
6	27	0	1114636288	0	0	0	0	32
8	101	0	1114636288	0	0	0	64	0
9	118	0	1114636288	0	1	0	8385	0
10	120	0	1119092736	0	0	0	0	0
11	136	0	1114636288	0	0	0	1	0
12	261	0	1114636288	0	0	0	0	64
14	269	0	1114636288	0	0	0	0	64
15	453	0	1114636288	0	0	0	66	0
16	605	0	1114636288	0	0	0	255	0
17	710	0	1114636288	0	0	0	12	0
18	724	0	1114636288	0	0	0	0	64
19	747	0	1114636288	0	0	0	0	64
21	1035	0	1114636288	0	0	0	0	256
22	1098	0	1114636288	0	0	0	4	0
23	1122	0	1114636288	0	0	0	0	64
24	1194	0	1114636288	0	0	0	0	256
25	1196	0	1114636288	0	0	0	0	256
26	1210	0	1114636288	0	0	0	0	256
27	1214	0	1114636288	0	0	0	0	256
28	1225	0	1114636288	0	0	0	0	256
29	1228	0	1114636288	0	0	0	0	256
31	1241	0	1114636288	0	0	0	0	256
32	1249	0	1114636288	0	0	0	0	256
33	1250	0	1114636288	0	0	0	0	256
34	1251	0	1114636288	0	0	0	0	256
35	1266	0	1114636288	0	0	0	0	256
36	1267	0	1114636288	0	0	0	0	256
37	1350	0	1114636288	0	0	0	0	256
38	1364	0	1114636288	0	0	0	0	256
39	1373	0	1114636288	0	0	0	0	256
41	1446	0	1114636288	0	0	0	0	256
42	1462	0	1114636288	0	0	0	1	0
43	1467	0	1114636288	0	0	0	0	256
48	1481	0	1114636288	0	0	0	0	256
49	1510	0	1114636288	0	0	0	0	64
50	1513	0	1114636288	0	0	0	1	0
51	1515	0	1114636288	0	0	0	1	0
52	1528	0	1114636288	0	0	0	1	0
53	1538	0	1114636288	0	0	0	0	16384
54	1543	0	1114636288	0	0	0	0	64
55	1579	0	1114636288	0	0	0	0	256
56	1588	0	1114636288	0	0	0	0	256
57	1650	0	1114636288	0	0	0	0	256
58	1666	0	1114636288	0	0	0	0	256
59	1669	0	1114636288	0	0	0	0	256
60	1680	0	1114636288	0	255	0	0	0
61	1725	0	1114636288	0	0	0	0	64
62	1800	0	1114636288	0	0	0	0	256
63	1809	0	1114636288	0	0	0	0	256
64	1810	0	1114636288	0	0	0	0	256
65	1811	0	1114636288	0	0	0	0	256
66	1831	0	1114636288	0	0	0	0	256
67	1842	0	1114636288	0	0	0	0	16384
68	1843	0	1114636288	0	0	0	0	16384
69	1940	0	1114636288	0	0	0	0	64
70	1950	0	1114636288	0	0	0	0	256
72	2000	0	1114636288	0	0	0	0	256
73	2006	0	1114636288	0	0	0	0	32768
74	2008	0	1114636288	0	0	0	0	32768
75	2020	0	1114636288	0	0	0	0	256
76	2021	0	1114636288	0	0	0	0	256
77	2118	0	1114636288	0	0	0	0	256
78	2119	0	1114636288	0	0	0	0	256
80	2124	0	1114636288	0	0	0	0	256
81	2125	0	1114636288	0	0	0	0	256
82	2141	0	1114636288	0	0	0	0	256
83	2142	0	1114636288	0	0	0	0	256
84	2143	0	1114636288	0	0	0	0	256
90	2366	0	1114636288	0	0	0	0	16384
91	2368	0	1114636288	0	0	0	0	16384
92	2369	0	1114636288	0	0	0	0	16384
93	2371	0	1114636288	0	0	0	0	16384
96	2425	0	1114636288	0	0	0	0	128
97	2442	0	1114636288	0	0	0	0	256
98	2443	0	1114636288	0	0	0	0	256
99	2444	0	1114636288	0	0	0	0	256
100	2446	0	1114636288	0	0	0	0	256
102	2575	0	1114636288	0	0	0	0	16384
103	2576	0	1114636288	0	0	0	0	16384
105	2633	0	1114636288	0	0	0	0	256
106	2634	0	1114636288	0	0	0	0	256
107	2636	0	1114636288	0	0	0	0	256
108	2637	0	1114636288	0	0	0	3	0
109	2641	0	1114636288	0	0	0	1	0
114	2828	0	1114636288	0	0	0	0	16
115	2829	0	1114636288	0	0	0	0	16
116	2830	0	1114636288	0	0	0	0	16
117	2831	0	1114636288	0	0	0	0	16
118	2832	0	1114636288	0	0	0	0	16
119	2833	0	1114636288	0	0	0	0	16
123	3106	0	1114636288	0	0	0	0	32
124	3109	0	1114636288	0	0	0	0	64
125	3112	0	1114636288	0	0	0	0	16
126	3113	0	1114636288	0	0	0	0	16
127	3114	0	1114636288	0	0	0	0	16
130	3279	0	1114636288	0	0	0	0	256
131	3280	0	1114636288	0	0	0	0	256
132	3286	0	1114636288	0	0	0	0	256
134	3365	0	1114636288	0	0	0	0	16384
135	3366	0	1114636288	0	0	0	0	16384
136	3407	0	1114636288	0	0	0	0	16384
138	3442	0	1114636288	0	0	0	64	0
140	3539	0	1114636288	0	0	0	0	256
141	3553	0	1114636288	0	0	0	0	256
142	3564	0	1114636288	0	0	0	0	16384
