field0	field1	field2	field3	field4
6	162	0	0	0
7	162	0	0	0
8	162	0	0	0
9	162	0	0	0
10	162	0	0	0
11	162	0	0	0
12	162	0	0	0
13	162	0	0	0
14	162	0	0	0
15	162	0	0	0
16	162	0	0	0
17	162	0	0	0
18	162	0	0	0
19	162	0	0	0
20	162	0	0	0
21	162	0	0	0
22	162	0	0	0
23	162	0	0	0
25	162	0	0	0
26	162	0	0	0
27	162	0	0	0
28	162	0	0	0
29	162	0	0	0
30	162	0	0	0
31	162	0	0	0
32	162	0	0	0
33	162	0	0	0
34	162	0	0	0
35	162	0	0	0
36	162	0	0	0
37	162	0	0	0
38	162	0	0	0
39	162	0	0	0
40	162	0	0	0
41	162	0	0	0
42	162	0	0	0
43	162	0	0	0
44	162	0	0	0
45	162	0	0	0
46	162	0	0	0
47	162	0	0	0
48	162	0	0	0
49	162	0	0	0
50	162	0	0	0
51	162	0	0	0
52	162	0	0	0
53	162	0	0	0
54	162	0	0	0
55	162	0	0	0
56	162	0	0	0
57	162	0	0	0
58	162	0	0	0
59	162	0	0	0
60	162	0	0	0
61	162	0	0	0
64	3	0	0	0
65	162	0	0	0
66	162	0	0	0
67	162	0	0	0
68	162	0	0	0
69	162	14	0	0
70	162	14	0	0
71	162	14	0	0
72	14	0	0	0
73	162	14	0	0
74	162	0	0	0
75	162	0	0	0
76	162	14	0	0
77	162	0	0	0
78	162	14	0	0
79	162	14	0	0
80	162	14	0	0
81	162	14	0	0
82	162	14	0	0
83	14	0	0	0
84	162	14	0	0
85	162	0	0	0
86	162	14	0	0
87	162	14	0	0
88	162	14	0	0
89	162	0	0	0
90	162	14	0	0
91	162	14	0	0
92	14	15	0	0
93	162	14	0	0
94	162	14	0	0
95	162	14	0	0
96	162	14	0	0
97	14	0	0	0
98	14	0	0	0
99	14	15	0	0
100	0	0	7997	0
101	0	0	5107	0
102	0	0	5109	0
103	0	0	5113	0
104	0	0	5110	0
105	0	0	5108	0
109	0	0	5251	0
110	162	0	0	0
111	162	0	0	0
112	0	0	5638	0
113	0	0	5251	0
114	162	0	0	0
115	162	0	0	0
116	162	0	0	0
117	162	0	0	0
118	162	0	0	0
119	6	0	0	0
120	6	0	0	0
121	6	0	0	0
122	6	0	0	0
123	162	0	0	0
124	6	0	0	0
125	6	0	0	0
126	6	0	0	0
127	6	0	0	0
128	6	0	0	0
129	6	0	0	0
130	6	0	0	0
131	6	0	0	0
132	6	0	0	0
133	6	0	0	0
134	6	0	0	0
135	6	0	0	0
136	6	0	0	0
137	162	0	0	0
138	162	0	0	0
139	7	0	0	0
140	7	0	0	0
141	7	0	0	0
142	7	0	0	0
143	7	0	0	0
151	5	0	0	0
152	4	0	0	0
153	162	0	0	0
154	162	0	0	0
155	162	0	0	0
156	162	0	0	0
157	3	0	0	0
161	162	0	0	0
162	162	0	0	0
163	162	14	0	0
164	162	14	0	0
165	0	0	7667	0
166	162	0	0	0
167	162	0	0	0
168	162	0	0	0
169	162	0	0	0
170	162	0	0	0
171	162	0	0	0
172	162	0	0	0
173	162	0	0	0
174	162	0	0	0
175	162	0	0	0
176	162	0	0	0
177	162	0	0	0
178	162	0	0	0
179	162	0	0	0
180	162	0	0	0
181	162	0	0	0
182	162	0	0	0
183	162	0	0	0
184	162	0	0	0
185	162	0	0	0
186	162	0	0	0
187	162	0	0	0
188	162	0	0	0
189	162	0	0	0
190	162	0	0	0
191	162	0	0	0
192	162	0	0	0
193	162	0	0	0
194	162	0	0	0
195	162	0	0	0
196	162	0	0	0
197	162	0	0	0
198	162	0	0	0
199	162	0	0	0
200	162	0	0	0
201	162	0	0	0
202	162	0	0	0
203	162	0	0	0
204	162	0	0	0
205	162	0	0	0
206	162	0	0	0
207	162	0	0	0
208	162	0	0	0
209	162	0	0	0
212	162	0	0	0
213	12	0	0	0
214	12	0	0	0
215	162	0	0	0
216	0	0	8523	0
217	0	0	8523	0
218	0	0	8523	0
219	162	0	0	0
220	162	0	0	0
221	162	0	0	0
222	162	14	0	0
223	14	15	0	0
224	162	0	0	0
225	162	0	0	0
226	162	14	0	0
227	14	15	0	0
228	162	14	0	0
229	162	0	0	0
230	162	14	0	0
231	162	14	0	0
232	162	14	0	0
233	14	15	0	0
234	162	14	0	0
235	14	15	0	0
236	14	15	0	0
237	162	14	0	0
238	14	15	0	0
239	162	14	0	0
240	162	14	0	0
241	162	0	0	0
242	14	15	0	0
243	162	14	0	0
244	162	14	0	0
245	162	14	0	0
246	162	14	0	0
247	14	15	0	0
249	162	14	0	0
250	162	14	0	0
251	162	14	0	0
252	162	14	0	0
253	162	14	0	0
254	14	15	0	0
255	162	14	0	0
256	162	14	0	0
257	162	14	0	0
258	162	14	0	0
259	162	14	0	0
260	162	14	0	0
261	162	14	0	0
262	162	14	0	0
263	162	14	0	0
264	162	14	0	0
265	6	0	0	0
266	6	0	0	0
267	7	0	0	0
268	6	0	0	0
269	7	0	0	0
270	7	0	0	0
271	7	0	0	0
272	7	0	0	0
273	7	0	0	0
274	7	0	0	0
275	7	0	0	0
276	7	0	0	0
277	7	0	0	0
278	7	0	0	0
279	7	0	0	0
280	7	0	0	0
281	7	0	0	0
282	7	0	0	0
283	8	0	0	0
284	8	0	0	0
285	8	0	0	0
286	8	0	0	0
287	8	0	0	0
288	8	0	0	0
289	8	0	0	0
290	8	0	0	0
291	8	0	0	0
292	8	0	0	0
293	8	0	0	0
294	8	0	0	0
295	8	0	0	0
296	8	0	0	0
297	8	0	0	0
298	8	0	0	0
299	8	0	0	0
300	8	0	0	0
301	8	0	0	0
302	8	0	0	0
303	9	0	0	0
304	9	0	0	0
305	9	0	0	0
306	9	0	0	0
307	9	0	0	0
308	9	0	0	0
309	9	0	0	0
310	9	0	0	0
311	9	0	0	0
312	9	0	0	0
313	9	0	0	0
314	9	0	0	0
315	9	0	0	0
316	9	0	0	0
317	9	0	0	0
318	9	0	0	0
319	9	0	0	0
320	9	0	0	0
321	9	0	0	0
322	9	0	0	0
323	9	0	0	0
324	9	0	0	0
325	9	0	0	0
326	9	0	0	0
327	9	0	0	0
328	9	0	0	0
329	9	0	0	0
330	6	0	0	0
331	162	0	0	0
332	162	0	0	0
333	6	0	0	0
334	8	0	0	0
335	8	0	0	0
337	0	0	5251	0
338	162	14	0	0
339	162	0	0	0
340	162	0	0	0
341	162	0	0	0
342	162	0	0	0
343	162	0	0	0
344	162	14	0	0
345	162	14	0	0
347	4	0	0	0
348	162	0	0	0
349	162	0	0	0
351	0	0	12384	0
352	0	0	12384	0
353	0	0	12384	0
354	0	0	12384	0
355	0	0	12384	0
356	0	0	12384	0
357	0	0	12384	0
359	162	0	0	0
360	162	0	0	0
361	162	0	0	0
362	162	0	0	0
363	162	0	0	0
364	162	0	0	0
365	162	0	0	0
366	162	0	0	0
367	162	0	0	0
368	162	0	0	0
369	162	0	0	0
370	162	0	0	0
371	162	0	0	0
372	162	0	0	0
373	162	0	0	0
374	162	0	0	0
375	162	0	0	0
376	162	0	0	0
377	162	0	0	0
378	162	0	0	0
379	162	0	0	0
380	162	0	0	0
381	162	0	0	0
382	162	0	0	0
383	162	0	0	0
384	162	0	0	0
385	162	0	0	0
386	162	0	0	0
387	162	0	0	0
388	162	0	0	0
389	162	0	0	0
390	162	0	0	0
391	162	0	0	0
392	162	0	0	0
393	162	0	0	0
394	162	0	0	0
395	162	0	0	0
396	162	0	0	0
397	162	0	0	0
398	162	0	0	0
399	162	0	0	0
400	162	0	0	0
401	162	0	0	0
402	162	0	0	0
403	162	0	0	0
404	162	0	0	0
405	162	0	0	0
406	162	0	0	0
407	162	0	0	0
408	162	0	0	0
409	162	0	0	0
410	162	0	0	0
411	162	0	0	0
412	162	0	0	0
413	162	0	0	0
414	162	0	0	0
415	162	0	0	0
416	162	0	0	0
417	162	0	0	0
418	9	0	0	0
419	9	0	0	0
420	12	0	0	0
421	4	0	0	0
422	12	0	0	0
423	12	0	0	0
424	12	0	0	0
425	12	0	0	0
426	12	0	0	0
427	12	0	0	0
428	12	0	0	0
429	12	0	0	0
430	4	0	0	0
431	0	0	15826	0
432	162	0	0	0
433	162	0	0	0
434	162	0	0	0
435	162	0	0	0
436	162	0	0	0
437	162	0	0	0
438	162	14	0	0
439	162	14	0	0
440	162	14	0	0
441	14	15	0	0
442	162	14	0	0
443	162	14	0	0
444	162	0	0	0
445	162	0	0	0
446	162	14	0	0
447	162	14	0	0
448	162	14	0	0
449	14	15	0	0
450	162	14	0	0
451	162	0	0	0
452	162	14	0	0
453	9	0	0	0
454	9	0	0	0
455	9	0	0	0
456	9	0	0	0
457	9	0	0	0
458	9	0	0	0
459	9	0	0	0
460	9	0	0	0
461	9	0	0	0
462	9	0	0	0
463	9	0	0	0
464	9	0	0	0
465	9	0	0	0
466	10	0	0	0
467	9	0	0	0
468	9	0	0	0
469	9	0	0	0
470	10	0	0	0
471	10	0	0	0
472	10	0	0	0
473	10	0	0	0
474	10	0	0	0
475	10	0	0	0
476	10	0	0	0
477	162	0	0	0
