field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	field23	field24	field25	field26	field27	field28	field29	field30	field31	field32	field33	field34
1	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	32	11	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	9161	0	0	0	0	0	0	0	0	0
4	0	6	6	5	0	0	0	1	17	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	7	164	1947	0	0	0	1	7898	0	1	4222	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	395	0	697	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	45	46	9	33	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	32	0	0	0	0	0	1	2998	2	4	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	137	138	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	9162	0	0	0	0	0	0	0	0	0
10	0	114	118	0	87	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	17	47	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	4689	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	194	202	4991	3531	0	0	1	4807	0	1	3013	0	1	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	195	203	0	73	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	32	11	0	73	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	195	203	24	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	300	750	4	0	0	0	0	0	0	0	0	0	0	0	0	0
