field0	field1	field2	field3	field4	field5	field6	field7	field8	field9
1	SeedOfCorruption_State	Spells\SeedOfCorruption_State.mdx	1	1	0.01	100	0	1	0
2	FireBolt Impact Chest	Spells\FireBolt_ImpactDD_Med_Chest.mdx	1	1	0.01	100	0	1	0
3	zzOLD__Heal	Spells\Heal\Heal.mdl	1	1	0.01	100	0	1	0
4	zzOLD__HealCast	Spells\HealCast\HealCast.mdl	1	1	0.01	100	0	1	0
6	Teleport In	Spells\TeleportIn\TeleportIn.mdx	1	1	0.01	100	0	1	0
10	zzOLD__Teleport Cast	Spells\TeleportCast\TeleportCast.mdl	1	1	0.01	100	0	1	0
11	Footstep Spray Snow Run	Particles\FootstepSpraySnow.mdl	1	1	0.01	100	0	1	0
12	Footstep Spray Snow Walk	Particles\FootstepSpraySnowWalk.mdl	1	1	0.01	100	0	1	0
14	HARDCODED Loot Art	Particles\LootFX.mdl	1	1	0.01	100	0	1	0
17	Shadow Precast Low Hand	Spells\Shadow_Precast_Low_Hand.mdx	1	1	0.01	100	0	1	0
18	zzOLD__Death Touch Cast	Spells\DeathTouchCast\DeathTouchCast.mdl	1	1	0.01	100	0	1	0
20	zzOLD__Heal Hands	Spells\HealHands\HealHands.mdl	1	1	0.01	100	0	1	0
21	HARDCODED Unit Level Up	Spells\LevelUp\LevelUp.mdl	1	1	0.01	100	0	1	0
23	zzOLD__FreezingFinger2_Impact_Head	Particles\FreezingFinger2_Impact_Head.MDL	1	1	0.01	100	0	1	0
24	zzOLD__FreezingFinger_Impact_Chest	Particles\FreezingFinger_Impact_Chest.MDL	1	1	0.01	100	0	1	0
25	zzOLD__FreezingFinger_Impact_Base	Particles\FreezingFinger_Impact_Base.MDL	1	1	0.01	100	0	1	0
26	zzOLD__FrostCastConeofCold	Particles\FrostCastConeofCold.MDL	1	1	0.01	100	0	1	0
27	zzOLD__Portal	Spells\Summon03\Summon03.mdl	1	1	0.01	100	0	1	0
28	zzOLD__Numb_Impact_Base	Particles\Numb_Impact_Base.MDL	1	1	0.01	100	0	1	0
29	zzOLD__FreezingCloud_Impact_Base	Particles\FreezingCloud_Impact_Base.MDL	1	1	0.01	100	0	1	0
30	zzOLD__Numb_Precast_Hand	Particles\Numb_Precast_Hand.MDL	1	1	0.01	100	0	1	0
32	zzOLD__FrostBolt Missle	Particles\FrostBolt_Missle.mdl	1	1	0.01	100	0	1	0
33	zzOLD__FrostBlast_Precast_Hand	Particles\FrostBlast_Precast_Hand.MDL	1	1	0.01	100	0	1	0
34	zzOLD__FrostBolt Impact	Particles\FrostBolt_Impact_Chest.mdl	1	1	0.01	100	0	1	0
36	zzOLD__Freeze_Impact_Base	Particles\Freeze_Impact_Base.MDL	1	1	0.01	100	0	1	0
37	zzOLD__Freeze_Impact_Chest	Particles\Freeze_Impact_Chest.MDL	1	1	0.01	100	0	1	0
38	zzOLD__FrostArmor_Impact_Head	Particles\FrostArmor_Impact_Head.MDL	1	1	0.01	100	0	1	0
39	zzOLD__FrostNova_Impact_Chest	Particles\FrostNova_Impact_Chest.MDL	1	1	0.01	100	0	1	0
40	zzOLD__FreezeNova_Impact_Chest	Particles\FreezeNova_Impact_Chest.MDL	1	1	0.01	100	0	1	0
41	zzOLD__FreezingFinger4_Impact_Head	Particles\FreezingFinger4_Impact_Head.mdl	1	1	0.01	100	0	1	0
42	zzOLD__StarStun_State_Head	horse2.mdx	1	1	0.01	100	0	1	0
43	zzOLD__CorrodeArmor_Impact_Head	Particles\CorrodeArmor_Impact_Head.MDL	1	1	0.01	100	0	1	0
44	Earth Burrow Cast (Red)	Spells\BurrowEarth_Hellfire_Missile.mdx	1	1	0.01	100	0	1	0
45	Fire Precast Low Hand	Spells\Fire_Precast_Low_Hand.mdx	1	1	0.01	100	0	1	0
46	zzOLD__BurningBlast_Precast_Base	Particles\BurningBlast_Precast_Base.MDL	1	1	0.01	100	0	1	0
47	Readiness Impact Chest	spells\readiness_impact_chest.mdx	1	1	0.01	100	0	1	0
48	zzOLD__BoltofIce_Impact_Chest	Particles\BoltofIce_Impact_Chest.mdl	1	1	0.01	100	0	1	0
49	zzOLD__FrostBlast_Precast_Base	Particles\FrostBlast_Precast_Base.mdl	1	1	0.01	100	0	1	0
50	StunSwirl State Head	Spells\StunSwirl_State_Head.mdx	1	1	0.01	100	0	1	0
51	zzOLD__WalkofFire	Particles\WalkofFire_area.mdl	2	1	0.01	100	0	1	0
53	zzOLD__Frost_Precast_Base	Particles\Frost_Precast_Base.mdl	1	1	0.01	100	0	1	0
54	Ice Precast Uber Head	Spells\Ice_Precast_Uber_Head.mdx	1	1	0.01	100	0	1	0
55	Combat Blood Spurt Back Large Red	Particles\BloodSpurts\BloodSpurtLarge.mdx	1	1	0.01	100	0	1	0
56	zzOLD__BoltofFire_missle	Particles\BoltofFire_missle.mdl	1	1	0.01	100	0	1	0
57	zzOLD__FireShield_Impact_Base	Particles\FireShield_Impact_Base.mdl	1	1	0.01	100	0	1	0
58	zzOLD__Frost_Cast_Chest	Particles\Frost_Cast_Chest.mdl	1	1	0.01	100	0	1	0
59	zzOLD__Frost_Precast_Chest	Particles\Frost_Precast_Chest.mdl	1	1	0.01	100	0	1	0
60	zzOLD__Frost_Cast_Base	Particles\Frost_Cast_Base.mdl	1	1	0.01	100	0	1	0
61	zzOLD__Frost_Precast3_Base	Particles\Frost_Precast3_Base.mdl	1	1	0.01	100	0	1	0
62	zzOLD__Frost_Cast2_Base	Particles\Frost_Cast2_Base.mdl	1	1	0.01	100	0	1	0
63	zzOLD__Frost_Precast_Low_Hand	particles\coldbreath.mdx	1	1.2	0.01	100	0	1	0
64	zzOLD__Frost_Cast_Hand	Particles\Frost_Cast_Hand.mdl	1	1	0.01	100	0	1	0
65	zzOLD__BurningBlast_Cast_Base	Particles\BurningBlast_Cast_Base.mdl	1	1	0.01	100	0	1	0
66	zzOLD__FreezingFinger1_Impact_Head	Particles\FreezingFinger1_Impact_Head.mdl	1	1	0.01	100	0	1	0
67	zzOLD__FrostBlast_Cast_Base	Particles\FrostBlast_Cast_Base.mdl	1	1	0.01	100	0	1	0
68	zzOLD__FreezingFinger3_Impact_Head	Particles\FreezingFinger3_Impact_Head.mdl	1	1	0.01	100	0	1	0
69	zzOLD__CircleofFlame_area	Particles\CircleofFlame_area.mdl	1	1	0.01	100	0	1	0
70	Rejuvenation Impact Base	Spells\Rejuvenation_Impact_Base.mdx	1	1	0.01	100	0	1	0
71	zzOLD__Rejuvenation Impact Chest	Particles\NaturesTouch1_Impact_Chest.mdl	1	1	0.01	100	0	1	0
72	zzOLD__Nature_Precast_Base	Particles\Nature_Precast_Base.mdl	1	1	0.01	100	0	1	0
73	Nature Cast Hand	Spells\Nature_Cast_Hand.mdx	1	1	0.01	100	0	1	0
74	CallLightning Impact	Spells\CallLightning_Impact.mdx	1	1	0.01	100	0	1	0
75	zzOLD__FireShield_State_Base	Particles\FireShield_State_Base.mdl	0	1	0.01	100	0	1	0
77	zzOLD__CallStorm_PreCast_Base	Particles\CallStorm_PreCast_Base.mdl	1	1	0.01	100	0	1	0
78	zzOLD__LightningShield_Impact_Chest	Particles\LightningShield_Impact_Chest.mdl	1	1	0.01	100	0	1	0
79	EntanglingRoots_Impact_Base	Particles\EntanglingRoots_Impact_Base.mdl	1	1	0.01	100	0	1	0
80	EntanglingRoots State	Spells\EntanglingRoots_State.mdx	1	1	0.01	10	0	1	0
81	zzOLD__FrostCloud_Cast_Base	Particles\FrostCloud_Cast_Base.mdl	1	1	0.01	100	0	1	0
82	zzOLD__Nature_Cast_Base	Particles\Nature_Cast_Base.mdl	1	1	0.01	100	0	1	0
83	Ice ImpactDD Low Chest	Spells\Ice_ImpactDD_Low_Chest.mdx	1	1	0.01	100	0	1	0
84	zzOLD__IcePrison_State_Base	Particles\IcePrison_State.mdl	1	1	0.01	100	0	1	0
85	zzOLD__Resurrection_Impact_Base	Particles\Resurrection_Impact_Base.mdl	1	1	0.01	100	0	1	0
86	Defensive Stance Impact Chest	Spells\DefensiveStance_Impact_Chest.mdx	1	1	0.01	100	0	1	0
87	zzOLD__LightningShield_Cast_Base	Particles\LightningShield_Cast_Base.mdl	1	1	0.01	100	0	1	0
88	Lightning PreCast Low Hand	Spells\Lightning_PreCast_Low_Hand.mdx	1	1	0.01	100	0	1	0
89	Immolate Impact Chest	Spells\Immolate_Impact_Chest.mdx	1	1	0.01	100	0	1	0
90	SliceDice Impact Chest	Spells\SliceDice_Impact_Chest.mdx	1	1	0.01	100	0	1	0
91	zzOLD__BloodLust_Impact_Base	Particles\BloodLust_Impact_Base.mdl	1	1	0.01	100	0	1	0
92	zzOLD__Dismember_Impact_Chest	Particles\Dismember_Impact_Chest.mdl	1	1	0.01	100	0	1	0
93	ShieldBash Impact Chest	Spells\ShieldBash_Impact_Chest.mdx	1	1	0.01	100	0	1	0
94	BloodLust State Hand	Spells\BloodLust_State_Hand.mdx	1	1	0.01	100	0	1	0
95	Missile: Meteor (Scale: x3)	spells\Meteor_Ball_Missile.mdx	1	3	0.01	100	0	1	0
96	zzOLD__Lightning_PreCast_Base	Particles\Lightning_PreCast_Base.mdl	1	1	0.01	100	0	1	0
97	Cripple State Chest	Spells\Cripple_State_Chest.mdx	1	1	0.01	100	0	1	0
98	Alexander\'s Test Missile	Spells\Missile_Wave_Ice.m2	1	1	0.01	100	0	1	0
99	Food HealEffect Base	Spells\Food_HealEffect_Base.mdx	1	1	0.01	100	0	1	0
100	Teleport	Spells\Teleport.mdx	1	1	0.01	100	0	1	0
101	HeadSplitter Impact Chest	Spells\HeadSplitter_Impact_Chest.mdx	1	1	0.01	100	0	1	0
102	Bloodlust Cast Hand	Spells\BloodLust_Cast_Hand.mdx	1	1	0.01	100	0	1	0
103	SummonPet PreCast Impact Base	Spells\SummonPet_Impact_Base.mdx	1	1	0.01	100	0	1	0
104	zzOLD__DismemberBlood_Impact_Chest	Particles\DismemberBlood_Impact_Chest.mdl	1	1	0.01	100	0	1	0
105	Footstep Spray Dirt Run	Particles\FootstepSprayDirt.mdx	1	1	0.01	100	0	1	0
106	Footstep Spray Dirt Walk	Particles\FootstepSprayDirtWalk.mdl	1	1	0.01	100	0	1	0
107	HARDCODED Breath Cold	Particles\ColdBreath.mdl	1	1	0.01	100	0	1	0
108	HARDCODED Breath Underwater	Particles\Bubbles.mdl	1	1	0.01	100	0	1	0
109	Combat Blood Spurt Front Small Red	Particles\BloodSpurts\BloodSpurt.mdl	1	1	0.01	100	0	1	0
110	Holy ImpactDD Uber Chest	Spells\Holy_ImpactDD_Uber_Chest.mdx	1	1	0.01	100	0	1	0
117	Ice Precast Low Hand	Spells\Ice_Precast_Low_Hand.mdx	1	1	0.01	100	0	1	0
118	zzOLD__Hit Splat Physical Big	Particles\BloodSpurts\HitSprite.mdx	1	1	0.01	100	0	1	0
119	Holy Precast Uber Hand	Spells\Holy_Precast_Uber_Hand.mdx	1	1	0.01	100	0	1	0
120	zzOLD__Hit Splat Holy Small	Particles\BloodSpurts\HitSprite.mdx	1	1	0.01	100	0	1	0
121	Ice Precast Med Hand	Spells\Ice_Precast_Med_Hand.mdx	1	1	0.01	100	0	1	0
122	Ice Precast High Base	Spells\Ice_Precast_High_Base.mdx	1	1	0.01	100	0	1	0
123	Holy Precast High Base	Spells\Holy_Precast_High_Base.mdx	1	1	0.01	100	0	1	0
124	Holy ImpactDD Med Chest	Spells\Holy_ImpactDD_Med_Chest.mdx	1	1	0.01	100	0	1	0
125	Holy ImpactDD High Chest	Spells\Holy_ImpactDD_High_Chest.mdx	1	1	0.01	100	0	1	0
126	Ice Precast High Hand	Spells\Ice_Precast_High_Hand.mdx	1	1	0.01	100	0	1	0
127	Ice Precast Uber Hand	Spells\Ice_Precast_Uber_Hand.mdx	1	1	0.01	100	0	1	0
128	Ice Precast Uber Base	Spells\Ice_Precast_Uber_Base.mdx	1	1	0.01	100	0	1	0
129	Holy ImpactDD Low Chest	Spells\Holy_ImpactDD_Low_Chest.mdx	1	1	0.01	100	0	1	0
130	Holy Precast Med Hand	Spells\Holy_Precast_Med_Hand.mdx	1	1	0.01	100	0	1	0
131	Holy Precast High Hand	Spells\Holy_Precast_High_Hand.mdx	1	1	0.01	100	0	1	0
134	zzOLD__Heal Precast Base	Particles\Heal_Precast_Base.mdl	1	1	0.01	100	0	1	0
135	Holy Precast Low Hand	Spells\Holy_Precast_Low_Hand.mdx	1	1	0.01	100	0	1	0
136	zzOLD__Heal Cast Base	Particles\Heal_cast_Base.mdl	1	1	0.01	100	0	1	0
140	zzOLD__Heal_Impact_Base	Particles\Heal_Impact_Base.mdl	1	1	0.01	100	0	1	0
141	zzOLD__Heal Precast Chest	Particles\Heal_Precast_Chest.mdl	1	1	0.01	100	0	1	0
142	zzOLD__HolySmite Impact	Particles\HolySmite_Impact_Chest.mdl	1	1	0.01	100	0	1	0
143	zzOLD__HolySmite Precast Base	Particles\HolySmite_Precast_Base.mdl	1	1	0.01	100	0	1	0
144	zzOLD__Restoration_Precast_Chest	Particles\Restoration_PreCast_Chest.mdl	1	1	0.01	100	0	1	0
145	zzOLD__Restoration_Precast_Base	Particles\Restoration_Precast_Base.mdl	1	1	0.01	100	0	1	0
146	Nature Precast Hand	Spells\Nature_PreCast_Low_Hand.mdx	1	1	0.01	100	0	1	0
147	Restoration Impact Base	Spells\Restoration_Impact_Base.mdx	0	1	0.01	100	0	1	0
148	Holy ImpactDD Uber Base	Spells\Holy_ImpactDD_Uber_Base.mdx	1	1	0.01	100	0	1	0
149	Shadow ImpactDD Low Chest	Spells\Shadow_ImpactDD_Low_Chest.mdx	1	1	0.01	100	0	1	0
150	Shadow ImpactDD Med Base	Spells\Shadow_ImpactDD_Med_Base.mdx	1	1	0.01	100	0	1	0
151	Missile: DeathCoil Missile	Spells\DeathCoil_Missile.mdx	1	1	0.01	100	0	1	0
152	zzOLD__Bloodlust_PreCast_Hand	Particles\Bloodlust_PreCast_Hand.mdl	1	1	0.01	100	0	1	0
153	Piercing Strike Cast Hand	Spells\PiercingStrike_Cast_Hand.mdx	1	1	0.01	100	0	1	0
154	zzOLD__BurningBlast_Impact	Particles\BurningBlast_Impact_Chest.mdl	1	1	0.01	100	0	1	0
155	zzOLD__HealSelf_Impact_Base	Particles\HealSelf_Impact_Base.mdl	1	1	0.01	100	0	1	0
156	zzOLD__HealSelf_PreCast_Hand	Particles\HealSelf_PreCast_Hand.mdl	1	1	0.01	100	0	1	0
157	LightningBolt Missile	Spells\LightningBolt_Missile.mdx	1	1	0.01	100	0	1	0
158	Slow Impact Base	Spells\Slow_Impact_Base.mdx	1	1	0.01	100	0	1	0
159	zzOLD__LogInEffect_Precast_Base	Particles\LoginFX.mdl	0	1	0.01	100	0	1	0
160	zzOLD__Corruption Impact Head	Particles\CorrodeArmor_Impact_Head.mdl	1	1	0.01	100	0	1	0
161	zzOLD__Power Word Shadow Impact	Particles\PWShadow_Impact.mdl	1	1	0.01	100	0	1	0
162	Invisibility Impact	Spells\Invisibility_Impact_Base.mdl	1	1	0.01	100	0	1	0
163	Invisibility PreCast Hands	Particles\Invisibility_PreCast_Hand.mdl	1	1	0.01	100	0	1	0
164	Combat Blood Spurt Front Large Red	Particles\BloodSpurts\BloodSpurtLarge.mdl	1	1	0.01	100	0	1	0
