field0	field1	field2	field3	field4	field5	field6
1	Spells\Blizzard_Impact_Base.mdx	0	0	5	0	1
2	Spells\RainOfFire_Impact_Base.mdx	0	0	5	0	1
3	Spells\CallLightning_Impact.mdx	0	0	0	0	1
4	Spells\FlamestrikeSmall_Impact_Base.mdx	0	0	0	0	1
5	Spells\DeathAndDecay_Area_Base.mdx	0	0	5	0	1
6	Spells\ArcaneShot_Area.mdx	0	0	5	0	1
7	Spells\StarShards_Impact_Base.mdx	0	0	3	0	1
8	Spells\Fel_RainOfFire_Impact_Base.mdx	0	0	5	0	1
9	Spells\HellfireRaid_Dust_Impact_Base.mdx	0	0	3	0	1
21	Spells\DeathAndDecay.mdx	0	0	5	0	1
41	Spells\DeathKnight_Desecration.mdx	0	0	0	0	1
61	Spells\Druid_StarfallMissile.mdx	0	0	30	0	1
81	Spells\archimonde_fire.mdx	0	0	0	0	1
82	Spells\Archimonde_Blue_Fire.mdx	0	0	0	0	1
83	Spells\DeathAndDecayGreen.mdx	0	0	5	0	1
85	Spells\Eden_Growth.mdx	0	0	1	0	1
86	Spells\Shaman_Healing_Rain.mdx	0	0	5	0	1
87	Spells\DeathAndDecay_Area_Runes_State.mdx	0	0	0	0	1
88	spells\shaman_earthquake_new.mdx	7	0	20	4	1
102	Spells\Blizzard_Impact_Base.mdx	0	0	10	0	1
103	Spells\Blizzard_Impact_Base.mdx	0	0	15	0	1
104	Spells\Blizzard_Impact_Base.mdx	0	0	30	0	1
105	Spells\Blizzard_Impact_Base.mdx	0	0	99	0	1
106	Spells\RainOfFire_Impact_Base.mdx	0	0	8	0	1
107	Spells\CallLightning_Impact.mdx	0	0	0.7	0	1
108	Spells\CallLightning_Impact.mdx	0	0	2	0	1
109	Spells\DeathAndDecay_Area_Base.mdx	0	0	20	0	1
110	Spells\StarShards_Impact_Base.mdx	0	0	5	0	1
111	Spells\HellfireRaid_Dust_Impact_Base.mdx	0	0	5	0	1
112	Spells\HellfireRaid_Dust_Impact_Base.mdx	0	0	8	0	1
113	Spells\HellfireRaid_Dust_Impact_Base.mdx	0	0	10	0	1
114	Spells\Shaman_Healing_Rain.mdx	0	0	20	0	1
115	spells\missile_wave_stone.mdx	3	2500	20	4	0.5
127	Spells\HellfireRaid_Dust_Impact_Base.mdx	0	0	20	0	1
131	spells\burrowearth_brown_missile_v2.mdx	7	3000	0	3	0.75
132	spells\shaman_unleash_frost.mdx	1	1000	0	3	1
133	spells\ground_rupture.mdx	5	2000	0	3	0.25
134	spells\eden_growth.mdx	0	0	1	3	1
135	Spells\Druid_StarfallMissile.mdx	0	0	10	0	1
136	spells\shaman_unleashedearth_01.mdx	5	2000	0	5	2.5
137	spells\water_explosion_nofish.mdx	5	1000	0	4	1
138	spells\resistanceaura_base.mdx	7	3000	0	3	0.75
139	spells\druid_hurricane_funnels_v2.mdx	8	0	2	0	1
140	spells\windblast.mdx	0	0	2	0	1
141	spells\burrowearth_brown_missile_v2.mdx	7	3000	0	6	0.75
142	spells\archimonde_purple_fire.mdx	7	0	0.5	1	0.25
143	spells\archimonde_purple_fire.mdx	3	2000	0.5	1	0.25
144	spells\shadow_vol_fog.mdx	7	3000	0	5	0.07
146	Spells\RainOfFire_Impact_Base.mdx	0	0	25	3	1.5
148	spells\druid_astral_storm_funnels.mdx	8	0	2	0	1
150	spells\shaman_lightningbolt_missile_v2.mdx	7	1000	0	2	1.5
151	spells\shaman_unleashedearth_01.mdx	5	2000	0	3	1.5
152	spells\lowpolyfireanim_blue.mdx	7	10000	5	0	0.2
153	spells\goo_splash_stateblack_light.mdx	7	10000	8	0	0.3
154	spells\acidcloudbreath_groundsmoke_blue.mdx	7	10000	8	0	0.2
155	spells\burrowearth_brown_missile_v2.mdx	7	3000	0	5	1.5
156	spells\shaman_unleashedearth_01.mdx	5	2000	0	5	2.5
157	Spells\ArcaneShot_Area.mdx	6	0	20	0.5	2
158	spells\burrowearth_brown_missile_v2.mdx	5	1000	0	5	1.5
159	spells\lavaworm_ashenfire_01.mdx	7	3000	0	4	0.75
160	spells\burrowearth_brown_missile_v2.mdx	0	3000	10	100	0.75
161	spells\goo_splash_stateblue.mdx	5	3000	0	5	0.5
162	spells\water_explosion_sha.mdx	7	2000	0	5	1
163	world\generic\passivedoodads\particleemitters\aurabluetall.mdx	7	3000	0	4	1
164	spells\druid_hurricane_funnels_v2.mdx	8	0	2	0	0.5
166	Spells\ArcaneShot_Area.mdx	0	0	10	0	1
169	spells\druid_hurricane_funnels_v2.mdx	8	0	2	0	4
170	Spells\CallLightning_Impact.mdx	8	0	1.5	0	3
171	Spells\DeathAndDecay.mdx	4	0	4	0	0.5
172	spells\druid_starfallmissile.mdx	0	0	5	0	1
173	spells\burrowearth_bonewaste_missile.mdx	1	1000	0	0	1
174	spells\orange_gas_01.mdx	4	1000	10	1	1
175	spells\burrowearth_brown_missile_v3.mdx	7	1250	0	2	0.5
176	spells\shaman_unleashedearth_01.mdx	5	2000	0	2	1
178	Spells\CallLightning_Impact.mdx	0	0	3	0	1
180	Spells\Fel_RainOfFire_Impact_Base.mdx	0	0	25	0	1
181	spells\enchantments\wind_high.mdx	5	1000	0	0	1
182	spells\acid_ground_cloud.mdx	7	3000	0	6	1.5
183	spells\bloodyexplosiongreen.mdx	7	350	0	3	5
184	spells\fear_state_head.mdx	7	1000	0	6	5
185	spells\acid_ground_cloud_purple.mdx	7	5000	0	6	2
