field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14
141	2689	1345	38	0	0	0	0	0	0	0	-1	-1	-1	0
161	12940	4477	19	0	0	0	0	0	0	0	-1	-1	-1	0
183	12947	3669	19	0	0	-3	0	0	0	0	-1	-1	-1	0
184	12956	3306	19	0	0	0	0	0	0	0	-1	-1	-1	0
203	12972	5601	-1	5	0	0	0	0	0	0	-1	-1	-1	0
204	12972	4562	-1	2	0	0	0	0	0	0	-1	-1	-1	0
205	12972	3039	-1	8	0	0	0	0	0	0	-1	-1	-1	0
272	12913	5735	19	0	0	0.2	0	0	0	0	-1	-1	-1	0
278	12995	5531	19	0	0	-3	0	0	0	0	-1	-1	-1	0
280	12995	5393	19	0	0	1	0	0	0	0	-1	-1	-1	0
301	12998	3105	19	0	0	-3	0	0	0	0	-1	-1	-1	0
302	12998	5055	19	0	0	1	0	0	0	0	-1	-1	-1	0
303	13001	5621	19	0	0	0	0	0	0	0	-1	-1	-1	0
306	13004	5623	19	0	0	0.5	0	-3.141.593	0	0	-1	-1	-1	0
307	13004	5623	19	0	0	0	0	0	0	0	-1	-1	-1	0
322	13007	328	-1	0	0	-2	0	0	0	0	-1	-1	-1	0
341	13012	5626	17	0.17	0	-0.5	0	-1.745.329	3.141.593	0	-1	-1	-1	0
361	13014	5628	17	-0.15	0	0.25	0	-0.174533	0	0	-1	-1	-1	0
382	12934	5842	19	0	0	-14	0	-15.708	0	0	-1	-1	-1	0
401	13022	3736	19	0	0	0	0	0	0	0	-1	-1	-1	0
422	13022	5701	19	0	0	0	0	0	0	0	-1	-1	-1	0
443	12856	5403	1	1	0	0	0	0	0	0	-1	-1	-1	0
444	13038	5504	-1	2	0	-5	0	0	0	0	-1	-1	-1	0
445	13038	3637	-1	2	0	-5	0	0	0	0	-1	-1	-1	0
473	13048	5653	22	0	0	-0.25	0	0	0	0	-1	-1	-1	0
474	13048	5653	21	0	0	-0.25	0	0	0	0	-1	-1	-1	0
479	13050	5659	19	0	0	0	0	0	0	0	-1	-1	-1	0
480	13050	2966	19	0	0	0	0	0	0	0	-1	-1	-1	0
481	13050	5656	19	0	0	0	0	0	0	0	-1	-1	-1	0
482	13050	5658	19	0	0	0	0	0	0	0	-1	-1	-1	0
483	13050	5657	19	0	0	0	0	0	0	0	-1	-1	-1	0
501	13061	5665	-1	0	0	0	0	0.349066	0	0	-1	-1	-1	0
521	13063	4295	19	2	0	1	0	0	0	0	-1	-1	-1	0
522	13065	5668	19	2	0	0	0	0	0	0	-1	-1	-1	0
541	13080	3663	21	0	-0.15	0	0	1.570.796	0	0	-1	-1	-1	0
542	13080	3663	22	0	0.15	0	0	1.570.796	0	0	-1	-1	-1	0
561	13092	5690	17	0	0	0	0	-1.570.796	0	0	-1	-1	-1	0
562	13092	5690	17	0	0	0	0	-1.570.796	0	0	-1	-1	-1	0
581	11124	1862	22	0	0	0	0	0	0	0	-1	-1	-1	0
582	13096	5693	17	0.75	0	0	0	0	0	0	-1	-1	-1	0
583	13097	5694	40	0	0	0	0	0	0	0	-1	-1	-1	0
609	13122	5700	21	-0.35	0	0	0	-1.570.796	0	0	-1	-1	-1	0
611	13122	5700	21	0	0	0	0	-1.570.796	0	0	-1	-1	-1	0
612	13122	5700	22	0	0	0	0	-1.570.796	0	0	-1	-1	-1	0
613	13122	5700	22	-0.35	0	0	0	-1.570.796	0	0	-1	-1	-1	0
615	13106	4877	19	0	0	5	0	0	0	0	-1	-1	-1	0
617	13107	5693	19	2	0	3	0	0.174533	0	0	-1	-1	-1	0
621	13125	5700	21	0	0	0	0	0	0	0	-1	-1	-1	0
622	13125	5700	21	0	0	0	0	0	0	0	-1	-1	-1	0
623	13125	5700	21	0	0	0	0	0	0	0	-1	-1	-1	0
701	13155	4223	19	5	0	0	0	0	0	0	-1	-1	-1	0
702	13155	4832	-1	10	0	0	0	0	0	0	-1	-1	-1	0
703	13156	4876	19	0	0	0	0	0	0	0	-1	-1	-1	0
741	13170	5729	-1	0	0	0	0	0.349066	0	0	-1	-1	-1	0
762	12913	5735	19	0	0	0.2	0	0	0	0	-1	-1	-1	0
763	12912	5733	19	0	0	0.2	0	0	0	0	-1	-1	-1	0
764	12912	5733	19	0	0	0.2	0	3.141.593	0	0	-1	-1	-1	0
781	13179	5738	-1	0	0	0	0	2.007.129	0	0	-1	-1	-1	0
801	13183	5744	34	0	0	0	0	3.141.593	0	0	-1	-1	-1	0
802	13184	5744	22	0.35	0	0	0	3.141.593	0	0	-1	-1	-1	0
830	13189	3046	34	0	4	-3	0	0	0	0	-1	-1	-1	0
833	13189	3046	34	0	4	-3	0	0	0	0	-1	-1	-1	0
834	13189	3046	34	0	4	-3	0	0	0	0	-1	-1	-1	0
835	13189	3046	34	0	4	-3	0	0	0	0	-1	-1	-1	0
836	13189	3046	34	0	4	-3	0	0	0	0	-1	-1	-1	0
841	13202	1015	19	0	0	0	0	0	0	0	-1	-1	-1	0
842	13210	5758	19	0	0	0	0	0	0	0	-1	-1	-1	0
843	13205	5759	19	0	0	0	0	0	0	0	-1	-1	-1	0
844	13209	5763	19	0	0	0	0	0	0	0	-1	-1	-1	0
845	13203	4895	19	0	0	0	0	0	0	0	-1	-1	-1	0
861	13215	5765	19	0	0	0	0	0	0	0	-1	-1	-1	0
881	13216	5766	34	0	0	0	0	0	0	0	-1	-1	-1	0
901	12929	5585	19	-0.5	0	0.5	0	0	0	0	-1	-1	-1	0
