m_id	m_group	m_faction	m_summonTitle	m_summonType	m_flags
41	1	0	5	5	0
61	1	0	2	0	2
63	1	0	4	1	1048578
64	0	0	0	0	0
65	3	0	0	0	0
66	0	0	0	0	1
67	2	0	1	0	0
81	1	0	4	2	1048578
82	1	0	4	3	1048578
83	1	0	4	4	1048578
121	1	0	0	0	2
161	4	0	0	0	0
181	1	0	0	0	0
182	0	0	0	5	0
183	1	106	2	0	2
184	1	210	2	0	2
185	0	210	2	0	2
186	0	106	2	0	2
187	0	0	0	0	0
207	2	0	1	0	2
208	1	0	6	0	2
209	1	0	7	0	512
227	0	0	0	0	0
247	1	0	12	0	8388608
267	0	0	0	5	0
287	0	0	0	0	0
307	1	35	5	5	0
327	4	0	0	0	0
328	0	0	0	0	0
347	1	0	0	0	2
367	4	0	0	0	0
387	1	0	5	6	514
407	1	0	5	0	2060
409	1	0	1	5	4
410	1	0	4	1	8
427	3	1616	0	0	0
428	3	1616	0	0	4
429	0	0	0	0	2
447	1	0	2	6	2
467	4	0	0	0	0
469	1	0	0	0	0
487	1	0	2	6	770
488	4	0	0	0	8
489	1	35	8	0	0
490	1	0	0	0	16
491	0	0	0	0	8
492	1	0	0	0	16
493	4	0	0	0	0
494	1	0	3	0	10
495	0	0	0	0	9
496	1	0	0	0	0
497	0	0	0	0	0
507	1	0	2	0	2
527	0	2089	0	0	9
547	1	974	0	6	8216
567	1	0	0	6	0
587	0	0	0	0	8
607	4	0	2	6	264
627	1	2064	0	0	10
628	0	0	0	6	8
629	1	0	0	0	0
647	1	0	0	0	0
648	0	0	0	0	64
649	1	0	2	0	66
667	1	0	0	0	64
668	0	0	0	5	0
669	2	0	1	0	0
687	1	0	3	0	512
688	1	35	2	0	2
689	4	0	0	0	256
707	0	0	0	0	0
708	4	0	0	0	256
709	0	0	0	4	1
710	4	0	0	0	264
711	1	0	3	0	514
712	1	190	0	0	256
713	1	0	2	0	514
714	0	0	0	0	2
715	0	0	0	0	320
716	4	0	0	0	256
717	0	0	0	0	1
718	4	0	0	0	256
719	0	0	0	0	16
720	1	0	7	0	0
760	4	0	0	0	264
780	4	0	0	6	8
781	1	0	0	0	80
801	4	0	0	0	0
821	1	0	2	6	10
822	1	0	0	6	2
823	1	0	2	1	2120
824	4	0	0	0	256
825	2	0	1	0	0
826	1	0	0	0	530
827	4	0	0	0	264
828	1	0	0	1	264
829	1	0	2	1	514
830	1	0	2	0	258
831	1	0	2	6	9026
832	1	0	7	0	0
833	2	0	3	0	0
841	1	0	5	6	10
842	1	0	2	0	514
843	4	0	0	0	16
844	0	0	0	0	16
861	4	0	0	0	256
881	1	0	0	0	0
901	1	0	0	0	2304
921	2	0	1	0	256
941	0	0	10	0	0
942	1	0	0	0	272
943	0	0	0	0	2048
944	1	0	6	0	2306
961	1	0	0	0	264
962	1	0	0	6	3336
963	1	0	0	0	2312
964	1	0	0	0	2312
965	1	0	0	0	2312
966	1	0	0	0	2312
967	1	0	0	0	2826
968	1	0	0	0	8
981	1	35	3	0	0
1001	0	0	0	0	0
1021	1	0	0	0	512
1041	0	35	0	0	2048
1061	0	0	0	0	2
1081	4	0	9	0	256
1101	1	0	2	0	6
1121	1	0	0	1	3200
1141	1	0	11	1	4096
1161	1	0	2	0	18432
1162	0	0	9	0	4096
1181	0	0	9	0	2048
1201	4	0	0	0	256
1202	0	0	0	0	256
1221	1	0	2	0	6666
1241	0	0	0	0	64
1261	1	0	2	0	2562
1281	4	0	0	0	8
1301	3	0	0	0	2304
1302	1	0	3	6	1032
1321	4	0	0	6	8
1341	1	0	5	5	0
1342	2	0	0	0	0
1343	1	0	2	0	770
1361	0	0	0	0	2048
1362	0	0	0	0	2048
1381	0	2102	0	0	133401
1401	1	35	2	1	2
1421	1	0	5	0	2056
1442	2	0	5	0	2056
1461	1	0	5	0	264
1481	1	0	0	0	264
1501	0	0	0	1	0
1502	0	0	0	2	0
1503	0	0	0	3	0
1504	0	0	0	4	0
1521	1	0	0	6	16
1541	4	35	10	0	2048
1561	2	0	1	0	16384
1562	2	0	1	0	16384
1581	1	0	2	0	2050
1601	4	0	0	0	256
1621	4	0	0	0	256
1641	4	0	0	0	264
1661	3	0	3	6	2056
1681	1	0	0	6	16
1701	1	0	0	6	2120
1721	2	0	1	0	514
1741	0	0	0	0	256
1761	1	0	0	0	10
1781	1	0	0	0	2056
1801	1	0	2	6	132874
1821	4	0	0	0	256
1841	1	0	5	5	256
1861	4	0	0	0	4360
1881	0	0	0	0	32768
1901	1	0	0	6	256
1941	1	0	2	0	770
1961	0	0	0	0	2048
1981	0	0	0	0	0
1982	1	0	5	6	778
2001	0	0	0	0	2048
2002	2	0	7	6	0
2021	1	0	5	0	133912
2041	1	0	3	0	0
2061	1	0	0	0	2048
2062	1	0	7	0	6144
2081	1	0	7	0	2058
2101	0	0	0	0	17
2121	2	0	5	6	4104
2122	1	0	5	6	0
2141	1	0	2	0	2
2161	2	0	1	6	0
2181	0	0	12	0	4096
2201	2	0	3	6	1288
2221	1	0	0	0	2
2241	1	0	2	6	1034
2261	1	0	5	6	131848
2262	1	0	0	0	520
2281	1	0	0	0	8
2301	1	0	0	0	514
2321	4	0	0	0	256
2341	1	0	2	0	131850
2361	1	0	0	2	3200
2362	1	0	0	3	3200
2363	1	0	0	4	3200
2381	1	0	2	0	2050
2401	0	0	0	0	321
2402	1	0	0	0	0
2421	1	0	0	0	133392
2441	0	14	0	0	1
2461	1	0	0	6	1034
2481	0	0	0	0	4096
2501	1	0	0	0	8194
2521	1	1801	5	0	1802
2541	1	1801	0	0	1802
2561	0	0	9	0	4112
2581	1	0	0	0	2058
2601	4	0	0	0	4096
2621	1	0	0	0	8
2641	1	0	0	0	0
2661	1	0	7	0	2
2681	0	2189	0	0	0
2701	2	0	0	0	0
2721	2	0	1	0	0
2741	1	109	2	0	66
2742	4	0	0	0	4360
2761	5	14	0	0	1
2781	1	0	0	3	3200
2801	2	0	5	0	0
2821	0	0	0	0	0
2841	1	0	0	0	2064
2861	2	0	0	0	0
2881	1	0	0	0	2064
2882	1	0	0	6	136986
2901	1	0	5	0	10
2902	1	0	5	0	10
2903	2	0	1	6	5634
2904	1	0	0	0	530
2905	0	0	0	0	2121
2906	1	0	0	0	2056
2907	1	0	0	0	786
2908	5	14	0	0	9
2909	1	0	2	0	2826
2910	0	0	0	0	256
2911	1	0	0	6	280
2912	0	0	0	0	1
2913	0	0	7	0	4096
2914	4	0	0	0	522
2915	1	0	0	0	2056
2916	1	0	0	0	256
2917	2	0	1	5	5634
2918	0	0	0	0	5
2919	1	0	0	6	131866
2920	1	0	0	6	18
2921	1	0	0	0	2328
2923	1	0	2	6	266
2924	1	35	0	6	2328
2926	0	14	0	0	5
2927	1	0	0	0	18
2928	1	0	0	0	2344
2929	0	0	0	0	2368
2930	1	0	0	0	264
2931	1	0	0	6	1048
2932	4	35	0	0	2056
2933	4	0	0	0	256
2934	1	0	2	6	1038
2935	1	0	0	0	2560
2936	0	0	0	0	4112
2937	1	0	0	0	16
2938	1	0	2	6	5890
2940	1	0	2	0	4360
2941	1	0	0	6	1288
2942	0	0	0	0	2305
2943	5	0	0	0	133400
2944	1	0	0	0	2818
2945	1	0	0	0	2328
2946	1	0	5	6	282
2947	4	0	0	0	8
2948	4	0	0	0	2312
2949	1	0	0	0	2312
2950	0	0	0	6	1353
2951	1	0	0	6	1304
2952	1	0	0	0	2840
2961	1	0	0	0	8464
2962	0	2270	0	0	9
2963	0	0	2	0	6154
2964	1	0	4	6	12040
2967	1	0	0	6	2058
2969	1	0	0	6	2064
2970	1	0	0	0	256
2971	1	0	2	0	2304
2972	0	0	0	0	8
2973	1	0	4	6	12040
2974	1	0	2	0	4614
2975	0	0	0	0	2056
2976	4	0	0	6	0
2977	4	0	0	0	10504
2978	1	0	0	6	11544
2979	1	0	0	0	11544
2980	1	0	5	6	1032
2981	0	0	0	0	0
2982	1	0	0	6	3336
2983	1	0	0	6	1280
2984	1	0	0	5	1280
2985	1	0	5	6	133400
2986	4	0	0	0	4352
2987	0	0	0	0	320
2988	1	0	8	0	131080
2989	1	0	0	0	133912
2990	1	0	0	0	141320
2991	1	0	5	6	1032
2992	1	0	0	6	134922
2993	0	0	0	0	16
2994	1	0	0	0	134922
2995	0	0	0	6	132376
2996	1	0	0	6	794
2997	1	0	11	0	4610
2998	1	0	11	0	4610
2999	0	0	0	0	131072
3000	1	0	0	0	4610
3001	1	0	-1	0	4610
3002	1	0	0	1	2
3003	1	0	0	0	134922
3004	1	0	0	6	133384
3005	1	0	0	0	16
3006	4	0	0	0	134408
3007	1	0	0	0	134922
3008	0	0	0	6	134424
3009	1	0	5	0	133898
3010	1	0	0	0	143130
3011	1	0	0	0	65536
3012	0	0	0	0	37032
3013	1	0	0	0	133400
3014	1	0	2	6	132874
3015	0	0	0	6	134408
3016	0	0	0	6	134424
3017	0	0	0	5	142616
