field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10
2106	74	2	0	61680	0	0	0	0	0	
2107	74	0	0	61682	0	0	0	0	0	
2109	74	0	1	61684	1	2055742496	209715200	0	0	
2110	81	2	0	61680	0	0	0	0	0	
2112	74	0	2	61686	0	0	0	0	0	
2114	81	0	0	61682	0	0	0	0	0	
2116	81	0	2	61686	0	0	0	0	0	
2118	79	0	0	61682	0	0	0	0	0	
2119	79	0	1	61684	1	268648448	-2147483648	0	0	
2120	79	0	2	61686	0	0	0	0	0	
2123	81	2	1	53178	0	0	0	0	0	
2124	74	1	0	53180	0	0	0	0	0	
2125	74	1	2	53182	0	0	0	0	0	
2126	81	1	0	53182	0	0	0	0	0	
2128	74	1	1	53186	0	0	0	0	0	
2129	74	3	2	53203	0	0	0	0	0	
2152	74	2	2	53409	0	0	0	0	0	
2153	74	4	1	53426	1	0	0	0	0	
2155	74	4	0	53401	1	0	0	0	0	
2156	74	3	1	55709	1	0	0	0	0	
2157	74	4	2	53434	1	0	0	0	0	
2160	81	1	1	19596	0	0	0	0	0	
2162	81	2	2	53409	0	0	0	0	0	
2163	81	3	2	53450	0	0	0	0	0	
2165	79	1	0	19596	0	0	0	0	0	
2166	79	2	0	61680	0	0	0	0	0	
2167	79	2	1	53409	0	0	0	0	0	
2168	79	3	1	53427	0	0	0	0	0	
2170	81	4	1	53477	1	0	0	0	0	
2171	81	4	0	53478	1	0	0	0	0	
2172	81	4	2	53480	1	0	0	0	0	
2173	81	1	2	53481	0	0	0	0	0	
2175	79	4	2	53490	1	0	0	0	0	
2177	79	3	2	52234	0	0	0	0	0	
2181	79	4	0	53508	1	0	0	0	0	
2182	79	1	2	53514	0	0	0	0	0	
2184	79	4	1	53517	1	0	0	0	0	
2201	79	0	1	23145	1	21238021	0	0	0	
2203	74	0	1	23145	1	2064	268435456	0	0	
2206	79	2	2	54044	1	0	0	0	0	
2207	79	1	1	53483	0	268648448	-2147483648	0	0	
2208	79	1	1	53554	0	21238021	0	0	0	
2237	81	0	1	61685	1	0	0	0	0	
2253	74	5	2	62758	0	0	0	0	0	
2254	74	5	0	62759	0	0	0	0	0	
2255	81	5	2	62758	0	0	0	0	0	
2256	79	5	0	62758	0	0	0	0	0	
2258	81	5	1	62764	0	0	0	0	0	
15757	0	1	1	29838	0	0	0	1	0	
15758	0	1	2	103840	0	0	0	1	34428	
15759	0	3	0	46924	0	0	0	1	0	
15760	0	3	1	46968	0	0	0	1	0	
15765	0	4	0	114028	0	0	0	1	0	
15766	0	4	1	114029	0	0	0	1	3411	
15768	0	2	0	107566	0	0	0	1	0	
15769	0	2	1	12323	0	0	0	1	0	
15770	0	2	2	102060	0	0	0	1	0	
15774	0	0	2	103828	0	0	0	1	0	
15775	0	0	0	103826	0	0	0	1	0	
16011	0	0	0	12043	0	0	0	8	0	
16012	0	0	1	2948	0	0	0	8	0	
16013	0	0	2	108839	0	0	0	8	0	
16019	0	2	0	113724	0	0	0	8	0	
16020	0	2	1	111264	0	0	0	8	0	
16021	0	2	2	102051	0	0	0	8	0	
16023	0	1	0	115610	0	0	0	8	0	
16024	0	1	1	108843	0	0	0	8	0	
16025	0	1	2	11426	0	0	0	8	0	
16027	0	3	0	110959	0	0	0	8	66	
16028	0	3	1	86949	0	0	0	8	0	
16029	0	3	2	11958	0	0	0	8	0	
16031	0	5	0	114003	0	0	0	8	0	
16032	0	5	1	116011	0	0	0	8	12051	
16033	0	5	2	1463	0	0	0	8	0	
16035	0	0	1	103827	0	0	0	1	0	
16036	0	1	0	55694	0	0	0	1	0	
16037	0	3	2	118000	0	0	0	1	0	
17565	0	0	0	85499	0	0	0	2	0	
17567	0	0	1	87172	0	0	0	2	0	
17569	0	0	2	26023	0	0	0	2	0	
17573	0	1	0	105593	0	0	0	2	853	
17575	0	1	1	20066	0	0	0	2	0	
17577	0	1	2	110301	0	0	0	2	0	
17581	0	2	0	85804	0	0	0	2	0	
17583	0	2	1	114163	0	0	0	2	0	
17585	0	2	2	20925	0	0	0	2	0	
17589	0	3	0	114039	0	0	0	2	0	
17591	0	3	1	114154	0	0	0	2	0	
17593	0	3	2	105622	0	0	0	2	0	
17597	0	4	0	105809	0	0	0	2	0	
17599	0	4	1	53376	0	0	0	2	0	
17601	0	4	2	86172	0	0	0	2	0	
17605	0	5	0	114165	0	0	0	2	0	
17607	0	5	1	114158	0	0	0	2	0	
17609	0	5	2	114157	0	0	0	2	0	
18569	0	0	0	24866	0	0	0	11	0	
18570	0	0	1	102280	0	0	0	11	0	
18571	0	0	2	102401	0	0	0	11	0	"Grants a movement ability that varies by shapeshift form (15 sec cooldown):

|CFFFFFFFFNon-shapeshifted|R
Fly to an ally\'s position.

|CFFFFFFFFBear Form|R
Charge to an enemy, immobilizing them for $45334d.

|CFFFFFFFFCat Form|R
Leap behind an enemy, dazing them for $50259d.

|CFFFFFFFFMoonkin Form|R
Bound backward.

|CFFFFFFFFTravel Form|R
Leap forward $102417A1 yards.

|CFFFFFFFFAquatic Form|R
Increases swim speed by an additional $102416s1% for $102416d."
18572	0	1	0	17116	0	0	0	11	0	
18574	0	1	2	102351	0	0	0	11	0	
18575	0	2	0	106707	0	0	0	11	0	
18576	0	2	1	102359	0	0	0	11	0	
18577	0	2	2	50516	0	0	0	11	0	
18579	0	3	1	106731	0	0	0	11	0	
18580	0	3	2	106737	0	0	0	11	0	
18581	0	4	0	99	0	0	0	11	0	
18582	0	4	1	102793	0	0	0	11	0	
18583	0	4	2	5211	0	0	0	11	0	
18584	0	5	0	108288	0	0	0	11	0	
18585	0	5	1	108373	0	0	0	11	0	
18586	0	5	2	96429	0	0	0	11	0	
19138	0	5	0	107574	0	0	0	1	0	
19139	0	5	1	12292	0	0	0	1	0	
19140	0	5	2	107570	0	0	0	1	0	
19165	0	0	0	108170	0	0	0	6	0	
19166	0	0	1	123693	0	0	0	6	0	
19217	0	0	2	115989	0	0	0	6	0	
19218	0	1	0	49039	0	0	0	6	0	
19219	0	1	1	51052	0	0	0	6	0	
19220	0	1	2	114556	0	0	0	6	0	
19221	0	2	0	96268	0	0	0	6	0	
19222	0	2	1	50041	0	0	0	6	0	
19223	0	2	2	108194	0	0	0	6	47476	
19224	0	3	0	48743	0	0	0	6	0	
19225	0	3	1	108196	0	0	0	6	0	
19226	0	4	0	45529	0	0	0	6	0	
19227	0	4	1	81229	0	0	0	6	0	
19228	0	4	2	51462	0	0	0	6	0	
19229	0	3	2	119975	0	0	0	6	0	
19230	0	5	0	108199	0	0	0	6	0	
19231	0	5	1	108200	0	0	0	6	0	
