field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10
35	6	0	0	-8852.65	496.46	111.04	0	0	0	0
36	6	1	0	-8882.6	476.01	122.36	0	0	0	0
37	6	2	0	-8935.92	454.68	131.81	0	0	0	0
38	6	3	0	-9025.21	463.03	153.81	0	0	0	0
40	6	4	0	-9109.89	473.547	148.989	0	0	0	0
41	6	5	0	-9247.46	381.144	152.143	0	0	0	0
42	6	6	0	-9328.75	433.829	130.615	0	0	0	0
43	6	7	0	-9380.05	432.533	780.402	0	0	0	0
44	6	8	0	-9451.38	386.52	569.287	0	0	0	0
45	6	9	0	-9524.63	368.068	534.301	0	0	0	0
46	6	10	0	-9601.13	407.54	524.763	0	0	0	0
47	6	11	0	-9686.17	469.801	40.712	0	0	0	0
48	6	12	0	-9734.62	552.164	393.231	0	0	0	0
68	7	0	0	-10553.62	1.034.422	5.737.899	0	0	0	0
69	7	1	0	-10565.41	1.033.613	6.377.545	0	0	0	0
70	7	2	0	-10586.11	1.042.365	6.981.978	0	0	0	0
71	7	3	0	-10596.58	1.071.686	7.275.151	0	0	0	0
72	7	4	0	-10561.44	1.102.599	7.219.491	0	0	0	0
73	7	5	0	-10478.51	1.088.804	7.515.543	0	0	0	0
74	7	6	0	-10385.67	1.061.976	8.023.217	0	0	0	0
75	7	7	0	-10234.77	9.769.757	8.363.848	0	0	0	0
76	7	8	0	-10184.71	8.118.256	4.381.411	0	0	0	0
77	7	9	0	-10197.82	6.344.207	3.007.676	0	0	0	0
78	7	10	0	-10174.34	5.547.805	2.916.283	0	0	0	0
79	7	11	0	-10100.25	5.132.532	3.232.518	0	0	0	0
80	7	12	0	-9.946.887	5.065.988	3.731.886	0	0	0	0
81	7	13	0	-9.881.448	5.243.186	374.745	0	0	0	0
82	7	14	0	-9.814.705	5.234.794	3.757.549	0	0	0	0
83	7	15	0	-9.756.677	5.409.895	4.389.014	0	0	0	0
84	7	16	0	-9.709.989	5.171.216	4.558.359	0	0	0	0
85	7	17	0	-9.690.506	4.649.645	4.052.817	0	0	0	0
86	7	18	0	-9.599.503	4.065.533	4.454.248	0	0	0	0
