field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	field23	field24	field25	field26	field27	field28	field29	field30	field31	field32	field33	field34	field35	field36	field37	field38	field39	field40	field41	field42	field43	field44	field45	field46	field47	field48	field49	field50	field51	field52	field53	field54	field55	field56	field57	field58	field59	field60	field61	field62	field63	field64	field65
121	33621015	0	0	0	-0.38	0	7	19.29	0	1	0	4	37	38	-1	102	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
141	33554434	1	-0.15	-0.3	0.25	0	7	19.29	0	1	0	4	37	38	96	97	97	97	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
201	33619985	2	0	0.3	0	0	7	19.29	0	1	0	4	37	38	-1	102	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
202	33554439	5	0	0	0	0	7	19.29	0	1	0	4	37	38	97	97	97	97	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
203	33587209	2	0	0	0	0	7	19.29	0	1	0	4	37	38	-1	102	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
221	1645251080	2	0	0	0	0	7	19.29	0	1	0	4	37	38	-1	102	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
241	33587215	3	0	0	-1.5	0	7	19.29	0	1	0	4	37	38	14	14	14	14	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
261	1645283347	21	0	0	0	0	7	19.29	0	1	0	4	37	38	-1	91	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
281	33587849	2	0	0	0	0	7	19.29	0	1	0	4	37	38	-1	102	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
305	1192306699	-1	0	0	0	0	7	19.29	0.6	1	1.5	4	-1	-1	-1	5	-1	-1	0	7	19.29	0.6	1.2	1.5	4	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
341	1107331083	21	0	0	0	0	7	19.29	0	1	0	4	37	38	-1	91	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
365	1645250575	13	0	0	0	0	7	19.29	0	1	0	4	37	38	-1	91	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534041
366	33554435	14	0	0	0	0	7	19.29	0	1	0	4	37	38	-1	91	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
367	33554435	15	0	0	0	0	7	19.29	0	1	0	4	37	38	-1	91	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
368	33554435	16	0	0	0	0	7	19.29	0	1	0	4	37	38	-1	91	128	123	0	7	19.29	0	1	0	4	37	38	39	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534043
