field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	
12578	52	0	-1	75	11	54	204	0	0	0	""	0	0	675
12579	52	0	891	0	0	0	0	0	0	0	""	0	0	675
12580	52	0	892	0	0	0	0	0	0	0	""	0	0	675
12581	53	0	-1	0	11	170	156	0	0	0	""	0	0	675
12582	53	0	893	0	0	0	0	0	0	0	""	0	0	675
12583	53	0	894	0	0	0	0	0	0	0	""	0	0	675
12584	53	0	895	0	0	0	0	0	0	0	""	0	0	675
12585	53	0	896	0	0	170	0	0	0	0	""	0	0	675
12586	53	0	897	0	0	0	0	0	0	0	""	0	0	675
12587	53	0	898	0	0	170	0	0	0	0	""	0	0	675
12588	53	0	899	0	0	0	0	0	0	0	""	0	0	675
12589	53	0	900	0	0	0	0	0	0	0	""	0	0	675
12590	53	0	901	0	0	0	0	0	0	0	""	0	0	675
12591	53	0	902	0	0	0	0	0	0	0	""	0	0	675
12593	53	0	904	0	0	0	0	0	0	0	""	0	0	675
20255	53	1	-1	0	11	170	156	0	0	0	"Deepwater Tavern"	0	0	675
20256	53	1	893	0	0	0	361	0	0	2104	""	0	0	675
20257	53	1	894	0	0	0	361	0	0	2104	""	0	0	675
20258	53	1	895	0	0	0	361	0	0	2104	""	0	0	675
20259	53	1	896	0	0	170	361	0	0	2104	""	0	0	675
20260	53	1	897	0	0	0	0	0	0	0	""	0	0	675
20261	53	1	898	0	0	170	361	0	0	2104	""	0	0	675
20262	53	1	899	0	0	0	361	0	0	2104	""	0	0	675
20267	53	1	900	0	0	0	361	0	0	2104	""	0	0	675
20263	53	1	901	0	0	0	361	0	0	2104	""	0	0	675
20264	53	1	902	0	0	0	361	0	0	2104	""	0	0	675
20266	53	1	904	0	0	170	361	0	0	0	""	0	0	675
20327	53	2	-1	0	11	170	156	0	0	0	"Lion\'s Pride Inn"	0	0	675
20328	53	2	893	0	0	0	0	0	0	5637	""	0	0	675
20329	53	2	894	0	0	0	0	0	0	5637	""	0	0	675
20330	53	2	895	0	0	0	0	0	0	5637	""	0	0	675
20331	53	2	896	0	0	170	0	0	0	5637	""	0	0	675
20332	53	2	897	0	0	0	0	0	0	0	""	0	0	675
20333	53	2	898	0	0	170	0	0	0	5637	""	0	0	675
20334	53	2	899	0	0	0	0	0	0	5637	""	0	0	675
20339	53	2	900	0	0	50	0	0	0	5637	""	0	0	675
20335	53	2	901	0	0	0	0	0	0	5637	""	0	0	675
20336	53	2	902	0	0	0	0	0	0	5637	""	0	0	675
20338	53	2	904	0	0	0	0	0	0	0	""	0	0	675
12631	54	0	-1	0	11	50	204	0	0	0	""	0	0	675
12632	54	0	925	0	0	50	1	0	0	0	""	0	0	675
12633	54	0	926	0	0	50	0	0	0	0	""	0	0	675
12634	54	0	927	0	0	50	0	0	0	0	""	0	0	675
12635	54	0	928	0	0	50	0	0	0	0	""	0	0	675
12636	54	0	929	0	0	50	0	0	0	0	""	0	0	675
12637	54	0	930	0	0	0	0	0	0	0	""	0	0	675
54928	54	1	-1	0	11	567	702	0	0	0	""	0	0	675
54933	54	1	925	0	0	50	1	0	0	0	""	0	0	675
54929	54	1	926	0	0	50	0	0	0	0	""	0	0	675
54934	54	1	927	0	0	50	0	0	0	0	""	0	0	675
54932	54	1	928	0	0	50	0	0	0	0	""	0	0	675
54930	54	1	929	0	0	50	0	0	0	0	""	0	0	675
54931	54	1	930	0	0	0	0	0	0	0	""	0	0	675
11827	55	0	-1	0	11	50	204	0	0	0	""	0	0	675
11828	55	0	263	0	0	0	0	0	0	0	""	0	0	675
11829	55	0	264	0	0	50	0	0	0	0	""	0	0	675
11830	55	0	265	0	0	50	0	0	0	0	""	0	0	675
53974	55	1	-1	0	11	50	1	0	0	0	""	0	0	675
53977	55	1	263	0	0	0	0	0	0	0	""	0	0	675
53976	55	1	264	0	0	50	0	0	0	0	""	0	0	675
53975	55	1	265	0	0	50	0	0	0	0	""	0	0	675
54209	55	2	-1	0	11	50	1	0	0	0	""	0	0	675
54212	55	2	263	0	0	0	0	0	0	0	""	0	0	675
54210	55	2	264	0	0	50	0	0	0	0	""	0	0	675
54211	55	2	265	0	0	50	0	0	0	0	""	0	0	675
15704	56	0	-1	0	11	0	0	0	0	0	""	0	0	675
15705	56	0	3700	0	0	0	0	0	0	0	""	0	0	675
12463	58	0	-1	0	11	50	204	0	0	0	""	0	0	675
12464	58	0	791	0	0	35	1	0	0	0	""	0	0	675
12465	58	0	792	0	0	50	1	0	0	0	""	0	0	675
21162	58	1	-1	0	11	0	0	0	0	0	"Donna\'s Kitty Shack"	0	0	675
21163	58	1	791	0	0	0	0	0	0	0	""	0	0	675
21164	58	1	792	0	0	50	0	0	0	0	""	0	0	675
54213	58	2	-1	0	11	50	204	0	0	0	""	0	0	675
54214	58	2	791	0	0	35	1	0	0	0	""	0	0	675
54215	58	2	792	0	0	50	1	0	0	0	""	0	0	675
54216	58	3	-1	0	11	50	204	0	0	0	""	0	0	675
54218	58	3	791	0	0	35	1	0	0	0	""	0	0	675
54217	58	3	792	0	0	50	1	0	0	0	""	0	0	675
54935	58	4	-1	0	11	567	702	0	0	0	""	0	0	675
54936	58	4	791	0	0	0	0	0	0	0	""	0	0	675
54937	58	4	792	0	0	50	1	0	0	0	""	0	0	675
13747	59	0	-1	75	11	26	204	221	0	0	"Northshire Abbey"	0	0	675
13748	59	0	1934	0	0	0	0	0	0	0	"Main Hall"	0	0	675
13749	59	0	1935	0	0	50	0	0	0	0	""	0	0	675
13750	59	0	1936	0	0	0	0	0	0	0	""	0	0	675
13751	59	0	1937	75	0	50	0	0	0	0	""	0	0	675
13752	59	0	1938	0	0	0	0	0	0	0	""	0	0	675
13753	59	0	1939	0	0	0	0	0	0	0	""	0	0	675
13754	59	0	1940	0	0	0	0	0	0	0	""	0	0	675
13755	59	0	1941	0	0	0	0	0	0	0	""	0	0	675
13756	59	0	1942	0	0	0	0	0	0	0	"Library Wing"	0	0	675
13757	59	0	1943	0	0	0	0	0	0	0	"Library Wing"	0	0	675
13758	59	0	1944	0	0	0	0	0	0	0	""	0	0	675
13759	59	0	1945	0	0	0	0	0	0	0	"Hall of Arms"	0	0	675
13760	59	0	1946	0	0	0	0	0	0	0	"Library Wing"	0	0	675
13761	59	0	1947	0	0	0	0	0	0	0	""	0	0	675
19755	59	1	-1	75	11	26	180	221	0	24	"Northshire Abbey"	0	0	675
19741	59	1	1934	0	0	0	0	0	0	24	"Main Hall"	0	0	675
19742	59	1	1935	0	0	50	0	0	0	24	""	0	0	675
19743	59	1	1936	0	0	0	0	0	0	24	""	0	0	675
19744	59	1	1937	75	0	50	0	0	0	24	""	0	0	675
19745	59	1	1938	0	0	0	0	0	0	24	""	0	0	675
19746	59	1	1939	0	0	0	0	0	0	24	""	0	0	675
19747	59	1	1940	0	0	0	0	0	0	24	""	0	0	675
19748	59	1	1941	0	0	0	0	0	0	24	""	0	0	675
19749	59	1	1942	0	0	0	0	0	0	24	"Library Wing"	0	0	675
19750	59	1	1943	0	0	0	0	0	0	24	"Library Wing"	0	0	675
19751	59	1	1944	0	0	0	0	0	0	24	""	0	0	675
19752	59	1	1945	0	0	0	0	0	0	24	"Hall of Arms"	0	0	675
19753	59	1	1946	0	0	0	0	0	0	24	"Library Wing"	0	0	675
19754	59	1	1947	0	0	0	0	0	0	24	""	0	0	675
33915	59	2	-1	75	11	26	204	221	0	4358	"Tyr\'s Hand Abbey"	0	0	675
33916	59	2	1934	0	0	0	0	0	0	4358	"Main Hall"	0	0	675
33903	59	2	1935	0	0	50	0	0	0	4358	""	0	0	675
33904	59	2	1936	0	0	0	0	0	0	4358	""	0	0	675
33905	59	2	1937	75	0	50	0	0	0	4358	""	0	0	675
33906	59	2	1938	0	0	0	0	0	0	4358	""	0	0	675
33907	59	2	1939	0	0	0	0	0	0	4358	""	0	0	675
33908	59	2	1940	0	0	0	0	0	0	4358	""	0	0	675
33909	59	2	1941	0	0	0	0	0	0	4358	""	0	0	675
33910	59	2	1942	0	0	0	0	0	0	4358	"Library Wing"	0	0	675
33917	59	2	1943	0	0	0	0	0	0	4358	"Library Wing"	0	0	675
33911	59	2	1944	0	0	0	0	0	0	4358	""	0	0	675
33912	59	2	1945	0	0	0	0	0	0	4358	"Hall of Arms"	0	0	675
33913	59	2	1946	0	0	0	0	0	0	4358	"Library Wing"	0	0	675
33914	59	2	1947	0	0	0	0	0	0	4358	""	0	0	675
47130	59	3	-1	75	11	26	204	221	0	2266	"Tyr\'s Hand Abbey"	0	0	675
47135	59	3	1934	0	0	0	0	0	0	2266	"Main Hall"	0	0	675
47131	59	3	1935	0	0	50	0	0	0	2266	""	0	0	675
47132	59	3	1936	0	0	0	0	0	0	2266	""	0	0	675
47137	59	3	1937	75	0	50	0	0	0	2266	""	0	0	675
47138	59	3	1938	0	0	0	0	0	0	2266	""	0	0	675
47139	59	3	1939	0	0	0	0	0	0	2266	""	0	0	675
47140	59	3	1940	0	0	0	0	0	0	2266	""	0	0	675
47141	59	3	1941	0	0	0	0	0	0	2266	""	0	0	675
47144	59	3	1942	0	0	0	0	0	0	2266	"Library Wing"	0	0	675
47136	59	3	1943	0	0	0	0	0	0	2266	"Library Wing"	0	0	675
47142	59	3	1944	0	0	0	0	0	0	2266	""	0	0	675
47143	59	3	1945	0	0	0	0	0	0	2266	"Hall of Arms"	0	0	675
47133	59	3	1946	0	0	0	0	0	0	2266	"Library Wing"	0	0	675
47134	59	3	1947	0	0	0	0	0	0	2266	""	0	0	675
14214	60	0	-1	0	11	0	0	0	0	0	""	0	0	675
14217	60	0	2357	0	0	0	0	0	0	0	""	0	0	675
14220	60	0	2360	75	0	26	0	0	0	0	""	0	0	675
14221	60	0	2361	75	0	26	0	0	0	0	""	0	0	675
14222	60	0	2362	75	0	26	0	0	0	0	""	0	0	675
21356	60	0	7862	0	0	0	0	0	0	0	"The Grand Vestibule"	0	0	675
21357	60	0	7863	0	0	0	0	0	0	0	"The Grand Vestibule"	0	0	675
21358	60	0	7864	75	0	26	0	0	0	0	"The Grand Vestibule"	0	0	675
21360	60	0	7866	0	0	0	0	0	0	0	""	0	0	675
21362	60	0	7868	0	0	0	0	0	0	0	""	0	0	675
21363	60	0	7869	0	0	0	0	0	0	0	""	0	0	675
21365	60	0	7871	0	0	0	0	0	0	0	""	0	0	675
21367	60	0	7873	0	0	0	0	0	0	0	""	0	0	675
21483	60	0	7969	0	0	0	0	0	0	0	""	0	0	675
28962	60	1	-1	75	11	26	205	0	0	796	"Scarlet Monastery"	0	0	675
28964	60	1	2357	66	0	40	2	0	4	796	""	0	0	675
28967	60	1	2360	75	0	26	0	0	0	796	""	0	0	675
28968	60	1	2361	75	0	26	0	0	0	796	""	0	0	675
28969	60	1	2362	75	0	26	0	0	0	796	""	0	0	675
28971	60	1	7862	0	0	0	0	0	0	796	"The Grand Vestibule"	0	0	675
28972	60	1	7863	0	0	0	0	0	0	796	"The Grand Vestibule"	0	0	675
28973	60	1	7864	75	0	26	0	0	0	796	"The Grand Vestibule"	0	0	675
28975	60	1	7866	0	0	0	0	0	0	796	""	0	0	675
28976	60	1	7868	0	0	0	0	0	0	796	""	0	0	675
28977	60	1	7869	0	0	0	0	0	0	796	""	0	0	675
28979	60	1	7871	0	0	0	0	0	0	796	""	0	0	675
28981	60	1	7873	0	0	0	0	0	0	796	""	0	0	675
28982	60	1	7969	0	0	0	0	0	0	796	""	0	0	675
14368	61	0	-1	0	11	43	13	0	16	1519	"Stormwind City"	0	0	675
14369	61	0	2490	75	0	0	0	0	4	5154	"Mage Quarter"	0	0	675
14370	61	0	2491	75	0	0	13	0	4	5154	"Mage Quarter"	0	0	675
14371	61	0	2492	75	0	0	0	0	4	1519	"The Canals"	0	0	675
14372	61	0	2493	75	0	0	0	326	4	5151	"Cathedral Square"	0	0	675
14373	61	0	2494	75	0	0	0	326	4	5151	"Cathedral Square"	0	0	675
14374	61	0	2495	75	0	0	0	326	4	5151	"Cathedral Square"	0	0	675
14375	61	0	2496	75	0	0	0	0	4	5149	"Old Town"	0	0	675
14376	61	0	2497	75	0	0	0	0	4	5149	"Old Town"	0	0	675
14377	61	0	2498	75	0	0	0	0	4	5149	"Old Town"	0	0	675
14378	61	0	2499	75	0	0	0	0	4	5149	"Old Town"	0	0	675
14379	61	0	2500	75	0	0	0	0	4	1519	"The Canals"	0	0	675
14380	61	0	2501	75	0	0	0	0	4	1519	"The Canals"	0	0	675
14381	61	0	2502	75	0	0	0	0	4	1519	"The Canals"	0	0	675
14382	61	0	2503	75	0	0	0	0	4	5157	"The Park"	0	0	675
14383	61	0	2504	75	0	0	0	0	4	5157	"The Park"	0	0	675
14384	61	0	2505	75	0	0	0	0	4	1519	"The Canals"	0	0	675
14385	61	0	2506	75	0	0	0	0	4	1519	"The Canals"	0	0	675
