id	map	area	name	y_min	y_max	x_min	x_max	displayMapId	defaultDungeonFloor	parentWorldMapID	newField	newField2	newField3	
4	1	14	"Durotar"	-1962.5	-7250	1808.333	-1716.667	-1	0	0	0	1	10
9	1	215	"Mulgore"	2204.167	-3245.833	-168.75	-3802.083	-1	0	0	0	1	10
11	1	17	"Barrens"	202.0833	-5543.75	1810.417	-2020.833	-1	0	0	0	10	20
13	1	0	"Kalimdor"	17066.6	-19733.21	12799.9	-11733.3	-1	0	0	0	0	0
14	0	0	"Azeroth"	18171.97	-22569.21	11176.34	-15973.34	-1	0	0	0	0	0
16	0	45	"Arathi"	-1127.083	-4604.167	-141.6667	-2460.417	-1	0	0	0	25	30
17	0	3	"Badlands"	-1902.083	-4972.917	-5854.167	-7900	-1	0	0	0	44	48
19	0	4	"BlastedLands"	-1193.75	-4856.25	-10583.33	-13025	-1	0	0	0	54	60
20	0	85	"Tirisfal"	3033.333	-1485.417	3837.5	824.9999	-1	0	0	0	1	10
21	0	130	"Silverpine"	3450	-750	1666.667	-1133.333	-1	0	0	0	10	20
22	0	28	"WesternPlaguelands"	416.6667	-3883.333	3366.667	500	-1	0	0	0	35	40
23	0	139	"EasternPlaguelands"	-2287.5	-6318.75	3704.167	1016.667	-1	0	0	0	40	45
24	0	267	"HillsbradFoothills"	1850	-3012.5	1481.25	-1760.417	-1	0	0	0	20	25
26	0	47	"Hinterlands"	-1575	-5425	1466.667	-1100	-1	0	0	0	30	35
27	0	1	"DunMorogh"	2137.5	-2760.417	-3941.667	-7206.25	-1	0	0	0	1	10
28	0	51	"SearingGorge"	-322.9167	-2554.167	-6100	-7587.5	-1	0	0	0	47	51
29	0	46	"BurningSteppes"	-464.5833	-3616.667	-6985.417	-9085.416	-1	0	0	0	49	52
30	0	12	"Elwynn"	1535.417	-1935.417	-7939.583	-10254.17	-1	0	0	0	1	10
32	0	41	"DeadwindPass"	-833.3333	-3333.333	-9866.666	-11533.33	-1	0	0	128	55	56
34	0	10	"Duskwood"	833.3333	-1866.667	-9716.666	-11516.67	-1	0	0	0	20	25
35	0	38	"LochModan"	-1993.75	-4752.083	-4487.5	-6327.083	-1	0	0	0	10	20
36	0	44	"Redridge"	-1479.167	-4047.917	-8514.583	-10227.08	-1	0	0	0	15	20
37	0	33	"StranglethornJungle"	1743.75	-2356.25	-11016.67	-13750	-1	0	0	0	25	30
38	0	8	"SwampOfSorrows"	-2081.25	-4589.583	-9535.416	-11208.33	-1	0	0	0	52	54
39	0	40	"Westfall"	3016.667	-483.3333	-9400	-11733.33	-1	0	0	0	10	15
40	0	11	"Wetlands"	-389.5833	-4525	-2147.917	-4904.167	-1	0	0	0	20	25
41	1	141	"Teldrassil"	4235.417	-1639.583	11847.92	7931.25	-1	0	0	0	1	10
42	1	148	"Darkshore"	3016.667	-3447.917	8222.916	3912.5	-1	0	0	0	10	20
43	1	331	"Ashenvale"	1700	-4066.667	4672.917	829.1666	-1	0	0	0	20	25
61	1	400	"ThousandNeedles"	-433.3333	-4833.333	-3966.667	-6900	-1	0	0	0	40	45
81	1	406	"StonetalonMountains"	3902.083	-1997.917	3404.167	-529.1666	-1	0	0	0	25	30
101	1	405	"Desolace"	4233.333	-262.5	452.0833	-2545.833	-1	0	0	0	30	35
121	1	357	"Feralas"	5441.667	-1508.333	-2366.667	-7000	-1	0	0	0	35	40
141	1	15	"Dustwallow"	-974.9999	-6225	-2033.333	-5533.333	-1	0	0	0	35	40
161	1	440	"Tanaris"	-62.5	-7275	-5770.833	-10579.17	-1	0	0	0	45	50
181	1	16	"Aszhara"	-3372.917	-8887.5	5381.25	1704.167	-1	0	0	0	10	20
182	1	361	"Felwood"	1797.917	-4264.583	7237.5	3195.833	-1	0	0	0	45	50
201	1	490	"UngoroCrater"	533.3333	-3166.667	-5966.667	-8433.333	-1	0	0	0	50	55
241	1	493	"Moonglade"	-1381.25	-3689.583	8491.666	6952.083	-1	0	0	0	55	60
261	1	1377	"Silithus"	2983.333	-1075	-5872.917	-8579.166	-1	0	0	0	55	60
281	1	618	"Winterspring"	-991.6666	-7141.667	8793.75	4693.75	-1	0	0	0	50	55
301	0	1519	"StormwindCity"	1722.917	-14.58333	-7995.833	-9154.166	-1	0	0	32	0	0
321	1	1637	"Orgrimmar"	-3506.354	-5245.729	2486.667	1327.083	-1	-1	0	36	0	0
341	0	1537	"Ironforge"	-713.5914	-1504.216	-4569.241	-5096.846	-1	0	0	0	0	0
362	1	1638	"ThunderBluff"	516.6666	-527.0833	-849.9999	-1545.833	-1	0	0	0	0	0
381	1	1657	"Darnassus"	3187.5	1647.917	10464.58	9437.5	-1	0	0	32	0	0
382	0	1497	"Undercity"	873.1926	-86.1824	1877.945	1237.841	-1	0	0	0	0	0
401	30	2597	"AlteracValley"	1781.25	-2456.25	1085.417	-1739.583	-1	0	0	0	0	0
443	489	3277	"WarsongGulch"	2041.667	895.8333	1627.083	862.4999	-1	0	0	0	0	0
461	529	3358	"ArathiBasin"	1858.333	102.0833	1508.333	337.5	-1	0	0	0	0	0
462	530	3430	"EversongWoods"	-4487.5	-9412.5	11041.67	7758.333	0	0	0	0	1	10
463	530	3433	"Ghostlands"	-5283.333	-8583.333	8266.666	6066.667	0	0	0	0	10	20
464	530	3524	"AzuremystIsle"	-10500	-14570.83	-2793.75	-5508.333	1	0	0	0	1	10
465	530	3483	"Hellfire"	5539.583	375	1481.25	-1962.5	-1	0	0	0	58	63
466	530	0	"Expansion01"	12996.04	-4468.039	5821.359	-5821.359	-1	0	0	0	0	0
467	530	3521	"Zangarmarsh"	9475	4447.917	1935.417	-1416.667	-1	0	0	0	60	64
471	530	3557	"TheExodar"	-11066.37	-12123.14	-3609.683	-4314.371	1	0	0	0	0	0
473	530	3520	"ShadowmoonValley"	4225	-1275	-1947.917	-5614.583	-1	0	0	0	67	70
475	530	3522	"BladesEdgeMountains"	8845.833	3420.833	4408.333	791.6666	-1	0	0	0	65	68
476	530	3525	"BloodmystIsle"	-10075	-13337.5	-758.3333	-2933.333	1	0	0	0	10	20
477	530	3518	"Nagrand"	10295.83	4770.833	41.66666	-3641.667	-1	0	0	0	64	67
478	530	3519	"TerokkarForest"	7083.333	1683.333	-999.9999	-4600	-1	0	0	0	62	65
479	530	3523	"Netherstorm"	5483.333	-91.66666	5456.25	1739.583	-1	0	0	0	67	70
480	530	3487	"SilvermoonCity"	-6400.75	-7612.208	10153.71	9346.938	0	0	0	0	0	0
481	530	3703	"ShattrathCity"	6135.259	4829.009	-1473.954	-2344.788	-1	0	0	0	0	0
482	566	3820	"NetherstormArena"	2660.417	389.5833	2918.75	1404.167	-1	0	0	0	0	0
485	571	0	"Northrend"	9217.152	-8534.246	10593.38	-1240.89	-1	0	0	0	0	0
486	571	3537	"BoreanTundra"	8570.833	2806.25	4897.917	1054.167	-1	0	0	0	68	72
488	571	65	"Dragonblight"	3627.083	-1981.25	5575	1835.417	-1	0	0	0	71	75
490	571	394	"GrizzlyHills"	-1110.417	-6360.417	5516.667	2016.667	-1	0	0	0	73	75
491	571	495	"HowlingFjord"	-1397.917	-7443.75	3116.667	-914.5833	-1	0	0	0	68	72
492	571	210	"IcecrownGlacier"	5443.75	-827.0833	9427.083	5245.833	-1	0	0	0	77	80
493	571	3711	"SholazarBasin"	6929.167	2572.917	7287.5	4383.333	-1	0	0	0	76	78
495	571	67	"TheStormPeaks"	1841.667	-5270.833	10197.92	5456.25	-1	0	0	0	77	80
496	571	66	"ZulDrak"	-600	-5593.75	7668.75	4339.583	-1	0	0	0	74	76
499	530	4080	"Sunwell"	-5302.083	-8629.166	13568.75	11350	0	0	0	0	0	0
501	571	4197	"LakeWintergrasp"	4329.167	1354.167	5716.667	3733.333	-1	0	0	0	77	80
502	609	4298	"ScarletEnclave"	-4047.917	-7210.417	3087.5	979.1666	-1	0	0	0	0	0
504	571	4395	"Dalaran"	0	0	0	0	-1	27	510	0	0	0
510	571	2817	"CrystalsongForest"	1443.75	-1279.167	6502.083	4687.5	-1	0	0	0	77	80
512	607	4384	"StrandoftheAncients"	787.5	-956.2499	1883.333	720.8333	-1	0	0	0	0	0
520	576	4265	"TheNexus"	0	0	0	0	-1	0	0	0	0	0
521	595	4100	"CoTStratholme"	2152.083	327.0833	2297.917	1081.25	-1	-1	0	260	0	0
522	619	4494	"Ahnkahet"	-233.3333	-1206.25	849.9999	202.0833	-1	0	0	0	0	0
523	574	206	"UtgardeKeep"	0	0	0	0	-1	0	0	0	0	0
524	575	1196	"UtgardePinnacle"	3275	-3275	2166.667	-2200	-1	0	0	0	0	0
525	602	4272	"HallsofLightning"	2500	-899.9999	2200	-66.66666	-1	0	0	0	0	0
526	599	4264	"Ulduar77"	2766.667	-633.3333	2200	-66.66666	-1	0	0	0	0	0
527	616	4500	"TheEyeofEternity"	2766.667	-633.3333	2200	-66.66666	-1	0	0	0	0	0
528	578	4228	"Nexus80"	2337.5	-262.5	1956.25	222.9167	-1	0	0	0	0	0
529	603	4273	"Ulduar"	1583.333	-1704.167	1168.75	-1022.917	-1	-1	0	260	0	0
530	604	4416	"Gundrak"	1310.417	166.6667	2122.917	1360.417	-1	0	0	0	0	0
531	615	4493	"TheObsidianSanctum"	1133.333	-29.16667	3616.667	2841.667	-1	0	488	0	0	0
532	624	4603	"VaultofArchavon"	1033.333	-1566.667	600	-1133.333	-1	0	0	0	0	0
533	601	4277	"AzjolNerub"	1020.833	-52.08333	872.9166	158.3333	-1	0	0	0	0	0
534	600	4196	"DrakTharonKeep"	-377.0833	-1004.167	-168.75	-587.5	-1	0	0	0	0	0
535	533	3456	"Naxxramas"	-2520.833	-4377.083	3597.917	2360.417	-1	0	0	0	0	0
536	608	4415	"VioletHold"	983.3333	600	2006.25	1750	-1	0	0	0	0	0
539	638	4714	"GilneasX"	3439.583	293.75	-533.3333	-2631.25	-1	0	0	0	0	0
540	628	4710	"IsleofConquest"	525	-2125	1708.333	-58.33333	-1	0	0	0	0	0
541	571	4742	"HrothgarsLanding"	2797.917	-879.1666	10781.25	8329.166	-1	0	0	0	77	80
542	650	4723	"TheArgentColiseum"	2100	-500	2200	466.6667	-1	0	0	0	0	0
543	649	4722	"TheArgentColiseum"	2100	-500	2200	466.6667	-1	0	0	0	0	0
544	648	4720	"TheLostIsles"	4383.333	-131.25	2881.25	-129.1667	-1	0	751	16	1	12
545	654	4714	"Gilneas"	3439.583	293.75	-533.3333	-2631.25	-1	0	0	64	1	12
601	632	4809	"TheForgeofSouls"	7033.333	-4366.667	6466.667	-1133.333	-1	0	0	0	0	0
