id	mapAreaId	area	unk	mapPointX	mapPointY	texture	width	height	offset_x	offset_y	hitRectTop	hitRectLeft	hitRectBottom	hitRectRight	
84	41	736	0	0	0	"BanethilHollow"	175	235	374	221	292	430	375	497
85	41	1657	0	0	0	"Darnassus"	298	337	149	181	247	228	424	383
87	41	261	0	0	0	"GnarlpineHold"	198	181	347	355	423	403	479	494
88	41	259	0	0	0	"LakeAlameth"	289	202	422	310	388	498	430	604
89	41	478	0	0	0	"PoolsofArlithrien"	140	210	345	243	358	400	405	439
91	41	188	0	0	0	"Shadowglen"	241	217	481	104	170	533	273	638
92	41	260	0	0	0	"StarbreezeVillage"	187	196	544	217	289	625	369	694
93	41	264	0	0	0	"TheOracleGlade"	194	244	276	90	147	367	213	435
94	41	266	265	0	0	"WellspringLake"	165	249	382	83	207	426	256	465
104	27	135	0	0	0	"FrostmaneHold"	437	249	50	227	320	271	374	361
107	27	134	0	0	0	"GolBolarQuarry"	198	251	663	288	344	733	421	800
108	27	212	716	0	0	"HelmsBedLake"	218	234	760	268	321	818	373	867
109	27	803	0	0	0	"AmberstillRanch"	249	183	595	225	288	679	330	752
113	27	131	189	0	0	"Kharanos"	184	188	449	220	314	498	364	576
114	27	136	131	0	0	"TheGrizzledDen"	211	160	374	287	335	460	372	509
117	27	800	0	0	0	"ColdridgePass"	225	276	360	340	396	401	468	478
122	30	87	0	0	0	"Goldshire"	276	231	247	294	402	383	463	461
124	30	57	63	64	5176	"FargodeepMine"	269	248	240	420	520	375	555	416
125	30	9	0	0	0	"NorthshireValley"	295	296	355	138	203	425	365	585
126	30	797	57	64	63	"JerodsLanding"	230	206	396	430	551	466	598	507
127	30	91	54	0	0	"TowerofAzora"	270	241	529	287	438	615	490	680
128	30	62	0	0	0	"BrackwellPumpkinPatch"	287	216	532	424	507	668	555	726
129	30	88	0	0	0	"EastvaleLoggingCamp"	294	243	703	292	421	783	475	891
130	30	798	0	0	0	"RidgepointTower"	285	194	708	442	507	809	556	890
131	30	18	0	0	0	"CrystalLake"	220	207	417	327	421	476	465	583
132	30	86	0	0	0	"StonecairnLake"	340	272	552	186	290	680	400	803
222	20	812	167	0	0	"VenomwebVale"	250	279	752	150	257	816	375	928
224	20	459	0	0	0	"ScarletWatchPost"	161	234	692	99	154	760	207	812
225	20	167	812	0	0	"CrusaderOutpost"	175	210	686	232	346	766	387	819
226	20	165	0	0	0	"BalnirFarmstead"	242	179	594	324	379	700	425	776
227	20	162	163	0	0	"BrightwaterLake"	210	292	573	122	243	645	359	725
229	20	164	0	0	0	"GarrensHaunt"	190	214	477	129	208	531	270	610
230	20	159	0	0	0	"Brill"	199	182	480	252	311	560	371	637
231	20	166	0	0	0	"ColdHearthManor"	212	177	418	317	364	509	421	570
232	20	811	4921	0	0	"NightmareVale"	225	281	347	325	410	410	465	494
234	20	157	0	0	0	"AgamandMills"	285	260	324	90	185	403	257	511
235	20	156	0	0	0	"SollidenFarmstead"	286	225	201	192	297	344	357	427
236	20	154	0	0	0	"Deathknell"	431	407	9	207	373	271	481	375
242	4	363	0	0	0	"ValleyOfTrials"	254	258	304	312	364	402	466	488
244	4	367	0	0	0	"SenjinVillage"	192	184	457	406	473	532	538	590
248	4	368	0	0	0	"EchoIsles"	330	255	429	413	458	600	650	727
250	4	372	0	0	0	"TiragardeKeep"	210	200	462	298	369	542	437	619
252	4	362	0	0	0	"RazorHill"	224	227	431	157	262	507	318	565
254	4	816	0	0	0	"RazormaneGrounds"	248	158	302	264	318	392	360	504
256	4	369	0	0	0	"ThunderRidge"	220	218	295	48	144	360	187	447
258	4	370	410	0	0	"DrygulchRavine"	236	196	415	60	126	491	200	559
260	4	817	0	0	0	"SkullRock"	208	157	438	0	36	525	87	553
262	4	1637	0	0	0	"Orgrimmar"	259	165	309	0	22	396	91	515
281	39	916	0	0	0	"TheJansenStead"	202	179	474	0	78	542	134	615
282	39	109	0	0	0	"FurlbrowsPumpkinFarm"	197	213	394	0	114	482	174	541
284	39	107	0	0	0	"SaldeansFarm"	244	237	451	81	187	511	246	580
285	39	918	0	0	0	"TheMolsenFarm"	202	224	348	118	204	412	264	496
286	39	113	111	0	0	"GoldCoastQuarry"	235	306	199	79	269	279	324	345
287	39	917	0	0	0	"TheDeadAcre"	193	273	531	200	374	594	418	638
288	39	108	0	0	0	"SentinelHill"	229	265	404	226	281	515	379	604
289	39	20	919	0	0	"Moonbrook"	232	213	308	325	411	390	466	459
290	39	219	0	0	0	"AlexstonFarmstead"	346	222	167	263	295	325	405	440
291	39	921	219	0	0	"DemontsPlace"	201	195	203	376	473	318	511	362
