field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	
2	530	1167458304	-971090603	1182400512	-987321685	0	-988413952	1159069696	0	0	0
3	530	-975656277	-965083136	1141200213	-973471744	1	1176393045	1183416320	0	0	0
4	600	-962838528	-962838528	1184645120	1184645120	600	0	0	37	0	0
5	603	1157894144	-1017380864	1159602176	1151795200	603	0	0	70	0	0
6	619	-962838528	-962838528	1184645120	1184645120	619	0	0	50	0	0
7	603	1156743168	1151787008	1159602176	1160372224	603	0	0	72	0	0
8	602	1152385024	1092616192	1152761856	1116078080	602	0	0	54	1	0
9	616	-962838528	-962838528	1184645120	1184645120	616	0	0	61	0	0
10	631	-962838528	-962838528	1184645120	1184645120	631	0	0	104	0	0
11	36	-962838528	-962838528	1184645120	1184645120	36	0	0	167	0	0
12	644	-962838528	-962838528	1184645120	1184645120	644	0	0	120	0	0
13	531	-962838528	-962838528	1184645120	1184645120	531	0	0	192	0	0
14	732	-962838528	-962838528	1184645120	1184645120	0	-993525760	1160708096	0	0	0
15	602	1150951424	1094713344	1151254528	1114374144	602	0	0	54	1	0
16	754	-962838528	-962838528	1184645120	1184645120	754	0	0	271	0	0
17	1	-980025344	-982679552	-980434944	-983498752	1	0	0	0	0	15
18	657	-962838528	-962838528	1184645120	1184645120	657	0	0	122	0	0
19	0	-974700544	-995164160	-975314944	-1001914368	0	0	0	0	0	51
20	0	-973266944	-995164160	-974700544	-1001914368	0	0	0	0	0	46
24	720	1133972685	1135339110	1142189261	1143554048	720	0	0	467	0	0
25	938	1161194496	1130840064	1162730496	1145466880	938	0	0	495	0	0
26	938	1163575295	1141225853	1165939016	1152323738	938	0	0	496	0	0
27	938	1166289234	1150527488	1166937767	1154418688	938	0	0	497	0	0
28	938	1159769416	-1013903872	1161672376	1137402688	938	0	0	498	0	0
29	938	1165503816	-1004431622	1166378844	-1019135656	938	0	0	499	0	0
30	967	-968918118	1177717836	-969674752	1178852788	967	0	0	514	0	0
