id	map	pos_x	pos_y	pos_z	m_name_lang	
1	0	-9115	423	96	"Stormwind"
2	0	-9193.91	-2312.77	88.9044	"Redridge Mountains"
3	0	-10774.26	-1189.672	33.14943	"Duskwood, Darkshire"
4	0	-10527.5	1165.734	31.96764	"Westfall, Sentinel Hill GY"
5	0	-5687	-515	398	"Dun Morogh"
6	0	-5351.229	-2881.582	340.9424	"Loch Modan, Thelsamar"
7	0	-3289.124	-2435.991	18.59659	"Wetlands, Crossroads GY"
8	0	-6289.853	-3493.059	251.4887	"Badlands, Graveyard NE "
10	1	-592.6014	-2523.492	91.78803	"The Barrens, The Crossroads"
31	1	-448.3109	2512.646	93.07726	"Desolace, Ethel Rethor GY"
32	1	233.2639	-4793.625	10.18718	"Durotar, Razor Hill GY"
33	1	1358.55	-4436.53	28.0969	"Durotar, Orgrimmar GY"
34	1	-2942.233	-152.5035	69.92908	"Mulgore, Red Cloud Mesa GY"
35	1	7158.045	-486.7355	31.38703	"Darkshore, New Auberdine GY"
36	0	-11110.38	-1833.241	71.8642	"Deadwind Pass, Morgan\'s Plot"
39	1	-4612.34	-1890.46	85.9637	"Thousand Needles, The Great Lift GY (OLD)"
49	37	-661.5284	-485.309	385.8879	"Plains of Snow - Horde Start"
70	1	-6432.256	-278.2921	3.794105	"Silithus, Valor\'s Rest"
89	1	-2175.656	-341.5295	-5.569269	"Mulgore, Bloodhoof Village GY"
90	1	10054.3	2117.12	1329.63	"Teldrassil, Darnassus GY"
91	1	9701.255	945.6204	1291.355	"Teldrassil, Dolanaar GY"
92	1	2633.411	-629.7352	107.5813	"Ashenvale, Astranaar GY"
93	1	10384.81	811.5312	1317.538	"Teldrassil, Aldrassil GY"
94	0	1882.94	1629.11	94.4175	"Tirisfal Glades, Deathknell"
96	0	1822.61	214.674	60.1402	"Tirisfal Glades, Undercity"
97	0	516.1943	1589.807	127.5449	"Silverpine Forest, The Sepulcher"
98	0	-18.67768	-981.1714	55.83767	"Hillsbrad Foothills, Tarren Mill"
99	0	-1307.655	-3192.149	37.78532	"Arathi Highlands, Eastern Road"
100	0	-6164.226	336.3211	399.7934	"Dun Morogh, Anvilmar"
101	0	-5680.044	-518.9205	396.2743	"Dun Morogh, Kharanos"
102	0	-5049.45	-809.697	495.127	"Dun Morogh, Ironforge"
103	0	-6980.51	-2332.54	241.683	"Badlands, Kargath"
104	0	-9396.77	-2026	58.3642	"Redridge Mountains, Lakeshire"
105	0	-8941.31	-185.178	79.9153	"Elwynn Forest, Northshire"
106	0	-9339.72	170.2	61.5622	"Elwynn Forest, Goldshire"
107	0	-9151.98	410.944	92.6966	"Elwynn Forest, Stormwind"
108	0	-10567.8	-3377.2	22.2532	"Swamp of Sorrows, Stonard GY"
