field0	field1	field2	field3	field4
300	60	4.215.875	3.269.265	1
301	60	4.271.286	4.197.404	2
302	60	4.363.638	4262.05	3
303	60	4.585.283	4.264.359	4
304	60	4.562.195	4.617.606	5
305	60	4.522.945	4.633.767	6
306	60	4.520.636	4.675.326	7
307	60	4.562.195	4.709.958	8
308	60	4.566.813	4.936.221	9
309	60	4.622.224	4.940.838	10
310	60	4.631.458	5.499.568	11
311	60	4.728.428	5.679.655	12
312	60	4.728.428	5.956.711	13
313	60	4.682.252	6.012.123	14
314	60	4.673.017	6.487.735	15
315	60	6.081.386	8.990.478	16
316	60	3.043.003	9.590.766	17
317	60	826.553	8.247.044	18
318	60	133.912	5.448.774	19
319	60	9.571.393	3.272.842	20
320	60	2.381.532	3.242.556	21
321	60	3.117.281	3.195.244	22
322	60	3.292.065	3.263.782	23
323	60	3.610.391	3.122.079	24
324	60	3.746.033	3.111.113	25
325	60	3.812.387	3.198.468	26
326	60	4.098.686	3.195.524	27
327	61	4.834.633	-960.46	1
328	61	4.848.486	-434.053	2
329	61	5.019.337	-2.193.347	3
330	61	5.190.189	7.850.095	4
331	61	5.208.659	4.594.532	5
332	61	5.074.749	5.402.612	6
333	61	5.074.749	7.619.063	7
334	61	5.146.321	9.327.575	8
335	61	5.365.658	1.080.521	9
336	61	5.356.422	1.165.947	10
337	61	5.240.983	1.239.828	11
338	61	5.139.395	1.477.635	12
339	61	5.044.734	1.500.723	13
340	61	4.929.294	1.634.634	14
341	61	4.832.324	1.650.795	15
342	61	4.832.325	1.789.323	16
343	61	4.608.371	1796.25	17
344	61	4.548.342	1.731.603	18
345	61	4.271.286	1.731.603	19
346	61	4.206.639	1.791.632	20
347	61	4.174.316	2.036.365	21
348	61	4.229.727	2045.6	22
349	61	4262.05	2.156.423	23
350	61	4262.05	2.299.568	24
351	61	4.105.052	2.451.949	25
352	61	4.100.434	2.590.478	26
353	61	4.042.714	2.606.639	27
354	61	4.049.641	2.897.548	28
355	61	4.068.111	3.089.179	29
356	61	4.091.199	3.200.001	30
357	61	3.812.988	3.198.847	31
358	61	3.745.456	3.108.226	32
359	61	3.606.351	3.119.193	33
360	61	3.414.143	3.210.968	34
361	61	3.293.508	3.261.184	35
362	61	3.117.462	3.195.961	36
363	61	2.406.957	3.244.361	37
364	61	9.405.113	3269.13	38
365	61	4.762.946	-9.863.326	39
366	61	1.716.365	-1584.86	40
367	61	2.872.152	-1.602.307	41
368	61	3.225.715	-1.619.985	42
369	61	3.372.726	-1.660.423	43
370	61	3.923.205	-1.606.828	44
371	61	4.049.641	-1.505.337	45
372	61	4.192.786	-1.505.337	46
373	61	4.345.167	-1.597.689	47
374	61	4.421.753	-1.574.929	48
375	61	4548.11	-1.724.741	49
376	61	4.678.064	-1.847.436	50
377	61	4.702.669	-1.648.879	51
378	61	4.771.141	-1614.87	52
379	61	4.685.922	-1.470.303	53
380	61	4.656.946	-1.371.274	54
381	61	4.735.496	-1.338.379	55
382	61	4.861.451	-1.446.197	56
383	61	5033.19	-1.389.897	57
384	61	5.037.808	-1.098.988	58
385	62	5.527.274	-4.825.395	1
386	62	5.531.892	-4.636.073	2
387	62	5458.01	-4.580.662	3
388	62	5.236.365	-4.571.427	4
